#second results avg_latency(ms)
0 2 697.676
1 7 1146.69
2 9 1282.99
3 11 1226.13
4 9 1213.34
5 10 1219.55
6 10 1233.9
7 10 1221.56
8 10 1219.57
9 10 1246.12
10 10 1259.89
11 10 1247.71
12 10 1273.17
13 10 1240.58
14 10 1225.71
15 10 1226.43
16 11 1225.21
17 10 1212.31
18 10 1169.6
19 10 1177.58
20 9 1186.2
21 10 1200.14
22 11 1188.3
23 10 1155.22
24 10 1140.43
25 11 1141.85
26 10 1095.82
27 9 1097.39
28 10 1115.33
29 10 1128.07
30 10 1154.79
31 6 1296.83
32 7 1614.76
33 7 1972.53
34 8 2252.06
35 1 3020.91
36 10 3498.35
37 21 2549.96
38 11 2176.46
39 7 2119.28
40 15 2097.1
41 11 1784.77
42 9 1729.33
43 14 1604.16
44 11 1406.62
45 11 1340.19
46 11 1183.05
47 11 1082.69
48 11 980.94
49 11 862.396
50 12 739.878
51 11 637.919
52 11 519.493
53 10 435.401
54 12 346.813
55 10 262.766
56 9 290.156
57 10 327.617
58 10 325.101
59 10 339.593
60 7 414.275
61 6 793.964
62 6 1163.66
63 7 1577.16
64 3 1959.86
65 0 0
66 18 2902.76
67 8 2335.97
68 9 2539.45
69 7 2627.2
70 8 3028.3
71 13 2848.68
72 8 2738.67
73 1 3815.31
74 0 0
75 1 5311.14
76 16 5843.56
77 17 3447.66
78 13 2181.15
79 2 2379.94
80 20 2324.49
81 13 1521.43
82 12 1427.54
83 11 1041.16
84 13 835.134
85 13 590.336
86 12 361.906
87 10 218.49
88 10 221.297
89 10 224.316
90 10 238.883
91 10 237.264
92 10 229.269
93 10 223.366
94 10 223.073
95 10 225.167
96 10 221.573
97 10 223.968
98 10 224.81
99 10 223.409
100 10 220.486
101 10 224.608
102 10 231.873
103 10 227.171
104 10 228.666
105 10 226.049
106 10 224.534
107 10 224.853
108 10 224.423
109 10 221.334
110 10 231.217
111 10 226.631
112 10 218.155
113 10 229.176
114 10 232.129
115 10 225.019
116 10 227.035
117 10 228.729
118 10 220.09
119 10 223.056
120 10 222.83
121 10 222.55
122 10 221.542
123 10 220.844
124 10 218.266
125 10 225.631
126 10 223.594
127 10 223.382
128 10 219.595
129 10 222.514
130 10 220.493
131 10 231.434
132 10 238.12
133 9 280.94
134 11 298.481
135 9 313.693
136 11 322.509
137 10 312
138 9 305.245
139 10 349.353
140 10 324.364
141 11 301.135
142 9 290.716
143 9 330.399
144 11 340.337
145 11 311.814
146 10 299.074
147 9 366.861
148 11 320.836
149 9 350.548
150 9 380.435
151 11 441.043
152 10 496.697
153 9 420.031
154 10 445.824
155 10 469.936
156 10 449.538
157 10 448.076
158 10 446.653
159 10 438.547
160 10 448.055
161 10 425.747
162 10 436.4
163 10 416.263
164 10 429.833
165 10 429.662
166 10 439.542
167 10 422.009
168 10 411.899
169 10 409.369
170 10 419.325
171 10 405.747
172 10 429.618
173 10 420.392
174 10 457.039
175 9 426.774
176 10 405.747
177 10 429.618
178 10 420.392
179 10 457.039
