#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq [watts]
0 2.07683 2.34783 0 3 0 186.809
1 0.911025 3 0 3 0 94.153
2 0.904943 3 0 3 0 94.1101
3 0.90952 3 0 3 0 94.1346
4 0.895606 3 0 3 0 94.241
5 0.903383 3 0 3 0 94.0457
6 0.891365 3 0 3 0 94.0459
7 0.895316 3 0 3 0 94.0229
8 0.902946 3 0 3 0 94.0114
9 0.891609 3 0 3 0 94.0721
10 0.895229 3 0 3 0 94.0155
11 0.921565 3 0 3 0 94.0929
12 1.29943 3 0 3 0 94.0348
13 1.84944 3.56 0 4 0 95.0561
14 0.975497 3.47 0 4 0 95.1236
15 0.863861 3.31 0 4 0 95.1029
16 0.843524 3.40 0 4 0 95.0807
17 0.844649 3.31 0 4 0 95.0353
18 0.850476 3.42 0 4 0 95.0125
19 0.85082 3.57 0 4 0 94.9776
20 0.847136 3.67 0 4 0 95.0434
21 0.865228 3.50 0 4 0 95.0822
22 0.849046 3.56 0 4 0 94.8394
23 0.909554 3.52 0 4 0 94.9367
24 1.53175 3.95 0 4 0 94.9399
25 1.72183 3.96 0 4 0 95.5858
26 1.13157 5 0 5 0 95.6248
27 1.08755 5 0 5 0 95.693
28 2.08662 5.4 0 6 0 96.4622
29 0.928309 5.62 0 6 0 96.407
30 0.863267 5.70 0 6 0 96.4381
31 0.839912 5.58 0 6 0 96.4458
32 0.796549 5.68 0 6 0 96.4764
33 0.785436 5.69 0 6 0 96.4376
34 0.788981 5.66 0 6 0 96.4156
35 0.754316 5.63 0 6 0 96.2191
36 0.942793 5.68 0 6 0 96.4143
37 0.948206 6 0 6 0 96.5957
38 0.927918 6 0 6 0 96.4453
39 0.933013 6 0 6 0 96.578
40 0.940363 6 0 6 0 96.4503
41 0.943279 6 0 6 0 96.4298
42 0.934808 6 0 6 0 96.3914
43 0.948568 6 0 6 0 96.4402
44 0.930867 6 0 6 0 96.4193
45 0.945208 6 0 6 0 96.5418
46 0.948147 6 0 6 0 96.438
47 0.937216 6 0 6 0 96.4433
48 0.561005 6 0 6 0 96.0467
49 0.767053 4.70 0 5 0 95.6883
50 0.774064 4.66 0 5 0 95.689
51 0.771634 4.67 0 5 0 95.774
52 0.780228 4.68 0 5 0 95.7396
53 0.827715 4.8 0 5 0 95.74
54 0.862997 4.76 0 5 0 95.7645
55 0.915071 4.52 0 5 0 95.7798
56 0.876102 4.64 0 5 0 95.817
57 0.908704 4.6 0 5 0 95.8871
58 0.877901 4.6 0 5 0 95.8803
59 0.905312 4.56 0 5 0 95.8134
60 0.570437 4.16 0 5 0 95.8173
61 0.977414 3.04 0 3 0 94.2531
62 0.933266 3 0 3 0 94.2025
63 0.908078 3 0 3 0 94.2148
64 0.894038 3 0 3 0 94.204
65 0.906665 3 0 3 0 94.2247
66 0.890283 3 0 3 0 94.2151
67 0.917362 3 0 3 0 94.2673
68 0.89908 3 0 3 0 94.2718
69 0.922547 3 0 3 0 94.3938
70 0.917362 3 0 3 0 94.2673
71 0.89908 3 0 3 0 94.2718
72 0.922547 3 0 3 0 94.3938
