#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3451.39
4 1 4892.82
5 0 0
6 1 6323.89
7 1 5268.66
8 2 7325.26
9 1 2353.8
10 4 5866.27
11 7 3417.52
12 7 3646.8
13 15 3718.29
14 14 4204.09
15 30 2374.27
16 15 3743.48
17 12 3826.21
18 17 4642.24
19 13 1932.75
20 13 4413.57
21 11 2141.49
22 10 4277.99
23 9 5333.45
24 8 6187.86
25 11 4982.93
26 21 2027.28
27 13 5864.23
28 12 4776.25
29 11 2612.42
30 9 6630.43
31 8 7634.8
32 9 7419.32
33 15 13176.3
34 24 4615.45
35 12 5483.76
36 16 12379.6
37 10 3591.69
38 8 725.994
39 12 6105.59
40 13 656.925
41 11 3637.13
42 11 6941.38
43 10 11551.9
44 12 13040.6
45 14 995.017
46 12 590.932
47 10 525.113
48 10 527.74
49 9 539.984
50 10 591.934
51 9 635.733
52 9 772.288
53 13 614.615
54 10 526.423
55 6 649.942
56 6 1045.77
57 7 1486.54
58 10 1792.04
59 7 1959.32
60 18 1371.22
61 16 724.075
62 10 523.826
63 10 523.857
64 10 524.527
65 10 560.697
66 8 583.705
67 12 622.898
68 10 544.907
69 10 524.282
70 10 531.007
71 8 583.114
72 7 848.059
73 14 898.372
74 11 534.247
75 10 535.484
76 9 554.626
77 3 781.187
78 15 1171.08
79 13 602.933
80 10 555.482
81 9 642.583
82 9 631.282
83 9 677.327
84 11 741.264
85 11 670.644
86 10 614.333
87 9 609.061
88 9 784.019
89 9 900.423
90 12 831.978
91 11 691.136
92 10 601.8
93 10 591.882
94 5 747.759
95 15 856.394
96 9 631.888
97 10 689.584
98 10 758.53
99 10 703.025
100 10 659.18
101 10 653.579
102 11 712.78
103 10 714.992
104 10 603.897
105 7 679.906
106 2 1142.77
107 16 1623.21
108 15 704.519
109 10 603.327
110 11 640.85
111 8 631.224
112 11 656.426
113 10 640.204
114 11 640.845
115 5 670.127
116 11 807.098
117 12 730.08
118 11 698.587
119 10 657.131
120 7 617.321
121 11 855.283
122 12 679.35
123 9 705.901
124 12 627.062
125 9 613.353
126 10 645.054
127 7 880.275
128 14 670.105
129 9 701.113
130 10 678.557
131 10 674.688
132 8 613.885
133 12 698.178
134 9 677.224
135 8 712.03
136 12 714.452
137 9 752.484
138 12 660.992
139 11 598.929
140 9 697.543
141 10 640.129
142 10 629.572
143 8 898.882
144 12 704.626
145 7 703.803
146 13 821.546
147 8 649.012
148 10 683.486
149 9 718.248
