#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 1 7311.43
8 0 0
9 0 0
10 3 5217.92
11 6 3798.33
12 8 3163.94
13 10 3551.12
14 13 4128.43
15 17 3482.6
16 28 2701.64
17 15 4509.12
18 12 2538.58
19 13 3916.81
20 9 5327.01
21 7 8107.16
22 7 8173.78
23 6 9887.79
24 22 7542.67
25 30 2297.84
26 12 4464.78
27 12 4475.02
28 11 2989.56
29 11 2862.29
30 8 7231.13
31 9 1054.93
32 7 9040.32
33 10 7473.46
34 22 1087.89
35 11 3562.63
36 12 5707.29
37 7 541.944
38 4 10007.1
39 6 12579.7
40 5 9790.41
41 12 5109.19
42 10 9543.61
43 32 9479.68
44 19 5208.63
45 17 16759.1
46 11 4054.83
47 9 5073.14
48 11 12119.7
49 14 18879.7
50 10 1163.4
51 16 675.597
52 10 524.233
53 10 544.602
54 10 535.376
55 10 575.079
56 9 567.011
57 10 660.784
58 11 573.072
59 9 535.441
60 9 628.781
61 9 825.847
62 10 807.382
63 12 779.63
64 11 549.686
65 10 527.714
66 10 524.598
67 8 645.078
68 10 628.395
69 6 962.851
70 10 1134.24
71 16 780.632
72 10 522.152
73 9 616.979
74 11 564.321
75 8 598.371
76 10 706.935
77 8 931.66
78 14 618.441
79 10 528.74
80 10 528.16
81 9 544.441
82 11 562.224
83 9 600.04
84 8 782.839
85 13 682.388
86 10 547.049
87 9 542.118
88 5 785.354
89 8 1223.41
90 9 1399.67
91 17 1015.24
92 12 580.995
93 10 525.448
94 10 535.128
95 6 742.405
96 9 917.102
97 6 1331.01
98 8 1531.72
99 20 1102.35
100 9 605.995
101 10 649.064
102 11 643.466
103 11 601.796
104 9 659.036
105 10 724.961
106 9 678.264
107 11 723.955
108 9 630.929
109 10 653.732
110 12 680.735
111 9 740.927
112 10 678.543
113 10 778.287
114 8 625.389
115 11 661.308
116 11 632.907
117 11 597.917
118 8 611.635
119 11 718.737
120 9 688.493
121 12 671.786
122 9 644.693
123 11 622.247
124 8 647.785
125 11 762.681
126 11 602.297
127 6 682.004
