#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3379.35
4 1 1988.16
5 2 4067.4
6 1 6525.67
7 2 3095.95
8 3 5742.53
9 3 2719.11
10 3 6571.83
11 5 4588.61
12 5 4121.77
13 4 6879.96
14 9 4588.56
15 8 3030.8
16 8 7514.16
17 10 3674.36
18 5 4833.36
19 14 5247.66
20 17 5601.64
21 13 3940.66
22 12 5439.68
23 14 4557.03
24 11 5836.31
25 15 3572.46
26 12 5740.29
27 12 7177.57
28 12 2583.69
29 13 5679.86
30 11 3936.44
31 11 6193.11
32 8 7534.31
33 12 5548.07
34 10 6797.3
35 13 7784.68
36 18 4811.44
37 11 8878.96
38 10 8164.81
39 14 7177.99
40 8 2554.22
41 13 4413.43
42 12 7783.06
43 11 1521.01
44 8 10987.6
45 13 7593.97
46 10 5516.56
47 13 7734.32
48 12 5242.66
49 11 4997.44
50 9 6464.54
51 9 6092.16
52 13 8384.9
53 10 10525.3
54 9 1766.74
55 16 7375.39
56 7 14734.6
57 11 6208.62
58 10 6149.54
59 12 9768.29
60 15 1541
61 7 15494.6
62 7 1657.41
63 12 10026.9
64 11 6834.65
65 13 1982.47
66 12 9830.7
67 8 1473.93
68 12 5203.46
69 7 1469.6
70 14 8370.2
71 10 4274.98
72 9 1593.7
73 12 7365.37
74 10 10232.5
75 10 9966.46
76 13 2304.58
77 11 8920.4
78 10 9259.59
79 12 7354.55
80 8 10934.5
81 16 1841.74
82 11 7806.89
83 10 1441
84 6 1438.41
85 13 7048.49
86 9 1688.07
87 11 8959.71
88 12 1443.83
89 9 10334
90 11 1685.21
91 10 8940.3
92 10 8819.2
93 11 7841.51
94 8 1671.69
95 11 7307.67
96 14 9543.95
97 12 1667.49
98 9 6829.06
99 11 1594.49
100 11 5519.82
101 7 1491.65
102 11 5226.05
103 11 4774.09
104 11 5088.26
105 6 1787.57
106 14 4200.15
107 10 3852.68
108 11 1413.14
109 13 3268.41
110 10 2728.2
111 9 1501.21
112 9 2726.08
113 9 1999.18
114 13 1615.47
115 10 1435.42
116 10 2028.32
117 10 1471.01
118 10 1882.84
119 9 1711.96
120 12 1681.49
121 8 1628.23
122 11 1561.18
123 9 1549.24
124 8 1594.07
125 10 1778.35
126 13 1722.28
127 8 1522.48
128 10 1743.38
129 9 1510.15
130 11 1749.63
131 9 1468.27
132 8 1468.84
133 13 1717.62
134 10 1356.54
135 11 1669.22
136 8 1515.38
137 12 1559.7
138 5 1512.84
139 14 1535.02
140 10 1491.17
141 9 1492.24
142 6 7826.21
143 13 3986.32
144 11 4109.84
145 11 1443.05
146 8 4164.13
147 11 1878.54
148 10 3290.63
149 12 2899.59
150 6 2467.48
151 4 4382.62
152 1 5292.55
