#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 1 3040.71
6 2 2642.27
7 3 4768.27
8 2 3221.8
9 3 5944
10 3 2991.77
11 4 4173.13
12 3 4134.03
13 3 7417.53
14 6 4607.29
15 6 5184.23
16 9 4970.02
17 8 5483.68
18 11 5596.65
19 12 5352.16
20 13 4638.24
21 6 8835.91
22 15 4546.34
23 8 7132.75
24 12 5637.77
25 14 4663.95
26 13 7452.83
27 12 7616.82
28 12 6651.74
29 11 4621.71
30 16 7141.94
31 11 5392.92
32 13 6137.56
33 10 6425.94
34 12 5361.64
35 11 6028.33
36 12 1929.85
37 11 7619.54
38 9 6326.13
39 10 8222.26
40 9 6005.27
41 13 4824.76
42 10 8158.36
43 15 5233.37
44 9 10399.6
45 10 2427.57
46 12 11603.9
47 7 1668.37
48 11 8631.73
49 14 7908.11
50 15 5271.15
51 10 9931.44
52 13 1859.19
53 11 10390.3
54 8 7945.04
55 12 4560.32
56 10 11915.7
57 6 17179.5
58 17 7939.58
59 16 7132.05
60 6 10839.5
61 11 2303.92
62 8 13140.7
63 11 11809.5
64 7 2044.29
65 12 7015.55
66 19 6345.88
67 5 2757.62
68 12 12073.5
69 11 2074.49
70 7 27588.7
71 14 10233.3
72 13 10508.4
73 9 10136.6
74 12 2641.95
75 11 5541.59
76 11 8538.94
77 9 2092.56
78 13 2615.48
79 8 15698.7
80 11 9076.5
81 8 5845
82 13 2658.57
83 8 1688.93
84 8 12131.1
85 14 4795.95
86 13 15920.7
87 11 2644.85
88 11 11136.6
89 15 7281.35
90 8 12491.3
91 8 1956.43
92 15 3408.69
93 8 12425.9
94 9 12814.9
95 11 2558.93
96 13 2018.89
97 4 2421.26
98 15 8698.72
99 13 8989.19
100 7 2925.75
101 11 10639.5
102 6 3027.03
103 13 9750.54
104 15 1928.15
105 14 15249.7
106 9 1691.14
107 7 15282
108 7 2370.12
109 14 8782.39
110 7 2331.4
111 9 11767.9
112 15 8090.71
113 9 3790.32
114 7 13698.1
115 10 2462.86
116 15 7760.3
117 13 2201.65
118 13 7520.26
119 14 7134.19
120 7 10727.6
121 4 1463.83
122 12 2178.76
123 11 8284.18
124 11 2115.21
125 7 1926.06
126 12 7305.88
127 12 2278.63
128 9 2420.75
129 1 56150.3
130 1 4859.95
131 1 51954.1
132 2 27283.3
133 0 0
134 0 0
135 0 0
136 1 45431.8
137 1 40781.6
138 1 35829.4
139 0 0
140 1 31082.2
141 0 0
142 0 0
143 1 28378.3
144 1 23010.5
