#second results avg_latency(ms)
0 0 0
1 2 1578.18
2 3 1910.1
3 5 2089.72
4 7 1960.42
5 6 1548.46
6 5 1511.07
7 5 1554.95
8 5 1547.24
9 5 1523.66
10 5 1529.41
11 5 1545.01
12 5 1549.58
13 5 1539.05
14 5 1522.24
15 4 1549.76
16 4 1746.46
17 3 2205.28
18 3 2457.37
19 6 2543.2
20 10 1838.54
21 5 1500.53
22 5 1509.92
23 5 1519.18
24 5 1496.42
25 5 1511.21
26 5 1526.27
27 5 1525.3
28 5 1502.13
29 5 1501.79
30 5 1516.5
31 5 1521.69
32 5 1513.49
33 5 1520.12
34 4 1590.54
35 4 1737.2
36 5 1873.1
37 3 2183.81
38 3 2456.66
39 5 2681.07
40 5 2913.43
41 10 2247.69
42 5 1630.09
43 5 1685.54
44 5 1742.79
45 5 1686.07
46 5 1626.78
47 5 1603.96
48 5 1623.31
49 5 1638.48
50 5 1652.16
51 6 1607.2
52 5 1537.16
53 5 1537.59
54 5 1529.17
55 5 1533.7
56 5 1536.94
57 5 1518.17
58 5 1514.58
59 5 1514.56
60 5 1531
61 5 1547.67
62 5 1551.96
63 4 1546.36
64 4 1701.79
65 5 1885.57
66 7 1728.97
67 5 1530.14
68 5 1527.07
69 5 1529.2
70 5 1539.2
71 5 1525.25
72 5 1529.99
73 5 1521.22
74 5 1512.12
75 5 1505.84
76 5 1531.65
77 5 1532.24
78 4 1544.89
79 3 1783.07
80 2 2319.56
81 5 2670.3
82 4 2900.29
83 9 2440.29
84 8 1758.61
85 5 1552.94
86 5 1556.9
87 5 1533.85
88 5 1518.03
89 5 1542.74
90 5 1532.88
91 5 1569.95
92 4 1627.54
93 5 1735.72
94 4 1810.12
95 6 1758.23
96 5 1600.64
97 5 1622.45
98 6 1608.09
99 4 1598.13
100 4 1707.82
101 4 1943.87
102 4 2168.12
103 4 2388.57
104 2 2539.37
105 3 2941.69
106 3 3710.04
107 3 3925.82
108 4 4402.16
109 8 4000.06
110 8 3508.84
111 12 2333.98
112 3 2153.49
113 2 2764.96
114 4 3029.3
115 3 3410.11
116 2 3767.37
117 1 4582.58
118 0 0
119 1 6016.1
120 1 7117.3
121 1 8295.8
122 0 0
123 1 9394.13
124 1 10230.1
125 4 11239.7
126 0 0
127 1 12458.2
128 1 13276
129 1 13732.6
130 1 14725.3
131 3 15645.8
132 5 16062.7
133 2 15956.3
134 1 16993
135 2 17321.1
136 2 18257
137 1 18533.8
138 12 18559.5
139 71 10922.1
140 2 4921.5
141 2 5394.61
142 3 5910.44
143 1 6266.39
144 2 7138.63
145 1 7961.53
146 1 8679.36
147 1 9357.61
148 1 10070.8
149 1 10777.1
150 2 11794
151 1 12751.9
152 2 13218.1
153 1 14041.9
154 2 14741.1
155 0 0
156 1 15822.7
157 2 16877.3
158 1 17323.9
159 2 18324.2
160 71 11993.8
161 8 5181.66
162 1 5265.17
163 10 5332.11
164 7 4474.48
165 4 4381.67
166 3 4684.01
167 6 4801.92
168 7 4840.64
169 4 4191.73
170 4 4470.58
171 20 3024.57
172 5 1659.18
173 5 1697.72
174 5 1683.78
175 5 1618.31
176 5 1615.85
177 6 1616.18
178 5 1538.85
179 5 1536.75
180 5 1528.45
181 5 1513
182 5 1499.21
183 5 1510.91
184 5 1511.75
185 5 1514.39
186 4 1538.47
187 4 1790.08
188 7 1727.74
189 5 1524.48
190 5 1527.64
191 5 1526.05
192 5 1517
193 5 1543.35
194 5 1558.79
195 5 1530.14
196 5 1563.15
197 5 1577.47
198 5 1573.41
199 4 1670.68
200 4 1866.28
201 6 1717.51
202 3 1818.1
203 4 2262.69
204 4 2486.62
205 4 2723.28
206 3 3061.67
207 6 2944.88
208 3 3005.09
209 6 3278.35
210 3 3311.31
211 4 3471.53
212 4 3661.31
213 3 3996.13
214 4 4405.27
215 4 4578.83
216 2 5010.32
217 5 5258.85
218 4 5323.96
219 3 5591.34
220 3 6010.34
221 4 6320.92
222 5 6555.13
223 4 6800.44
224 4 6746.86
225 4 6913.03
226 4 7239.93
227 4 7355.76
228 3 7607.72
229 2 8212.02
230 2 8908.77
231 1 9555.42
232 2 10237
233 2 10887.5
234 2 11555.2
235 2 11811.3
236 2 12494
237 9 12579.4
238 0 0
239 1 13205
240 1 14455.7
241 2 15301.7
242 73 8450.8
243 5 1609.67
244 5 1688.42
245 5 1768.77
246 5 1726.27
247 5 1619.68
248 5 1605.98
249 6 1596.36
250 4 1599.86
251 6 1601.34
252 5 1567.4
253 5 1533.84
254 5 1513.75
255 5 1523.21
256 5 1500.19
257 5 1497.83
258 5 1518
259 5 1514.53
260 5 1509.72
261 5 1511.08
262 4 1610.6
263 5 1644.78
264 5 1710.21
265 5 1706.1
266 5 1655.34
267 5 1684.25
268 5 1711.97
269 5 1710.67
270 4 1723.45
271 4 1926.48
272 4 2285.92
273 6 2324.99
274 3 2307.99
275 5 2496.84
276 4 2588.23
277 4 2929.48
278 1 3358.67
279 2 3771.44
280 2 4480.23
281 7 4857.8
282 1 4930.29
283 3 5286.4
284 2 6101.4
285 3 6485.74
286 6 6613.25
287 1 7174.5
288 2 7739.57
289 15 6741.75
290 1 6736.32
291 0 0
292 1 7611
293 1 9127.61
294 1 9554.98
295 2 10311.4
296 2 11130.4
297 1 11294.1
298 2 12640.5
299 1 12853
300 3 13403.1
301 1 14028.9
302 1 15324.6
303 1 16167.5
304 2 16703.1
305 1 17027.4
306 6 17749
307 1 17656.8
308 1 18381.8
309 1 19761.9
310 1 20175.6
311 101 10803.7
312 5 1584.1
313 5 1536.46
314 5 1527.86
315 5 1527.78
316 5 1558.81
317 5 1557.36
318 5 1544.58
319 5 1536.09
320 5 1524.33
321 5 1525.28
322 5 1540.54
323 5 1541.43
324 5 1540.95
325 5 1543.53
326 5 1545.05
327 4 1574.91
328 4 1710.47
329 3 2032.97
330 5 2372.6
331 3 2503.79
332 5 2667.19
333 6 2642.37
334 4 2446.12
335 5 2745.47
336 3 2942.04
337 3 3267.24
338 3 3770.7
339 8 3527.53
340 11 2789.46
341 7 1881.61
342 5 1696.83
343 5 1673.34
344 5 1682.77
345 4 1713.05
346 1 2344.53
347 2 2867.43
348 2 3630.5
349 2 4434.02
