#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 0.150123 1 1.1069 1 1 0.474221 20 0 175.579
1 0.103254 1 1.09275 1 2 0.0307538 72 0 95.3964
2 0.108657 1 0.74374 1 2 0.287712 70 0 95.4449
3 0.127739 1 0.792943 1 2 0.182525 63 0 95.4807
4 0.123214 1 0.834332 1 2 0.230127 62 0 95.4292
5 0.119524 1 0.791703 1 2 0.183206 63 0 95.3717
6 0.383674 1 1.41248 1 2 0.0877852 44 0 95.6872
7 0.174701 1 1.26414 1 3 0.0328636 63 0 96.2104
8 0.0721738 1 0.388636 1 4 0.599017 83 0 96.5243
9 0.0736902 1 0.545666 1 2 0.456715 60 0 95.1826
10 0.0737692 1 1.16509 1 1 0.032083 55 0 94.6828
11 0.0728225 1 0.590605 1 2 0.404202 70 0 95.3065
12 0.0864604 1 0.66526 1 2 0.376071 63 0 95.2972
13 0.171625 1 0.796664 1 2 0.280632 56 0 95.4496
14 0.345153 1 1.36249 1 2 0.0224498 51 0 95.6025
15 0.408345 1 1.57022 1 3 0.0393719 50 0 96.4601
16 0.268938 1 0.884899 1 5 0.117027 95 0 97.694
17 0.476893 1 0.706804 1 5 0.28765 60 0 97.5388
18 0.299643 1 0.77186 1 4 0.239199 65 0 97.1028
19 0.293344 1 0.926887 1 3 0.151039 57 0 96.1841
20 0.197559 1 0.849661 1 3 0.113995 68 0 96.0089
21 0.107003 1 0.515321 1 3 0.530896 63 0 95.7139
22 0.0867263 1 0.700987 1 2 0.311504 61 0 95.1847
23 0.0726273 1 0.575985 1 2 0.452465 63 0 95.024
24 0.120977 1 0.794861 1 2 0.243843 60 0 95.2746
25 0.207637 1 1.17916 1 2 0.0637371 54 0 95.3006
26 0.165496 1 0.846091 1 3 0.131522 74 0 96.1599
27 0.0926068 1 0.437317 1 3 0.571552 60 0 95.9107
28 0.0942896 1 0.710829 1 2 0.323293 64 0 95.201
29 0.0771375 1 0.647329 1 2 0.384703 63 0 95.0232
30 0.101426 1 0.632438 1 2 0.388391 61 0 95.1812
31 0.366472 1 1.21165 1 2 0.18742 45 0 95.4406
32 0.344357 1 1.72196 1 3 0.0576495 46 0 96.4307
33 0.239309 1 0.87527 1 5 0.139473 100 1 97.4635
34 0.138213 1 0.335028 1 5 0.662642 60 0 96.981
35 0.115385 1 0.517592 1 3 0.53387 63 0 95.8073
36 0.171719 1 0.922073 1 2 0.16825 56 0 95.4524
37 0.185102 1 1.23858 1 2 0.00572221 57 0 95.4312
38 0.218631 1 0.853005 1 3 0.182004 72 0 96.3741
39 0.308757 1 0.928786 1 3 0.127244 63 0 96.4059
40 0.535867 1 1.29466 1 3 0.051145 47 0 96.5339
41 1.21814 1 1.02261 1 4 0.125053 46 0 97.2299
42 0.517046 1.5 2.47799 2 5 0.0646448 49 0 98.6482
43 0.548639 1.15385 1.37691 1 8 0.0235848 111 0 99.8286
44 0.842173 1 0.545418 1 12 0.440737 91 0 101.924
45 1.85841 1 0.685496 1 7 0.419664 39 0 99.2828
46 3.11178 1.83333 0.451396 2 7 0.500613 31 0 99.4759
47 3.42849 2.38462 0.62441 3 5 0.539557 27 0 99.1619
48 1.88902 2.66667 7.45413 5 5 0.0111446 17 0 100.703
49 1.34907 3.46154 10.0904 6 8 0.104309 28 0 103.698
50 0.388484 5.08333 14.0279 8 12 0.110301 59 0 107.215
51 0.147994 4.23077 15.336 4 18 0.122458 71 0 109.39
52 0.354516 2.33333 8.07216 2 27 0.11461 142 0 114.776
53 0.905668 1.23077 2.82692 1 41 0.0692829 381 0 125.645
54 1.46113 1 1.02604 1 58 0.0474361 678 48 140.251
55 2.26672 1 0.324222 1 58 0.677605 58 0 132.801
56 2.61984 1 0.289504 1 44 0.889219 26 0 121.419
57 3.5096 1.23077 0.115553 2 33 0.915146 40 0 114.803
58 3.3004 1.5 0.29259 3 25 0.758477 45 0 111.554
59 1.26686 2.38462 0.845585 5 19 0.326423 96 14 110.833
60 0.787907 3.75 2.68557 7 21 0.0911981 108 3 113.954
61 0.649455 3.23077 2.2373 6 32 0.0993001 207 0 121.445
62 0.801682 3.08333 1.7129 4 48 0.0641546 300 1 133.736
63 1.49992 2.30769 0.823288 2 57 0.17014 171 134 138.684
64 0.827158 2 0.534974 2 56 0.601684 75 46 133.273
65 0.87897 2 0.628501 2 31 0.467634 79 49 117.004
66 0.733625 2 0.770079 2 20 0.347728 67 51 109.219
67 0.291121 2 1.22048 2 16 0.0744198 131 37 106.595
68 0.343107 1.25 0.413721 1 22 0.577451 108 13 107.655
69 0.336294 1 0.319933 1 11 0.704205 65 0 101.083
70 0.241396 1 0.421112 1 6 0.586235 60 0 98.0978
71 0.106457 1 0.5758 1 3 0.490754 63 0 96.1583
72 0.0711608 1 0.573781 1 2 0.415136 62 0 95.4016
73 0.0705336 1 0.549719 1 2 0.485976 63 0 95.4283
74 0.0916292 1 1.26279 1 1 0.0431556 47 0 94.9579
75 0.101927 1 0.888213 1 2 0.156373 77 0 95.6093
76 0.106136 1 0.675029 1 2 0.304172 63 0 95.5211
77 0.133902 1 0.817124 1 2 0.245899 62 0 95.5966
78 0.151252 1 0.897755 1 2 0.116516 62 0 95.6182
79 0.221733 1 1.14351 1 2 0.0644528 54 0 95.6917
80 0.499491 1 1.06623 1 3 0.0674699 64 0 96.5431
81 0.829395 1 1.38982 1 4 0.0197336 49 0 97.2987
82 1.01649 1 0.979427 1 6 0.0992642 61 0 98.5915
83 0.833597 1 0.742178 1 7 0.284488 52 0 98.9094
