#second results avg_latency(ms)
0 0 0
1 2 1692.16
2 2 2264.43
3 3 2529.32
4 4 2935.28
5 6 2967.67
6 9 2344.93
7 6 1830.04
8 6 1607.59
9 5 1557.13
10 5 1564.48
11 5 1587
12 5 1590
13 5 1579.13
14 5 1559.3
15 4 1598.31
16 3 1799.54
17 3 2178.21
18 4 2567.81
19 5 2763.6
20 11 2066.94
21 5 1528.3
22 5 1540.06
23 5 1548.78
24 5 1522.65
25 5 1527.37
26 5 1530.35
27 5 1534.49
28 5 1527.75
29 5 1528.02
30 5 1548.23
31 5 1555.24
32 5 1541.35
33 5 1553.28
34 3 1732.35
35 4 2172.76
36 4 2283.38
37 3 2389.14
38 5 2708.18
39 5 2802.71
40 3 3028.87
41 12 2384.23
42 5 1691.82
43 4 1892.05
44 5 1962.44
45 5 1909.45
46 6 1745.73
47 5 1675.92
48 5 1712.77
49 5 1740.78
50 5 1769.34
51 6 1677.55
52 5 1573.03
53 5 1575.67
54 5 1561.32
55 5 1571.19
56 5 1577.96
57 5 1581.47
58 5 1543.07
59 5 1541.4
60 5 1580.66
61 4 1647.45
62 4 1781.87
63 6 1719.8
64 4 1834.19
65 5 1988.29
66 5 1918.36
67 7 1655.23
68 5 1559.75
69 5 1562.27
70 5 1579.35
71 5 1555.33
72 5 1577.19
73 5 1557.7
74 5 1540.35
75 5 1533.32
76 5 1569.22
77 5 1584.01
78 4 1622.61
79 2 1959.19
80 2 2730.19
81 2 3201.92
82 3 3730.13
83 5 4058.79
84 6 3796.4
85 5 3573.91
86 16 2442.18
87 5 1571
88 5 1550.02
89 5 1582.65
90 5 1568.59
91 5 1617.02
92 4 1675.82
93 5 1766.1
94 5 1790.9
95 6 1697.61
96 4 1650.99
97 5 1703.72
98 6 1683.11
99 4 1659.92
100 4 1897.24
101 3 2174.5
102 4 2442.85
103 3 2652.79
104 4 2941.16
105 2 3411.93
106 2 3877.98
107 2 4565.29
108 3 5256.01
109 10 4843.51
110 6 4250.27
111 16 3081.23
112 2 2395.69
113 2 3038.64
114 1 3999.21
115 4 3946.01
116 2 4386.16
117 3 4955.41
118 1 5869.37
119 0 0
120 1 7837.43
121 0 0
122 1 9218.93
123 0 0
124 1 10532.1
125 1 12038.4
126 0 0
127 1 13243.8
128 5 14201.4
129 0 0
130 1 15066.1
131 1 16411.3
132 1 17437.6
133 3 17765.1
134 1 18340
135 0 0
136 3 19473.3
137 6 19481.1
138 1 19717.5
139 3 21010.3
140 81 13461
141 4 5710.73
142 1 6547.96
143 3 6832.78
144 2 7527.74
145 1 8611.91
146 1 9326.89
147 1 10166.6
148 0 0
149 1 11158.2
150 1 12098.1
151 1 12909.9
152 1 13921.3
153 1 14817
154 1 15554.2
155 2 16266.4
156 1 17038.9
157 1 17724.7
158 1 18260.6
159 1 19143.3
160 1 20400.7
161 1 20981.5
162 2 21637.4
163 1 22824.5
164 2 23355.6
165 75 16096.6
166 22 7753.86
167 8 5853.69
168 4 5279.89
169 9 4938.07
170 6 4598.51
171 19 2985.54
172 5 1751.88
173 4 1873.1
174 6 1864.07
175 5 1711.39
176 5 1698.32
177 5 1717.01
178 6 1587.94
179 5 1573.62
180 5 1560.18
181 5 1538.78
182 5 1525.29
183 5 1537.07
184 5 1537.64
185 5 1537.32
186 5 1543.83
187 4 1629.27
188 5 1736.46
189 5 1709.84
190 6 1614.37
191 5 1557.83
192 5 1545.79
193 4 1588.62
194 5 1718.04
195 6 1737.68
196 5 1608.27
197 5 1622.17
198 5 1618.55
199 3 1730.78
200 5 1949.01
201 5 1831.62
202 3 2001.87
203 3 2571.53
204 3 2848.55
205 4 3206.57
206 4 3512.44
207 3 3701.54
208 5 4000.07
209 2 4293.63
210 2 4837.11
211 12 4541.88
212 3 4138.2
213 4 4353.1
214 8 4100.52
215 8 3263.09
216 3 3239.14
217 6 3579.08
218 8 3080.86
219 6 2695.32
220 5 2644.07
221 2 2756.78
222 6 2854.24
223 3 3109.79
224 2 3402.31
225 3 4198.97
226 2 4634
227 2 5126.39
228 5 5785.53
229 3 5649.34
230 1 6627.58
231 1 7583.45
232 1 8263.02
233 0 0
234 1 10180.2
235 8 10071.5
236 1 9889.58
237 48 6255.85
238 5 1646.42
239 5 1660.38
240 5 1664.38
241 5 1655.46
242 5 1664.4
243 5 1697.7
244 4 1819.01
245 5 2026.88
246 4 2076.99
247 7 1919.84
248 5 1673.21
249 6 1657.56
250 4 1661.99
251 6 1663.08
252 5 1612.99
253 5 1566.9
254 5 1541.16
255 5 1553.41
256 5 1524.85
257 5 1523.66
258 5 1547.05
259 5 1546.94
260 5 1535.49
261 4 1529.44
262 4 1738.17
263 3 2169.1
264 3 2464.8
265 5 2792.83
266 4 2860.59
267 4 3063.61
268 6 3186.45
269 4 3183.99
270 5 3200.3
271 7 2870.21
272 3 2945.68
273 7 2860.54
274 4 2879.41
275 2 3323.82
276 4 3707.94
277 4 3831.96
278 2 4315.67
279 3 4596.54
280 2 5281.86
281 1 5932.03
282 2 6748.15
283 3 7443.64
284 8 6755.82
285 1 7250.94
286 2 7938.39
287 8 7692.94
288 2 8096.08
289 2 8370.99
290 12 7810.56
291 2 7434.55
292 1 8670.24
293 0 0
294 1 10008.5
295 0 0
296 1 11973.6
297 0 0
298 1 14038.4
299 0 0
300 12 14271.7
301 1 14075.6
302 2 14758.7
303 0 0
304 2 16472.3
305 4 16458
306 0 0
307 5 18181.1
308 6 18214.2
309 0 0
310 0 0
311 0 0
312 0 0
313 48 17760.6
314 2 13572.4
315 2 14314.8
316 14 13007.4
317 2 12752.7
318 17 11780.3
319 13 9876.44
320 22 7341.42
321 20 4318.51
322 11 1999.22
323 5 1578.66
324 5 1579.51
325 5 1581.08
326 5 1584.64
327 4 1629.78
328 3 1820.93
329 2 2346.78
330 3 2929.83
331 3 3335.88
332 3 3660.76
333 5 4032.43
334 5 4049.82
335 5 4136.74
336 2 4469.43
337 6 4429.68
338 2 4815.07
339 4 5100.88
340 13 4403.56
341 7 3313.02
342 8 2928.26
343 7 2388.35
344 7 1931.16
345 3 1832.72
346 2 2404.96
347 1 3169.07
348 2 3927.42
349 1 4918.41
350 2 5431.67
351 1 6097.09
352 1 6798.02
353 2 7580.44
354 1 8399.67
355 10 8117.49
356 2 7835.9
357 2 8499.95
358 7 8273.94
359 1 8709.72
360 6 8920.09
361 4 9052.96
362 31 6246.14
363 1 4376.12
364 1 4971.12
365 1 5630.8
366 2 6628.26
367 1 7258.31
368 1 7924.23
369 1 8547.14
370 2 9561.43
371 1 10282.5
372 8 10277.6
373 1 10641.9
374 1 11427.1
375 1 11742.9
376 7 12514.2
377 39 8522.29
378 4 5459.62
379 5 5512.64
380 4 5787.69
381 5 5753.3
382 5 5818.76
383 1 6264.28
384 2 6922.68
385 2 7568.36
386 1 8241.84
387 2 8993.88
388 7 9236.01
389 2 9467.5
390 4 9385.66
391 21 8139.95
392 17 4936.36
393 1 4025.75
394 2 4952.06
395 1 6240.27
396 0 0
397 3 7087.95
398 4 7378.76
399 2 8185.98
400 19 7066.38
401 9 5031.99
402 17 3863.28
403 4 2391.06
404 4 2745.77
405 3 3022.01
406 4 3203.78
407 4 3535.76
408 7 3372.33
409 5 3111.74
410 13 2151.11
411 4 1565.75
