#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 0.182383 1 1.55358 1 1 0.37857 17 0 177.068
1 0.120056 1 2.01083 1 2 0.0175007 44 0 95.4367
2 0.129683 1 1.04174 1 3 0.0588176 95 0 96.1518
3 0.151961 1 0.667613 1 4 0.356856 73 0 96.8776
4 0.146474 1 0.741519 1 3 0.250007 61 0 96.3186
5 0.14203 1 0.787441 1 3 0.249021 63 0 96.3516
6 0.461699 1 1.2806 1 3 0.0911987 44 0 96.6711
7 0.200355 1 1.45668 1 4 0.0358431 56 0 97.3001
8 0.0859896 1 0.411581 1 6 0.576624 87 0 97.6809
9 0.086926 1 0.570271 1 3 0.482371 63 0 96.1026
10 0.088033 1 0.755802 1 2 0.258936 61 0 95.3137
11 0.0864457 1 0.818429 1 2 0.219086 63 0 95.3351
12 0.103049 1 0.932848 1 2 0.081989 62 0 95.3882
13 0.207562 1 1.13583 1 2 0.156782 49 0 95.5372
14 0.417105 1 1.4128 1 3 0.0462065 53 0 96.6854
15 0.480621 1 1.43754 1 5 0.0330818 62 0 98.1949
16 0.326153 1 0.740994 1 8 0.247223 84 3 99.6138
17 0.565652 1 0.906792 1 6 0.208355 62 0 98.6561
18 0.353519 1 0.732935 1 6 0.238987 63 0 98.3321
19 0.350031 1 0.838772 1 5 0.229873 63 0 97.9254
20 0.229552 1 0.684033 1 5 0.270385 62 0 97.6376
21 0.127664 1 0.537988 1 4 0.491575 65 0 96.7162
22 0.101612 1 0.987717 1 2 0.0789017 56 0 95.6287
23 0.087068 1 0.865899 1 2 0.171795 66 0 95.3374
24 0.144224 1 1.18866 1 2 0.0191071 52 0 95.5117
25 0.251162 1 1.17957 1 3 0.0541238 62 0 96.4497
26 0.191844 1 0.907232 1 4 0.0595825 74 0 96.984
27 0.10993 1 0.503916 1 4 0.53925 64 0 96.4838
28 0.111982 1 0.949714 1 2 0.0662186 60 0 95.4431
29 0.0921334 1 0.925603 1 2 0.116472 63 0 95.3954
30 0.121519 1 0.924481 1 2 0.090224 62 0 95.3694
31 0.443546 1 1.6238 1 2 0.0415084 39 0 95.7363
32 0.407044 1 2.69155 1 3 0.104568 30 0 96.5268
33 0.281764 1 1.63738 1 5 0.0214688 75 0 98.0395
34 0.162804 1 0.640167 1 8 0.339101 106 1 99.2098
35 0.137493 1 0.451217 1 5 0.596208 65 0 97.2388
36 0.207439 1 0.869664 1 3 0.176137 57 0 96.4117
37 0.218539 1 1.13947 1 3 0.0114557 59 0 96.4849
38 0.262134 1 0.868936 1 4 0.136782 69 0 97.2749
39 0.372677 1 0.963756 1 4 0.115285 61 0 97.36
40 0.654637 1 1.40964 1 4 0.00912063 45 0 97.5455
41 1.40734 1 0.889806 1 6 0.122962 49 0 98.7965
42 0.754048 1.25 1.57464 2 7 0.120025 51 0 100.082
43 0.224825 2 1.82809 2 11 0.0452099 103 0 103.319
44 0.99144 1.16667 0.653105 1 17 0.326359 129 12 106.033
45 2.29963 1 0.543871 1 13 0.596266 34 1 102.866
46 3.65713 1.66667 0.532676 2 10 0.443393 35 0 102.134
47 4.20277 2.23077 0.496624 3 8 0.672744 23 0 101.299
48 2.30215 2.69231 3.07192 5 6 0.096074 22 0 102.242
49 1.94807 2.66667 6.47227 6 9 0.228358 22 0 105.131
50 0.678743 2.61538 12.5575 8 14 0.172798 39 0 110.645
51 0.246406 4.16667 10.3592 6 21 0.114822 84 0 114.01
52 0.368655 2.83333 7.54398 3 32 0.156474 126 0 121.567
53 0.335897 2.23077 4.02337 2 48 0.1063 248 0 134.707
54 1.80022 1.16667 1.97119 1 58 0.052342 401 0 143.672
55 2.72559 1 0.863638 1 58 0.0887448 340 82 142.12
56 3.05648 1 0.616615 1 57 0.794174 27 0 132.195
57 4.10185 1.25 0.165052 2 51 0.9028 31 0 127.824
