#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.73923 1 0.318807 1 1 0.840596 4 0 150.45
1 3.02015 1.16667 0.332611 2 1 0.501083 2 0 95.77
2 2.80524 1.4 10.211 3 1 0.647898 2 0 96.3066
3 1.96385 2.1 31.0758 4 2 0.153146 5 0 97.7671
4 0.930322 3.18182 41.8039 5 3 0.173182 10 0 98.9002
5 0.284017 4.04762 39.4924 5 5 0.283927 17 0 99.6574
6 0.611704 2.81818 28.3342 3 8 0.184297 33 0 101.19
7 1.13755 2.18182 17.9543 2 12 0.121523 59 0 103.347
8 1.27953 2 13.1646 2 18 0.368692 71 0 106.742
9 1.16436 2 7.19101 2 27 0.398649 126 0 113.597
10 1.36993 2 3.15323 2 41 0.369194 294 0 123.952
11 1.64651 2.28571 2.1435 3 56 0.0763749 437 0 139.514
12 0.704282 3 2.279 3 56 0.0407717 346 0 139.697
13 4.63084 1.72727 1.54882 1 58 0.0867115 308 0 139.7
14 4.55731 1 0.720854 1 58 0.221923 142 59 137.982
15 3.60666 1 0.609541 1 57 0.672839 31 17 131.097
16 3.30052 1.18182 0.297905 2 51 0.875569 27 0 127.984
17 3.02655 1.36364 0.261867 3 38 0.900321 10 0 118.917
18 1.15718 2.18182 0.00416843 5 29 0.999348 31 17 114.135
19 0.498942 3.5 3.06484 7 19 0.200593 87 13 112.235
20 0.628314 3.54545 3.81017 4 29 0.133711 135 0 117.751
21 1.12638 2.7 1.59375 3 43 0.0832403 332 3 128.262
22 1.11904 2 0.858096 3 56 0.223306 204 132 138.8
23 1.21907 2 0.701726 3 55 0.308561 78 48 135.403
24 1.33197 2.90909 0.650073 4 51 0.503571 106 129 131.377
25 0.185689 5 0.845301 6 48 0.320835 159 152 134.319
26 0.548517 4.90909 0.788581 3 45 0.258072 107 172 128.056
27 1.22715 2.81818 0.600879 2 39 0.505981 75 78 122.255
28 0.648347 2.57143 0.912471 3 33 0.451006 114 88 118.945
29 0.499419 3 0.804305 3 34 0.272037 89 118 119.58
30 1.04362 2.33333 0.708195 2 30 0.415677 75 65 115.09
31 1.05509 2 0.876662 2 26 0.327572 66 44 112.96
32 1.12085 2 0.691872 2 27 0.35337 67 40 113.228
33 0.700015 2.6 1.52023 3 24 0.219539 99 52 112.86
34 0.960937 2.16667 0.847229 2 36 0.402391 97 103 119.626
35 1.04034 2 0.662682 2 34 0.418788 75 66 118.305
36 1.03156 2 0.822624 2 28 0.435372 60 45 114.84
37 1.08045 2 0.791731 2 27 0.435813 68 39 113.639
38 1.00088 2 0.784864 2 25 0.314551 64 50 112.798
39 1.14994 2 0.831026 2 23 0.180743 71 33 111.303
40 0.837229 2.5 1.36064 3 23 0.262771 125 47 111.761
41 0.613326 3 0.837673 3 35 0.327936 128 113 120.295
42 1.08289 2.45455 0.771327 2 32 0.335085 78 63 117.213
43 1.23833 2 0.723714 2 30 0.422044 59 43 115.492
44 0.989085 2.45455 0.753496 3 29 0.385912 76 58 115.764
45 0.580772 3 1.72864 3 25 0.186191 128 52 113.937
46 1.32194 2.2 0.81935 2 38 0.322626 92 93 121.057
47 0.892384 2.66667 0.627201 3 44 0.424245 99 119 126.416
48 0.519566 3 0.811291 3 29 0.247316 89 67 116.611
49 1.17507 2.7 0.689527 2 26 0.334772 75 63 113.395
50 0.620852 2.61905 1.35374 3 23 0.272496 111 57 111.713
51 0.968513 2.09091 0.841794 2 35 0.443723 81 93 118.918
52 0.911512 2 0.61766 2 33 0.420397 77 74 117.831
53 1.02166 2 0.839828 2 22 0.260186 61 40 110.689
54 1.01602 2 0.81595 2 21 0.281471 78 34 109.667
55 0.987231 2 0.82635 2 20 0.216043 80 31 109.23
56 0.995706 2 0.895124 2 19 0.141344 80 23 108.821
57 1.05351 2 1.69954 2 20 0.127853 96 28 109.416
58 1.03951 2 1.03093 2 30 0.331503 125 40 115.752
59 1.11358 2 0.691326 2 36 0.430609 72 63 119.725
60 0.718402 2.6 0.671469 3 31 0.394662 79 62 117.046
61 0.504787 3 0.918719 3 22 0.167754 111 54 112.036
62 0.939845 2.47619 1.32006 2 23 0.179834 114 64 111.271
63 1.02195 2 0.788718 2 35 0.501207 97 64 118.716
64 1.05966 2 0.762931 2 32 0.431047 67 56 116.817
65 1.11096 2 0.776989 2 29 0.411612 65 41 115.156
66 0.619504 2.45455 0.793962 3 27 0.279283 89 63 114.775
67 0.907693 2.8 0.861001 2 23 0.158059 88 54 111.391
68 1.05049 2 0.707901 2 22 0.339692 72 38 109.927
69 1.01472 2 1.38478 2 19 0.199862 96 40 108.532
70 1.08675 2 1.00394 2 29 0.395066 96 44 114.903
71 1.00405 2 0.645533 2 35 0.415728 73 71 119.257
72 0.951774 2 0.685433 2 28 0.394216 64 41 114.828
73 0.947762 2 0.739972 2 22 0.357507 79 40 111.202
74 0.88622 2 1.65362 2 18 0.122856 101 18 107.861
75 1.10797 2 1.23613 2 27 0.340557 112 20 113.321
76 0.988865 2 0.658074 2 37 0.426756 86 79 120.175
77 1.0238 2 0.702141 2 29 0.347891 60 44 115.445
78 0.9729 2 0.678794 2 25 0.397929 71 42 112.497
79 0.979729 2 0.762769 2 20 0.286317 74 29 109.679
80 0.935357 2 1.5048 2 18 0.178301 105 27 107.689
81 1.16474 2 1.17239 2 27 0.392204 97 36 113.119
82 1.13068 2 0.737982 2 36 0.487875 79 67 119.357
83 0.886789 2.7 0.704698 3 33 0.355537 81 73 118.943
84 0.617378 3 0.924618 3 25 0.214175 104 64 113.911
85 1.0996 2.42857 0.878071 2 26 0.252996 91 67 113.429
86 1.09798 2 0.782987 2 28 0.280458 65 39 113.995
87 1.17143 2 0.824895 2 26 0.271493 65 35 113.047
88 0.942354 2.66667 1.14665 3 27 0.248861 137 65 114.318
89 0.510837 3 0.830444 3 35 0.231915 109 117 120.811
90 1.08812 2.7 0.750217 2 32 0.296658 79 62 117.659
91 1.05545 2 0.677707 2 29 0.421565 62 49 114.987
92 0.935167 2 0.775068 2 24 0.303169 69 41 112.125
93 1.07431 2 1.0121 2 21 0.182743 93 43 109.853
94 0.930074 2 1.09206 2 25 0.19166 104 47 112.76
95 0.986327 2 0.680812 2 31 0.353237 74 63 116.334
96 1.02287 2 0.741823 2 25 0.306451 64 39 112.776
97 1.09546 2 0.781107 2 22 0.284576 76 34 110.165
98 0.980466 2 0.834647 2 21 0.216673 78 33 110.008
99 1.097 2 1.21156 2 20 0.144952 95 29 109.81
100 1.17306 2 0.684091 2 27 0.352375 64 34 113.557
101 1.13237 2.63636 1.19969 3 24 0.178679 137 50 113.257
102 0.345746 3.4 0.807785 4 32 0.249036 119 104 119.471
103 1.06414 2.90476 0.871827 2 28 0.152302 110 98 116.298
104 1.06142 2 0.859449 2 29 0.419679 81 50 114.961
105 1.10879 2 0.858614 2 30 0.385844 76 63 115.611
106 0.811737 2.5 0.710038 3 31 0.323148 83 76 117.802
107 0.523499 3 0.960633 3 24 0.237671 109 63 113.534
108 1.07914 2.42105 0.813578 2 26 0.216559 91 65 113.577
109 1.09258 2 1.39905 2 25 0.257444 77 46 112.864
110 1.02541 2 0.671722 2 38 0.487719 83 78 120.49
111 1.06351 2 0.77135 2 31 0.337771 68 48 116.538
112 1.19473 2 0.658537 2 28 0.487678 56 41 113.994
113 0.992327 2.52381 1.49377 3 25 0.393921 94 41 113.789
114 0.574274 3 0.989546 3 38 0.383813 136 112 121.75
115 1.17064 2.27273 0.716459 2 42 0.432376 73 88 124.011
116 0.720381 2.8 0.637752 3 38 0.438368 74 83 122.669
117 0.589073 3 0.878901 3 26 0.218119 89 74 114.377
118 1.135 2.72727 0.842903 2 25 0.247949 99 55 112.888
119 0.658642 2.66667 1.42602 3 26 0.216309 122 54 113.591
120 1.33727 2.1 0.538881 2 39 0.523752 42 72 120.733
121 0.869623 2.81818 0.896401 3 31 0.343005 121 107 118.024
122 0.567133 3 0.851759 3 31 0.252869 101 81 117.764
123 1.16853 2.7 0.770286 2 29 0.278073 86 58 115.398
124 0.740107 2.45455 0.80183 3 28 0.264837 82 53 114.58
125 0.526657 3 1.34004 3 24 0.167246 145 73 113.565
126 1.10419 2.18182 0.771296 2 36 0.341387 82 121 120.178
127 0.60453 2.8 0.656188 3 34 0.377349 79 71 119.196
128 1.11223 2.5 0.844785 2 24 0.272178 88 60 112.672
129 0.56877 2.83333 1.31221 3 25 0.221897 115 54 113.303
130 1.02915 2.09091 0.762574 2 38 0.453063 77 108 120.973
131 0.36917 -nan 0.445786 2 34 0.505491 58 35 116.358
