#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 4.69769 1 5.8344e-05 1 1 0.999942 1 0 133.287
1 4.27457 1.08333 5.05627 2 1 0.201641 4 0 95.8497
2 3.87922 1.5625 10.9132 3 2 0.161927 4 0 97.6124
3 3.09827 2.18182 6.59821 4 3 0.514453 4 0 98.632
4 3.17509 2.81818 5.85237 5 5 0.466942 16 0 100.504
5 1.35103 3.8 26.2914 6 8 0.111034 21 0 103.948
6 0.213392 5.17647 32.1965 8 12 0.163202 33 0 107.528
7 0.349542 4.86667 23.9154 4 18 0.0956217 61 0 109.821
8 0.937675 2.2 13.8738 2 27 0.177874 102 0 115.491
9 0.602382 2 6.00311 2 41 0.304929 202 0 126.546
10 1.03879 2 2.82162 2 57 0.18993 428 0 140.675
11 3.77807 1.63636 2.46828 1 58 0.0574702 376 0 142.572
12 3.85641 1 1.62342 1 58 0.05404 384 0 142.749
13 3.9405 1 0.802942 1 58 0.136704 182 85 141.025
14 4.08604 1 0.499298 1 57 0.707799 2 0 132.468
15 3.18903 1.16667 0.468558 2 43 0.836317 34 11 123.479
16 2.92361 1.2 0.493686 3 32 0.91125 5 0 117.953
17 0.952826 2.18182 0.717305 5 24 0.497264 86 27 114.323
18 0.397779 2.54545 3.77723 6 20 0.18924 76 4 113.337
19 1.01856 4.27273 4.79553 3 30 0.18314 96 0 119.57
20 1.02187 2 1.36261 3 45 0.0965167 316 35 131.974
21 3.37346 1.09091 0.770883 2 57 0.30239 133 126 141.215
22 2.53508 1.72727 0.751876 2 56 0.45353 34 12 135.434
23 4.11051 1.54545 1.0435 3 56 0.771372 19 10 132.344
24 1.9084 2 0.591158 3 56 0.753896 29 8 133.708
25 0.75937 3 0.666089 3 48 0.650267 93 29 133.448
26 0.593645 2.95 1.41285 3 34 0.120333 131 18 123.803
27 0.656799 2.1 1.53807 2 51 0.293104 207 43 136.058
28 2.89189 1.4 0.894694 1 58 0.149672 224 163 141.654
29 4.3196 1 0.542956 1 57 0.504728 22 4 133.431
30 3.91394 1.27273 0 2 46 0.97969 0 0 123.898
31 3.5407 1.16667 0.541904 3 35 0.612318 80 21 120.207
32 1.04165 2.04762 0.411853 5 28 0.599123 28 6 116.574
33 0.673301 3 2.19276 6 16 0.245943 78 32 109.669
34 0.917548 3.09091 4.29666 4 24 0.148038 113 0 114.619
35 0.553243 3 4.20226 4 36 0.243892 115 0 123.985
36 1.48075 2.72727 1.83218 2 54 0.0727204 338 0 139.692
37 1.16297 2 1.19544 2 57 0.087062 255 57 142.02
38 1.10863 2 0.728419 2 57 0.286318 85 93 139.222
39 1.00791 2 0.594971 2 51 0.583089 59 54 133.393
40 1.07468 2 0.745769 2 38 0.415392 58 44 124.725
41 1.22089 2 0.755174 2 34 0.364299 63 50 120.039
42 1.60321 1.81818 1.04674 3 33 0.425939 77 53 119.977
43 0.684158 3.16667 0.850627 4 44 0.306133 137 116 130.467
44 0.330615 3.91667 1.0427 4 40 0.223893 124 98 129.013
45 1.09021 2.9 0.678373 2 47 0.385925 81 120 130.163
46 1.1456 2 0.726821 2 40 0.414294 62 52 126.551
47 0.857324 2.72727 1.19409 3 36 0.120216 128 83 124.668
48 0.584333 3 0.674608 3 49 0.41797 75 107 132.758
49 1.12123 2.72727 0.875988 2 35 0.322635 74 73 123.891
50 0.598418 2.57143 1.46181 3 38 0.316719 100 64 123.852
51 1.01018 2.09091 0.832957 2 57 0.400595 77 128 137.817
52 1.0969 2 0.57795 2 55 0.606677 62 56 135.299
53 0.98463 2 0.725358 2 42 0.426494 62 48 128.051
54 1.06599 2 0.678322 2 36 0.450618 63 49 121.796
55 1.27406 2 0.805267 2 31 0.345783 55 43 117.965
56 1.04434 2.38095 1.34812 3 34 0.434393 93 49 120.484
57 0.558159 2.9 0.788498 3 51 0.388225 123 122 134.652
58 1.16347 2.45455 0.75287 2 44 0.375971 78 66 129.987
59 0.75597 2.6 0.67008 3 41 0.458232 68 63 127.113
60 0.527497 3 0.853356 3 29 0.293912 94 72 117.972
61 1.00879 2.45455 0.920114 2 27 0.179989 111 51 115.772
62 1.11374 2 1.19394 2 29 0.214384 99 53 116.286
63 1.20055 2 1.06642 2 38 0.528722 48 45 121.337
64 0.981252 2.54545 0.636032 3 49 0.401326 94 104 132.376
65 0.572914 3 0.771964 3 38 0.359566 91 78 127.815
66 1.01066 2.42857 0.852407 2 32 0.282677 79 70 120.618
67 1.0298 2 1.44812 2 31 0.243959 89 48 118.551
68 0.956364 2 0.793947 2 47 0.407877 88 80 129.783
69 0.614083 2 0.649037 2 42 0.461129 77 51 127.093
70 0.93496 2 0.822184 2 29 0.399998 66 35 118.185
71 0.982582 2 0.804555 2 27 0.281292 75 41 114.87
72 0.93597 2 0.933822 2 25 0.162907 65 31 113.737
73 0.955746 2 1.50192 2 26 0.285317 99 38 114.566
74 1.06864 -nan 0.875478 2 39 0.421982 55 30 123.054
75 1.41351 2 0.599319 2 41 0.519533 71 66 124.704
76 1.14087 2.06667 0.951623 3 36 0.506476 70 47 122.794
77 0 -nan 0.790454 0 43 0.264407 83 74 124.75
78 0 -nan 0.727209 0 37 0.498778 4 0 118.132
