#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3372.24
4 1 4313.18
5 1 5797.12
6 0 0
7 2 7365.26
8 0 0
9 3 9291.89
10 0 0
11 1 11228.7
12 2 12196.8
13 2 12662.5
14 1 13304.8
15 1 14156.2
16 2 14642.7
17 1 15328.3
18 9 15197.7
19 1 15890.9
20 1 16197.8
21 17 15827.3
22 3 14496.6
23 29 12639.8
24 3 10341.9
25 13 9369.22
26 32 6269.15
27 2 3510.5
28 9 3645.65
29 5 3161.35
30 5 3138.06
31 8 2569.85
32 0 0
33 3 3931.41
34 2 4288.76
35 4 4502.38
36 4 4760.91
37 3 5190.59
38 2 5969.81
39 18 4468.96
40 2 3758.55
41 5 3924.97
42 2 4445.68
43 2 4780.52
44 6 4983.04
45 2 5211.34
46 4 5651.82
47 7 5433.14
48 0 0
49 3 6364.74
50 6 6611.28
51 2 6444.29
52 13 6550.21
53 10 4967.99
54 8 4304.22
55 4 4174.81
56 7 3886.46
57 4 4055.59
58 6 3488.27
59 5 3777.89
60 6 3711.91
61 0 0
62 0 0
63 1 6048.51
64 3 6354.35
65 4 6934.21
66 5 6765.62
67 1 7831.75
68 1 7910.49
69 5 8585.91
70 7 7986.11
71 1 9022.96
72 12 8285.22
73 1 8016.93
74 26 6172.19
75 6 4128.42
76 4 3723.68
77 4 4411.12
78 7 3904.52
79 2 4150.9
80 4 4613.33
81 6 4615.64
82 1 5053.6
83 5 5290.47
84 2 5842.09
85 6 5539.81
86 1 6473.04
87 8 6562.55
88 2 6255.83
89 12 5687.18
90 7 4636.66
91 8 4454.62
92 2 4535.81
93 9 4427.26
94 1 4538.27
95 3 5097.28
96 7 4981.53
97 14 4017.23
98 5 2792.34
99 5 2962.3
100 5 2551.88
101 3 3428.44
102 7 3145.47
103 0 0
104 1 4492.85
105 3 4933.31
106 5 5060.48
107 4 5289.66
108 2 5662.57
109 13 5095.61
110 2 4247.67
111 4 5037.42
112 7 4995.48
113 3 4905.01
114 2 5193.37
115 7 5532.85
116 7 5248.64
117 2 5662.61
118 14 4543.27
119 3 4049
120 7 4020.04
121 6 3459.03
122 4 3462.05
123 2 4185.46
124 7 4379.32
125 3 4198.54
126 2 4432.16
127 6 4710.72
128 2 5040.3
129 10 4951.89
130 3 4609.54
131 7 4407.93
132 3 4625.31
133 1 4987.46
134 8 5549.39
135 3 5459.18
136 8 5035.39
137 7 4578.32
138 1 4930.48
139 6 4839.62
140 12 4236.96
141 4 3484.09
142 2 4089.21
143 3 4841.01
144 4 4786.39
145 4 4772.8
146 3 5292.61
147 17 4191.85
148 0 0
149 0 0
150 0 0
151 0 0
152 1 8009.84
153 1 8683.62
154 2 9120.96
155 2 9547.67
156 2 9936.51
157 6 10444.9
158 1 11177.5
159 1 11164.8
160 4 12260.2
161 11 11100.8
162 14 10242.4
163 8 8885.22
164 6 8281.8
165 20 6688.26
166 10 5122.52
167 3 4581.63
168 7 4889.96
169 4 4547.38
170 5 4256.99
171 10 3591.67
172 4 3807.41
173 3 3978.32
174 4 4063.03
175 4 4481.14
176 8 4368.55
177 7 3826.97
178 3 3639.24
179 1 4382.4
180 2 4982.34
181 8 4847.63
182 1 5213.92
183 2 5547.67
184 9 5940.44
185 2 5562.06
186 12 5431.58
187 7 4501.31
188 6 3921.41
189 2 4441.31
190 3 4488.77
191 1 5144.65
192 3 6006.5
193 10 5601.22
194 5 5179.7
195 4 5145.52
196 2 5828.93
197 1 6085.22
198 11 6199.18
199 8 5221.62
200 3 5114.28
201 7 5088.71
202 9 4397.14
203 2 4380.56
204 3 4935.17
205 7 4697.36
206 3 5142.26
207 6 4957.15
208 3 5315.16
209 2 5425.3
210 9 5674.9
211 4 5059.9
212 6 5161.42
213 3 5444.54
214 9 5243.54
215 3 4900.5
216 7 4770.8
217 2 4881.99
218 8 4823.75
219 4 5020.8
220 7 4741.64
221 4 4700.07
222 6 4599.5
223 3 4789.81
224 1 5346.33
225 4 5709.68
226 5 5833.45
227 12 5465.08
228 2 4773.15
229 7 5164.02
230 2 4956.2
231 11 4681.49
232 4 4153.9
233 4 4170.4
234 7 4505.3
235 4 4399.46
236 1 4977.16
237 9 4996.49
238 1 4905.14
239 11 4754.6
240 1 4528.44
241 2 4911.57
242 3 5551.73
243 6 5557.48
244 11 5194.43
245 4 4607.92
246 6 4077.76
247 7 4111
248 4 3823
249 3 4452.38
250 6 4284.95
251 3 4451.49
252 3 5117.7
253 6 4676.67
254 3 5146.25
255 7 4910.14
256 3 4889.36
257 3 5570.62
258 6 5643.35
259 3 5578.85
260 11 5061.33
261 5 4664.59
262 2 4769
263 4 5409.02
264 3 5791.71
265 7 5966.46
266 10 5226.44
267 8 4108.91
268 1 4707.67
269 3 5342.92
270 7 4953.21
271 1 4884.84
272 4 5409.61
273 7 5709.91
274 2 5462.3
275 1 6461.28
276 3 6797.77
277 8 6470.16
278 8 6228.42
279 2 6437.27
280 2 7131.1
281 11 6245.23
282 13 5019
283 3 4782.17
284 10 4448.79
285 4 3985.95
286 3 4281.04
287 3 4436.97
288 3 5094.49
289 6 5224.36
290 4 4931.32
291 2 5540.23
292 11 5371.06
293 3 4856.25
294 14 4011.41
295 0 0
296 0 0
297 0 0
298 4 6344.48
299 7 6217.23
300 2 6476.85
301 15 5547.45
302 8 4171.98
303 3 4054.18
304 7 4113.47
305 6 3935.69
306 1 3799.67
307 4 4654.99
308 8 4429.72
309 1 4422.23
310 9 4548.5
311 2 4538.16
312 10 4095.75
313 8 3166.5
314 5 3269.82
315 5 3171.44
316 2 3609.3
317 4 3775.04
318 4 4073.01
319 0 0
320 1 5844.49
321 2 6253.37
322 6 6409.04
323 3 6830.54
324 4 6635.04
325 4 7101.86
326 6 7072.12
327 2 7225.34
328 2 8212.94
329 2 8419.07
330 13 8032
331 1 7274.95
332 13 7453.78
333 3 6531.7
334 17 5436.07
335 3 4378.97
336 9 4545.75
337 7 3751.86
338 2 3772.09
339 8 3711.52
340 0 0
341 0 0
342 0 0
343 1 6866.78
344 3 7593.72
345 8 7539.94
346 1 7388.92
347 8 7772.17
348 7 7312.63
349 6 6714.02
350 3 6964.67
351 17 5887.55
352 9 4496.06
353 2 4329.65
354 7 4251.16
355 3 4257.9
356 4 4725.95
357 5 4518.28
358 2 5116.98
359 4 5331.42
360 5 5200.26
361 3 5538.79
362 5 5857.92
363 6 5526.98
364 1 6050.98
365 9 5811.96
366 9 5337.14
367 9 4633.69
368 3 4575.39
369 7 4523.75
370 2 4329.85
371 6 4712.38
372 4 4553.01
373 3 4948.98
374 7 5168.15
375 2 4994.19
376 2 5588.01
377 6 5742.82
378 2 6204.66
379 4 6497.07
380 15 5558.79
381 4 4859.55
382 6 4621.62
383 2 4913.59
384 9 4724
385 2 4796.1
386 4 5063.59
387 6 4800.48
388 2 5166.92
