#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 1 10089.5
11 0 0
12 0 0
13 0 0
14 1 14476.3
15 1 15369.9
16 0 0
17 1 17508.2
18 0 0
19 0 0
20 1 20406
21 3 20474.4
22 4 21238.1
23 0 0
24 0 0
25 0 0
26 4 24161.5
27 5 23916.7
28 2 24414.1
29 1 25445.6
30 0 0
31 10 25923.4
32 2 25950.5
33 9 25279.1
34 2 25360.4
35 18 24900
36 23 22018.4
37 1 20519.9
38 3 20872.2
39 5 21180.6
40 5 20907.4
41 2 21339.6
42 7 21469.9
43 10 20604.5
44 0 0
45 2 21506.8
46 30 18872.1
47 4 17210.1
48 20 15882.2
49 8 13997.1
50 0 0
51 20 12728.9
52 0 0
53 0 0
54 8 13279.9
55 1 13059.2
56 1 14172.5
57 1 14682.2
58 1 15726.8
59 0 0
60 7 16744.3
61 1 16831.9
62 1 18149.3
63 1 19016.2
64 2 19299.8
65 0 0
66 5 20169.8
67 0 0
68 0 0
69 0 0
70 0 0
71 1 24553.7
72 1 25581.7
73 2 26426.3
74 0 0
75 3 27997.8
76 1 28279.2
77 3 28924
78 0 0
79 0 0
80 0 0
81 1 32979.6
82 0 0
83 1 34591.5
84 1 35551.6
85 2 35933.1
86 0 0
87 9 37322.3
88 84 28695.9
89 2 21024.1
90 13 20639.7
91 6 20089.4
92 1 20041.4
93 1 21146.7
94 2 21291.3
95 8 21368
96 2 21338.9
97 0 0
98 8 22306.3
99 3 22317.9
100 1 23097.7
101 25 20964
102 1 19683.6
103 1 20662.6
104 2 21279.9
105 1 21876.3
106 56 16917.2
107 9 11366.6
108 2 11600.4
109 12 11243.6
110 6 10154.2
111 9 10072.2
112 0 0
113 3 10757.6
114 12 10281.6
115 6 9382.01
116 2 10135.4
117 6 9940.61
118 2 10097.8
119 14 9662.45
120 8 8411.46
121 10 7841.13
122 1 7080.92
123 9 7305.72
124 2 7187.42
125 6 7095.23
126 1 7288.79
127 2 8215.87
128 11 8411.28
129 3 7945.27
130 1 8376.43
131 7 8254.68
132 1 8608.72
133 19 7516.93
134 1 6411.55
135 2 7319.15
136 15 6519.69
137 3 5655.25
138 2 6546.51
139 9 6146.17
140 2 6583.84
141 7 6029.91
142 2 6267.01
143 5 6887.47
144 7 6396.19
145 1 7098.5
146 7 6749.21
147 2 7226.59
148 9 7273.84
149 2 6758.35
150 10 6798.94
151 1 7062.07
152 9 6445.14
153 1 6990.72
154 1 7469.88
155 2 8132.78
156 10 7993.17
157 10 6938.26
158 1 7076.96
159 9 6787.79
160 1 6788.37
161 11 6279.29
162 3 6218.77
163 4 6381.71
164 3 6926.54
165 4 6701.86
166 6 6864.31
167 0 0
168 11 7771.13
169 1 7317.26
170 9 7320.81
171 11 6350.26
172 5 5759.37
173 4 5532.45
174 4 5901.72
175 6 5689.5
176 2 6034.78
177 1 6883.62
178 1 7555.52
179 9 7740.07
180 11 6703.68
181 1 6483.54
182 3 7318
183 7 6762.31
184 10 6122.06
185 1 5863.93
186 9 6263.69
187 2 6104.84
188 2 7040.18
189 9 6961.12
190 8 6177.92
191 2 6038.82
192 4 6445.38
193 4 6340.08
194 2 6827.08
195 10 6972.54
196 2 6296.76
197 1 7214.23
198 9 6925.98
199 0 0
200 12 7021.84
201 7 6137.69
202 2 5972.6
203 10 5970.52
204 3 6021.41
205 7 5728.72
206 1 5938.6
207 8 6254.04
208 2 6132.7
209 1 6397.69
210 4 7454.9
211 6 7281.67
212 1 8043.87
213 4 8044.58
214 7 7575.83
215 9 7602.67
216 1 7509.81
217 1 8516.9
218 8 8157.23
219 4 7724.2
220 10 7949.98
221 4 7176.89
222 8 6979.93
223 1 7233.38
224 8 7621.48
225 2 7388.07
226 0 0
227 11 7643.55
228 10 6982.44
229 1 6427.19
230 8 6948.18
231 2 6594.27
232 2 7159.36
233 9 7084.52
234 8 6643.86
235 7 6347.63
236 4 5843.93
237 2 6483.4
238 8 6832.79
239 3 6453.94
240 9 6345.73
241 1 5981.11
242 8 6534.83
243 1 6269.77
244 10 6249.97
245 2 6039.51
246 3 6497.24
247 7 6545.82
248 2 6961.18
249 7 6535.66
250 1 7256.86
251 5 7238.33
252 9 6895
253 2 7187.87
254 6 7028.98
255 2 7016.13
256 9 7539.23
257 2 7514.64
258 2 7733.25
259 8 7859.62
260 8 7117.68
261 2 6748.29
262 9 6659.78
263 0 0
264 12 7078.79
265 7 6052.99
266 2 6021.77
267 2 6784.89
268 6 7092.49
269 3 7118.61
270 8 6708.02
271 2 7129.28
272 2 7601.12
273 10 7475.34
274 0 0
275 10 7385
276 0 0
277 10 7124.43
278 1 7123.62
279 3 8177.63
280 9 7333.05
281 10 6486.68
282 4 6578.26
283 5 6265.84
284 2 6370.62
285 2 7434.22
286 8 7281.92
287 8 6615.52
288 2 6640.35
289 6 7060.23
290 5 6828.18
291 0 0
292 9 7184.24
293 2 7322.96
294 1 7985.98
295 10 8205.14
296 3 7350.16
297 6 7300.13
298 2 7761.9
299 0 0
300 11 8396.32
301 1 8370.25
302 21 7110.51
303 1 5625.58
304 3 6786.1
305 1 7218.72
306 3 7445.28
307 6 7782.82
308 0 0
309 1 8898.17
310 19 8343.43
311 1 6748.84
312 4 7481.6
313 7 7706.76
314 8 6966.07
315 2 7074.85
316 1 7458.18
317 9 7468.09
318 10 7257.35
319 2 6334.63
320 7 6883.59
321 1 6642.54
322 4 7201.01
323 9 7091.33
324 6 6736.08
325 6 6396.42
326 2 6842.07
327 1 7478.03
328 7 7386.92
329 10 7239.99
330 8 6149.51
331 3 6203.45
332 0 0
333 5 7063.98
334 4 6802.14
