#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 1 6913.65
7 1 7780.75
8 0 0
9 0 0
10 2 10099.5
11 1 10781.8
12 0 0
13 3 12655.2
14 0 0
15 2 13686.5
16 4 14173.9
17 2 14655
18 0 0
19 3 15798.2
20 0 0
21 12 16972.9
22 2 16125.2
23 1 16782
24 8 16802.3
25 1 17433.8
26 1 17643.9
27 11 17632.1
28 1 17638.5
29 23 16435
30 2 14786
31 27 12819.3
32 1 11366.3
33 3 12037
34 25 9642.41
35 3 8080.1
36 1 8404.94
37 2 9204.65
38 10 8752.99
39 1 9164.05
40 0 0
41 0 0
42 2 11840.2
43 9 11721.4
44 2 11504.1
45 13 11309.7
46 1 10362.4
47 32 8631.52
48 2 5570.69
49 1 6728.08
50 19 5595.8
51 4 4201.58
52 2 4685.42
53 2 5288.19
54 0 0
55 3 6776.38
56 10 6194.47
57 2 6053.66
58 0 0
59 0 0
60 0 0
61 0 0
62 33 7442.58
63 8 4552.08
64 2 5123.22
65 5 4994.67
66 4 5179.34
67 3 5452.36
68 9 5006.89
69 9 4071.92
70 5 3922.69
71 3 4246.67
72 2 5046.13
73 2 5252.88
74 4 5473.61
75 4 5797.55
76 13 5170.41
77 7 4336.51
78 2 4326
79 10 4268.17
80 4 3739.27
81 5 3708.53
82 3 3847.68
83 6 3954.87
84 5 3973.42
85 2 4151.71
86 7 4185.62
87 1 4640.48
88 3 5095.17
89 7 5052.51
90 0 0
91 0 0
92 1 7148.88
93 1 8674.67
94 30 6342.88
95 3 3897.76
96 5 3861.54
97 4 3826.43
98 7 3850.74
99 4 3908.46
100 7 3701.25
101 3 3860.65
102 6 4039.75
103 6 3791.11
104 3 3685.57
105 5 4016.86
106 2 4230.9
107 0 0
108 3 5887
109 4 5960.99
110 1 6751.51
111 0 0
112 0 0
113 0 0
114 1 10160
115 10 10497.8
116 1 10306
117 32 8023.52
118 6 5097.83
119 0 0
120 2 6135.53
121 1 6642.47
122 8 7419.89
123 4 6930.99
124 2 7243.53
125 2 7905.3
126 4 8252.16
127 8 8216.3
128 0 0
129 17 7547.58
130 4 6550.98
131 17 5298.81
132 3 4191.14
133 8 4477.83
134 3 3967.33
135 3 4634.08
136 3 4757.78
137 3 5603.87
138 7 5519.76
139 10 4506.72
140 6 4087.8
141 5 4028.37
142 5 3966.26
143 4 4163.45
144 3 4301.06
145 3 4663.95
146 2 5540.36
147 12 5065.99
148 2 4493.43
149 5 5114.46
150 7 4552.86
151 4 4640.75
152 4 4320.8
153 3 5070.17
154 5 5449.98
155 10 4865.25
156 4 4328.77
157 3 4582.73
158 9 4515.02
159 1 4387.5
160 0 0
161 14 4786.56
162 6 3912.94
163 2 3853.76
164 3 4511.54
165 4 4699.07
166 3 5415.39
167 1 5766.63
168 10 5393.67
169 6 4985.67
170 6 4898.5
171 6 4605.65
172 1 5143.49
173 0 0
174 0 0
175 13 6950.7
176 3 6261.99
177 4 6303.03
178 18 4996.47
179 2 4229.34
180 8 4061.95
181 2 3952.51
182 3 4665.68
183 7 4514.19
184 4 4509.51
185 7 4456.42
186 5 4295.47
187 4 4389.07
188 5 4179.18
189 6 4263.57
190 4 4279.88
191 3 4578.13
192 4 4882.44
193 8 4533.28
194 6 3988.33
195 7 3846.98
196 3 3865.14
197 4 4116.88
198 7 4208.98
199 6 3688.71
200 1 4181.11
201 8 4637.71
202 8 3787.98
203 3 3338.92
204 6 3766.66
205 3 3623.05
206 4 4024.15
207 4 4320.11
208 2 4268.34
209 2 5261.03
210 0 0
211 0 0
212 0 0
213 0 0
214 0 0
215 3 11018.4
216 0 0
217 26 10144
218 20 6321.06
219 5 4741.74
220 3 4889.94
221 3 5415.89
222 1 5979.7
223 1 6883.47
224 4 7543.22
225 3 7386.28
226 8 7591.52
227 2 7453.03
228 15 6911.5
229 2 5890.82
230 18 5117.7
231 3 4408.2
232 5 4211.52
233 5 4307.24
234 4 4425.17
235 7 4230.9
236 6 4070.44
237 6 3791
238 1 4420.41
239 0 0
240 1 5566.82
241 0 0
242 0 0
243 2 8326.64
244 1 8694.76
245 1 9558.23
246 3 10469.8
247 11 10188.5
248 13 8816.29
249 5 8324.32
250 16 6841.54
251 10 5122.03
252 5 4552.8
253 3 4960.74
254 4 5318.3
255 3 5788.95
256 1 6044.49
257 4 6602.75
258 9 6041.27
259 1 5895.3
260 1 7376.59
261 0 0
262 0 0
263 0 0
264 0 0
265 0 0
266 1 12701.9
267 2 13674.8
268 42 10315.3
269 0 0
270 23 5979.76
271 4 3935.72
272 8 3799.25
273 3 3607.49
274 4 3852.22
275 4 4277.72
276 3 4732.13
277 5 5026.95
278 2 5175.68
279 3 5696.68
280 5 5547.55
281 2 6033.04
282 1 6988.1
283 16 6074.94
284 6 4766.71
285 9 4463.17
286 3 4088.71
287 1 4778.37
288 8 4633.58
289 6 4245.14
290 9 4105.62
291 4 3806.24
292 2 4449.27
293 6 4450.48
294 6 3939.66
295 2 4126.36
296 7 4444.22
297 5 4133.97
298 7 3877.92
299 7 3469.96
300 2 3881.73
301 1 4163.46
302 2 5117.25
303 7 5235.66
304 3 5328.04
305 3 5486.25
306 6 5446.52
307 0 0
308 3 6986.67
309 1 6915.26
310 21 5858.72
311 6 4555.77
312 8 4304.1
313 5 3706.46
314 5 3825.21
315 3 4063.93
316 7 3717.76
317 2 4452.37
318 5 4594.44
319 4 4325.5
320 7 4138.73
321 1 4246.06
322 8 4662.53
323 9 4058.74
324 2 3821.6
325 7 3971.75
326 4 3916.56
327 5 4159.74
328 3 4249.98
329 1 4717.32
330 1 5600.15
331 2 6424.7
332 7 6596.53
333 2 6412.75
334 1 7579.22
335 11 6920.61
336 9 6076.34
337 8 5431.9
338 1 5717.35
339 14 4904.68
340 4 4160.11
341 3 4693.72
342 4 4468.7
343 3 4741.39
344 7 4915.34
345 5 4865.06
346 8 4296.18
347 0 0
348 0 0
349 0 0
350 1 7167.28
351 1 8064.89
352 28 6221.41
353 9 3888.63
354 4 3487.24
355 2 3906.86
356 3 4569.79
357 4 4431.14
358 1 5022.6
359 1 6131.87
360 0 0
361 0 0
362 3 8971.88
363 1 9456.38
364 9 8923.72
365 11 8468.72
366 18 6398.26
367 2 5548.81
368 8 5143.94
369 3 5558.8
370 12 4701.43
371 1 4424.39
372 8 4370.82
373 5 4369.77
374 6 4017.5
375 9 3779.76
376 1 3390.73
377 7 3992.37
378 1 3812.13
379 3 4270.28
380 3 4634.73
