#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 1 6606.54
7 0 0
8 1 8976.05
9 1 9579.18
10 1 10345.7
11 2 11027.1
12 1 11737.2
13 0 0
14 1 13906.2
15 0 0
16 1 15005.3
17 1 15973.8
18 5 16881.6
19 1 16438.7
20 5 17293.5
21 1 17873.6
22 0 0
23 0 0
24 3 20333.5
25 5 19992
26 1 21349.3
27 0 0
28 0 0
29 1 24039.1
30 0 0
31 43 21591.1
32 1 17409.7
33 1 18222.7
34 27 16974.2
35 6 14435.9
36 5 14369.9
37 9 13781.6
38 10 12746.7
39 15 11367.2
40 1 11494.8
41 1 11909.2
42 6 12219.2
43 1 12636.4
44 4 13203.9
45 1 13611.1
46 0 0
47 3 15145.2
48 0 0
49 4 16401.3
50 4 16394.4
51 0 0
52 1 17857.7
53 2 19226.1
54 1 19335.1
55 3 20320.7
56 0 0
57 4 21407.6
58 1 22207.8
59 0 0
60 1 23721.1
61 20 22774.1
62 1 21230.3
63 0 0
64 1 23253.7
65 43 20276.9
66 1 16655.5
67 1 17428.8
68 9 17566.8
69 3 17441.7
70 16 15920.5
71 0 0
72 1 16048.6
73 35 14102.7
74 0 0
75 3 12322.6
76 5 12234.8
77 16 11188.1
78 3 10065.8
79 24 8385.98
80 0 0
81 6 7850.05
82 0 0
83 2 8668.22
84 1 9633.11
85 3 9775.77
86 1 10762
87 3 11198.7
88 3 11698
89 1 12103.6
90 6 12338.5
91 8 12592.2
92 1 11978.9
93 1 12770.9
94 33 10724
95 1 8014.17
96 2 9320.09
97 24 7723.91
98 1 5588.86
99 0 0
100 2 7375.1
101 1 8342.39
102 0 0
103 3 9639.86
104 0 0
105 1 11124.2
106 1 12215.2
107 2 13220.4
108 9 12474.5
109 2 13096.8
110 5 13371.1
111 1 13569.1
112 1 14527.4
113 2 14890.3
114 39 11536.2
115 4 8331.69
116 15 7430.59
117 3 6863.61
118 22 5278.32
119 2 4251.38
120 0 0
121 2 5674.23
122 6 5465.56
123 1 6567.19
124 3 6742.13
125 5 6623.06
126 0 0
127 1 8657.16
128 0 0
129 1 10188.5
130 1 11289.6
131 0 0
132 1 12281.8
133 3 13329.3
134 16 12684.2
135 9 11177.1
136 9 10278.8
137 5 9266.14
138 24 7960.71
139 4 5986.31
140 2 6113.92
141 2 7079.08
142 2 7253.72
143 3 7893.93
144 1 8694.92
145 2 9670.2
146 4 9634.01
147 3 9882.66
148 1 10511.6
149 3 11322.7
150 4 11503
151 5 12051.7
152 2 11988.2
153 30 9472.34
154 1 7630.55
155 0 0
156 14 7811.06
157 6 6989.9
158 1 7776.11
159 1 8145.77
160 5 8539.28
161 2 9079.51
162 1 9363.45
163 2 10460.3
164 2 11049.3
165 7 10995.1
166 2 10865.9
167 1 11505.5
168 13 11789.3
169 1 11017.8
170 4 11500.8
171 3 11760.8
172 2 12808.4
173 19 10873.4
174 1 10335.8
175 25 8568.85
176 1 6757.22
177 1 7623.89
178 0 0
179 1 9696.41
180 1 10753.9
181 0 0
182 1 12299.2
183 1 13116.6
184 2 14002.9
185 0 0
186 1 15275.3
187 1 16177.6
188 0 0
189 1 18463.6
190 0 0
191 1 19591.5
192 1 20480.3
193 2 21048.5
194 0 0
195 1 23121.6
196 1 23938.4
197 1 24410.6
198 1 25445.3
199 0 0
200 1 27225.1
201 1 28476.7
202 2 28884.7
203 108 19082.7
204 7 8201.9
205 5 8100.9
206 15 7142.82
207 4 5849.4
208 2 6348.78
209 1 7016.77
210 17 6290.26
211 1 5740.77
212 1 6856.16
213 2 7044.89
214 16 6404.26
215 1 5786.47
216 7 5920.14
217 11 5360.36
218 2 5075.18
219 1 5839.92
220 1 6085.5
221 3 6485.6
222 10 6766.73
223 7 5503.51
224 2 6389.82
225 8 5828.77
226 6 5601.13
227 3 5687.79
228 4 5678.57
229 2 6024.27
230 17 5220.16
231 1 4314.88
232 6 5216.99
233 7 4898.66
234 1 4762.26
235 12 4419.32
236 1 3847.42
237 3 4626.12
238 7 4558.41
239 4 4638.19
240 7 4842.69
241 2 4784.65
242 1 5443.75
243 1 6307.59
244 7 6106.14
245 1 7019.72
246 13 6515.91
247 10 4987.9
248 0 0
249 10 4912.56
250 7 4281.45
251 1 4378.91
252 1 5374.51
253 1 5812.39
254 17 5652.12
255 0 0
256 3 5506.9
257 12 4472.09
258 3 4321.1
259 0 0
260 4 5348.88
261 1 5615.35
262 8 5943.92
263 0 0
264 3 7268.34
265 1 7599.09
266 7 8157.05
267 1 8239.25
268 23 6692.6
269 6 4748.61
270 2 5094.1
271 0 0
272 2 6908.92
273 8 6607.19
274 1 6859.15
275 13 6348.77
276 3 5520.05
277 9 5772.43
278 9 4868.9
279 5 4293.91
280 1 4677.69
281 5 5200.86
282 1 5312.42
283 1 6115.39
284 3 6952.07
285 4 7032.34
286 12 6453.18
287 13 4931.43
288 4 4437.17
289 1 4976.99
290 3 5334.64
291 3 6062.05
292 4 6271.59
293 18 4659.99
294 1 3972.79
295 1 5302.65
296 6 5665.18
297 0 0
298 14 5286.4
299 0 0
300 1 5648.09
301 13 5221.85
302 2 4860.52
303 1 5790.5
304 4 5842.22
305 2 6154.8
306 1 7040.02
307 0 0
308 26 6545.38
309 1 4817.63
310 1 5313.61
311 0 0
312 2 6984.88
313 0 0
314 1 8467.46
315 2 9727.32
316 0 0
317 8 10476.9
318 2 10604.6
319 18 9945.7
320 1 8236.94
321 1 9192.95
322 14 8843.88
323 6 7850.72
324 1 8041.31
325 22 6897.7
326 1 6084.81
327 4 6087.6
328 3 6712.25
329 8 6556.31
330 7 5949.73
331 3 5755.47
332 9 5542.16
333 3 5327.31
