#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.88995 1 7.5512e-05 1 1 0.999924 1 0 182.256
1 3.89222 1.58333 0.850936 2 1 0.446892 14 0 95.8197
2 3.54643 1.53846 12.2352 3 1 0.388239 2 0 96.4377
3 2.8186 1.83333 10.5623 4 2 0.115546 8 0 97.8631
4 2.53521 2.84615 9.95653 5 3 0.125114 14 0 99.1419
5 1.9927 3.41667 10.0037 6 5 0.107817 25 0 101.566
6 0.765289 3.61538 23.6978 8 8 0.207796 30 0 105.008
7 0.280281 6 26.7201 7 12 0.158128 44 0 106.591
8 0.342141 4.46154 17.9252 4 18 0.0880004 83 0 109.047
9 1.04887 2.41667 8.53362 2 27 0.0972829 174 0 114.422
10 1.89961 2 3.55899 2 41 0.0911644 387 0 126.16
11 1.62756 2.41667 2.08916 3 56 0.0459729 531 0 139.8
12 0.870625 3 1.92717 3 56 0.0438463 378 0 139.725
13 1.45352 2.16667 1.39858 2 57 0.0523332 381 6 139.725
14 1.26043 2 0.800799 2 57 0.192869 153 124 138.009
15 1.38549 2 0.480023 2 56 0.604092 54 31 132.453
16 2.57593 1.92308 0.433592 3 42 0.706454 65 30 124.527
17 1.67031 2.83333 0.716907 5 32 0.443682 107 39 119.236
18 0.489646 5.15385 2.14547 8 33 0.109241 215 19 124.181
19 0.485613 4.41667 1.06091 4 50 0.148889 274 250 134.644
20 1.08293 2.46154 0.681562 2 57 0.349979 91 105 135.426
21 1.33696 2 0.484139 2 49 0.653206 55 28 128.202
22 1.39027 2.84615 0.476659 3 37 0.624544 82 56 119.603
23 0.583669 4.16667 1.29408 5 28 0.227886 191 58 118.005
24 0.664437 3.46154 0.833636 3 42 0.216003 123 212 126.613
25 0.609854 3 0.664917 3 37 0.401755 84 103 121.777
26 0.579456 3 0.864744 3 26 0.292823 81 108 114.7
27 2.60995 2.16667 0.761296 2 25 0.244173 62 46 112.496
