#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 7.74669 1 8.256e-05 1 1 0.999917 1 0 165.571
1 3.49061 1.08333 0.20933 2 1 0.79067 7 0 95.9017
2 3.27965 1.23077 1.40165 3 1 0.235465 19 0 96.6293
3 2.87492 2.5 4.5825 4 2 0.660003 6 0 98.0726
4 2.58473 1.92308 9.4925 5 3 0.07314 14 0 99.211
5 1.8474 3.08333 12.3971 6 5 0.0749564 19 0 101.698
6 1.24245 3.23077 12.5927 8 8 0.156478 39 0 105.307
7 0.606443 6.91667 14.0932 10 12 0.0947683 74 0 109.249
8 0.981686 5.53846 17.9306 6 18 0.155454 77 0 111.7
9 0.5926 4.83333 13.5413 6 27 0.170836 118 0 117.827
10 0.695404 3.46154 4.98872 4 40 0.0757333 345 0 127.326
11 1.00398 2.33333 3.28885 3 56 0.0988465 455 0 140.621
12 2.31976 2.30769 2.92807 2 57 0.0608144 388 0 140.6
13 2.40583 2 2.3446 2 57 0.068045 348 0 140.718
14 3.21863 2 1.55715 2 57 0.0498002 305 34 140.734
15 1.43245 2 0.774477 2 57 0.267247 104 135 138.45
16 3.51529 2 0.604033 2 56 0.54525 45 18 134.642
17 6.13738 1.46154 0.451381 3 49 0.705685 37 17 128.219
18 2.57884 2.25 0.433188 5 37 0.735954 84 28 122.306
19 0.774337 3.30769 1.1584 8 28 0.174653 155 54 120.636
20 1.23289 4 1.34316 8 37 0.139467 173 67 127.476
21 0.505704 6 1.4682 9 50 0.123893 312 128 139.378
22 2.81108 2.41667 0.769701 4 55 0.304857 128 193 138.357
23 1.28599 3.69231 0.827928 4 54 0.44828 33 16 134.423
24 2.20389 2.91667 0.540413 5 54 0.603448 127 41 135.296
25 0.886086 4.15385 0.974101 5 43 0.299627 219 106 130.193
26 1.2046 4.16667 0.799247 6 47 0.249119 179 168 132.592
27 0.422912 5.30769 0.965085 8 47 0.183234 222 302 134.982
28 0.822619 4.41667 0.793492 4 51 0.291936 130 200 134.7
29 0.703603 4 0.808501 4 44 0.359078 95 175 129.608
30 0.845673 4 0.93094 4 37 0.220953 90 141 124.382
31 0.745996 4 0.794296 4 39 0.232341 98 150 125.139
32 0.753865 4 0.837919 4 33 0.288399 97 124 120.904
33 0.637871 4 1.09959 4 30 0.0865789 121 167 119.253
34 2.05374 3.16667 0.613976 3 37 0.42054 67 83 121.73
35 1.03925 2.84615 0.738577 5 33 0.432362 92 51 120.039
36 0.773456 5.58333 1.81998 6 29 0.262102 184 26 119.112
37 0.454557 5.23077 1.11915 5 44 0.141672 228 274 130.749
38 0.812886 3.41667 0.720638 3 56 0.390931 112 162 137.334
39 1.32748 3 0.6152 3 43 0.439093 68 65 126.834
40 1.05447 4.41667 0.666232 5 38 0.485088 116 127 123.683
41 0.395032 6 1.35858 6 32 0.164341 211 123 123.492
42 1.0389 3.41667 0.758941 3 48 0.324333 107 210 130.696
43 0.925728 4 0.828396 4 43 0.319442 112 149 128.17
44 0.409928 5 0.872817 5 40 0.185828 105 225 126.859
45 0.890961 3.30769 0.795257 3 39 0.320048 73 99 124.196
46 0.487869 3 0.725526 3 34 0.365985 113 111 121.04
47 1.59928 2.23077 0.653196 2 27 0.459708 53 40 114.097
48 1.36168 3 0.668918 3 25 0.427944 104 67 113.044
49 1.16653 4.69231 1.29642 5 24 0.290829 117 45 113.923
50 0.530583 5.75 1.34664 6 36 0.170191 202 171 124.904
51 0.524366 3.69231 0.801696 3 54 0.287218 139 272 135.568
52 1.37332 2.25 0.498462 2 47 0.614938 56 32 127.589
53 1.42993 3 0.632092 3 35 0.541999 95 68 120.418
54 0.634741 3.5 0.99318 5 32 0.288689 148 100 120.207
55 0.541233 4.23077 0.774225 4 36 0.286945 112 178 122.284
56 1.00194 3.16667 0.764016 3 30 0.290315 76 82 117.101
57 0.688017 3.69231 0.895139 4 27 0.266614 152 128 115.774
58 0.647142 4 1.08808 4 27 0.0770031 135 102 116.199
59 1.51845 3.15385 0.655774 3 33 0.339353 76 87 118.976
60 1.07723 3.91667 0.728983 5 31 0.418249 113 95 118.985
61 0.367365 5.46154 1.91257 6 27 0.181969 196 28 118.329
62 0.994486 3.58333 0.947709 3 41 0.179021 199 199 126.637
63 0.754356 3.92308 0.708466 4 45 0.348773 110 161 128.31
64 0.73156 4 0.906043 4 34 0.244457 94 162 121.708
65 1.32005 4 1.03744 4 34 0.234514 64 94 121.798
66 0.683569 5.08333 0.915232 6 45 0.251466 140 259 132.108
67 0.305923 4.92308 0.883801 5 46 0.241956 124 210 131.991
68 1.02545 3.16667 0.700738 3 45 0.354842 95 89 127.725
69 0.603188 3.76923 0.761036 4 38 0.354518 100 152 125.114
70 1.42979 3.16667 0.624843 3 31 0.446453 70 52 117.288
71 1.17193 4.15385 0.863319 5 28 0.403607 113 85 117.289
72 0.361441 5.08333 1.70436 7 30 0.118807 205 51 121.579
73 0.44418 4.15385 0.983274 4 45 0.137146 204 244 130.999
74 2.74562 2.33333 0.518802 2 50 0.460051 53 35 129.833
75 2.44548 2.38462 0.392263 3 39 0.810526 34 16 123.468
76 1.59131 3.07692 0.561289 5 29 0.603914 107 31 116.833
77 0.745462 4 3.46972 8 24 0.201753 104 16 116.954
78 0.455269 4.08333 1.83166 6 36 0.0575878 330 0 125.315
79 0.830106 2.53846 0.940084 3 54 0.156121 205 214 137.641
80 1.13099 2.61538 0.625026 3 56 0.388085 88 50 135.584
81 1.3344 3 0.583962 3 46 0.552348 72 78 127.853
82 1.19558 3.23077 0.727272 5 39 0.570416 92 54 126.503
83 0.522314 6 1.3031 7 37 0.16159 182 181 127.28
84 0.82616 3.69231 0.787897 4 55 0.301973 115 228 137.115
85 1.00406 3.25 0.729099 4 47 0.442733 90 116 131.805
86 0.783942 5 1.18186 5 40 0.129524 104 184 128.844
87 0.441557 3.5 0.704023 5 54 0.411007 93 164 136.147
88 1.35665 2.84615 0.657825 3 41 0.465989 67 70 126.427
89 0.958177 3.83333 0.964557 5 39 0.303068 121 134 126.27
90 0.452536 3.38462 0.819687 6 43 0.313534 100 144 129.333
91 1.60558 2.58333 0.639717 3 39 0.366604 57 36 123.067
92 0.95667 3.38462 0.786095 5 36 0.458332 106 93 122.738
93 0.422216 4.66667 1.44397 6 32 0.203511 174 77 122.018
94 0.626126 2.38462 0.786509 3 48 0.282242 104 162 130.753
95 1.80603 2 0.505119 2 41 0.608756 54 33 123.678
96 1.14212 2.38462 0.609692 3 31 0.645924 73 39 116.852
97 0.622278 3.25 1.06608 4 25 0.166437 159 87 114.795
98 0.624162 2.84615 0.896467 3 30 0.178293 96 123 116.991
99 1.03416 2.83333 0.673995 3 30 0.41015 82 72 116.295
100 0.930843 3.92308 1.1191 4 25 0.1927 84 90 115.427
101 0.423883 4.5 1.22426 5 32 0.0532331 183 127 121.075
102 1.98344 3.23077 0.592234 3 45 0.492972 73 102 127.739
103 1.29653 4.08333 0.931371 5 39 0.397759 98 124 126.295
104 0.444556 5.92308 1.00487 7 49 0.187031 166 294 136.053
105 0.589154 4.25 0.763646 4 55 0.319614 99 198 137.198
106 1.26631 3.23077 0.722954 3 46 0.422739 73 85 130.577
107 1.01647 3.83333 0.690024 4 45 0.47416 76 100 128.505
108 0.607841 4.38462 0.943905 5 38 0.158229 153 211 126.918
109 0.599486 4.08333 0.919156 4 40 0.145172 107 164 126.388
110 0.771457 3.15385 0.65133 3 41 0.398578 84 104 124.607
111 1.34296 3 0.834742 3 28 0.366536 55 59 115.259
112 0.865197 4.46154 1.14019 5 33 0.204136 154 143 121.364
113 0.766017 4.66667 0.990287 5 43 0.203557 118 218 129.747
114 0.350138 4.76923 0.83487 5 48 0.250899 102 220 132.205
115 1.53522 3.16667 0.680591 3 44 0.426795 75 82 127.935
116 1.03492 3.92308 0.679802 5 43 0.532744 108 69 127.105
117 0.281757 4.66667 0.931722 6 36 0.153407 171 226 125.757
118 1.25865 3.30769 0.796719 3 37 0.307276 79 92 122.092
119 0.811642 3.58333 0.795788 4 39 0.365774 114 137 124.766
120 0.657529 3.07692 0.777876 4 34 0.228123 95 113 121.259
121 1.33506 3 0.769339 3 28 0.321334 54 52 115.749
122 0.873128 3.38462 1.067 5 30 0.2546 139 105 118.831
123 0.615728 3.16667 0.940967 5 36 0.190697 110 129 124.101
124 0.806825 2.92308 0.795567 4 38 0.314781 81 95 123.03
125 0.604384 2.25 0.735281 4 33 0.311721 83 73 119.891
126 2.27705 3 0.72812 3 26 0.484313 42 34 114.48
127 1.20804 2.16667 0.898554 5 27 0.296366 91 54 115.921
128 0.506978 4.07692 1.75767 7 32 0.149135 181 19 122.278
129 0.806402 3.16667 0.930234 4 48 0.220439 125 210 133.462
130 0.515883 3.23077 0.821245 4 50 0.345763 97 125 132.836
131 1.63844 2.08333 0.568115 2 45 0.540837 48 35 126.362
132 1.95257 2.69231 0.5625 3 38 0.643798 66 30 121.147
133 1.63488 4.16667 0.664632 5 31 0.462324 105 80 119.508
134 0.712265 4.61538 1.89397 8 30 0.115752 199 49 121.54
135 0.364414 3.23077 1.02982 6 45 0.131733 215 211 132.209
136 0.794132 1.91667 0.690574 3 52 0.347352 90 61 133.121
137 1.58985 2.69231 0.499535 3 38 0.681352 40 26 120.629
138 0.752167 3 0.761632 5 29 0.386753 95 89 116.539
139 0 -nan 0.70343 0 24 0.356287 20 20 109.841
140 0 -nan 0.801022 0 18 0.715878 2 0 103.702
