#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 1 7448
8 1 8789.81
9 0 0
10 0 0
11 2 11682.2
12 1 12923.6
13 0 0
14 2 14505.7
15 2 15158.1
16 0 0
17 1 17038.6
18 0 0
19 1 18142.9
20 2 18975.3
21 12 18663.1
22 1 18565.4
23 1 18829.6
24 1 19761.1
25 7 20417.2
26 2 20350.8
27 12 19898.9
28 1 20010.5
29 12 19118.8
30 7 18628.2
31 1 18268.3
32 1 19251.7
33 1 20669.4
34 1 20987.8
35 24 19916.9
36 3 17944
37 4 18138.5
38 0 0
39 0 0
40 39 17041.2
41 7 12894.8
42 3 13241.6
43 16 12579.4
44 3 11323.2
45 2 11618.1
46 1 12214.2
47 1 13151.2
48 1 13850.9
49 1 15085.6
50 9 15345.6
51 4 14728.8
52 2 14951.6
53 1 15888.8
54 8 15991.7
55 2 15811.9
56 2 16593.3
57 1 16934.3
58 3 17518.7
59 4 18094.2
60 2 18537.7
61 1 18984.2
62 2 19807.3
63 64 14752.7
64 4 8463.26
65 9 8085.1
66 8 7340.58
67 2 7139.91
68 2 8170.62
69 1 8642.04
70 5 9244.64
71 2 9578.4
72 2 10211.5
73 2 10719.6
74 1 11361.6
75 1 12126.7
76 8 12130.4
77 2 12711.7
78 6 12699.9
79 8 11792.1
80 0 0
81 1 13469.9
82 0 0
83 44 10597.7
84 1 7175.1
85 4 7624.09
86 1 8440.69
87 1 8853.4
88 3 9751.65
89 2 10355.9
90 1 11066.9
91 7 10941.7
92 8 10692.8
93 2 10525.2
94 1 10925.8
95 2 12013.5
96 33 9560.42
97 2 7028.44
98 11 6344.74
99 4 6215.29
100 2 6735.49
101 1 7176.92
102 1 8115.81
103 0 0
104 2 9833.9
105 7 9882.68
106 4 9738.52
107 0 0
108 3 11027.3
109 4 11265.5
110 2 11769.7
111 0 0
112 10 12257.5
113 29 9848.2
114 4 7169.16
115 11 6770.94
116 2 6656.2
117 4 7068.91
118 1 7575.33
119 2 8295.3
120 2 8498.48
121 3 9281.56
122 4 9447.94
123 3 9949.97
124 4 10075.5
125 0 0
126 4 11284.1
127 2 12243.3
128 11 11549.4
129 22 9546.2
130 4 7406.76
131 14 6947.67
132 3 6006.93
133 5 6175.35
134 2 6651.02
135 4 7368.22
136 1 7355.17
137 4 7852.07
138 1 8276.76
139 3 9398.55
140 4 9371.69
141 3 9802.53
142 3 10104.2
143 4 10415.1
144 1 10658.6
145 9 10538.9
146 3 10828.6
147 22 8781.7
148 7 7381.66
149 3 7150.15
150 12 6778.38
151 2 6576.17
152 2 7157.81
153 5 7229.03
154 2 7634.5
155 3 8204.14
156 4 8560.7
157 1 8800.42
158 5 9195.65
159 3 9337.75
160 3 10269.2
161 4 10312.4
162 4 10264.3
163 4 10769.4
164 22 8554.72
165 3 7366.02
166 1 8048.99
167 15 7193.71
168 4 6453.98
169 4 6652.17
170 2 6792.86
171 0 0
172 2 8472.15
173 2 9438.96
174 4 9553.36
175 1 10536.2
176 2 11257.5
177 2 11312
178 9 11280.1
179 1 11297.5
180 0 0
181 1 13206.4
182 29 10898.1
183 19 7207.32
184 2 6466.2
185 3 6831.54
186 1 7539.47
187 3 8313.83
188 5 8129.77
189 3 8603.04
190 1 8786.23
191 4 9326.47
192 3 9845.2
193 3 10208
194 11 9698.95
195 2 9656.67
196 13 9201.93
197 11 7689.38
198 2 7327.44
199 11 7200.49
200 3 6626.56
201 8 6502.84
202 2 6671.45
203 2 7201.97
204 2 7829.56
205 4 8298.93
206 2 8454.61
207 1 9643.86
208 11 9036.47
209 1 9124.73
210 12 8165.85
211 13 6883.59
212 1 6963.31
213 10 6672.19
214 1 6838.8
215 3 6950.63
216 3 7285.84
217 3 8064.26
218 6 8148.95
219 3 7924.25
220 1 8478.32
221 5 8962.32
222 1 9012.99
223 2 9969.57
224 1 10732.3
225 20 9616.19
226 8 7925.28
227 2 7769.9
228 16 7037.26
229 5 6048.31
230 1 6084.66
231 2 7005.28
232 0 0
233 1 9029.74
234 1 9814.65
235 1 10810.6
236 1 11517.7
237 1 11727.5
238 1 12542.9
239 1 13745.7
240 1 14927.7
241 0 0
242 1 15919.2
243 1 17401.3
244 1 18310
245 1 18913.1
246 1 19443.7
247 0 0
248 1 20806
249 1 21574
250 1 22772.8
251 1 23812.8
252 1 24786.5
253 1 25368.8
254 1 26156.5
255 1 27303.4
256 0 0
257 98 19068
258 1 10301.9
259 2 10517.5
260 1 11147.1
261 0 0
262 0 0
263 0 0
264 0 0
265 0 0
266 0 0
267 0 0
268 0 0
269 0 0
270 1 20775.3
271 0 0
272 77 15456.2
273 2 8667.86
274 1 9670.23
275 0 0
276 2 10809.8
277 1 11949.6
278 1 12498.5
279 1 13390.9
280 1 14233.9
281 1 15226.9
282 1 15909.9
283 1 16506.1
284 1 17603.8
285 0 0
286 1 18671
287 1 19664.9
288 1 20891.7
289 0 0
290 1 22022.2
291 1 23221.8
292 1 24124.3
293 1 25121.3
294 1 25910.1
295 94 16922.9
296 1 8735.65
297 10 8384.78
298 2 7884.4
299 8 8000.92
300 2 8287.12
301 5 8967.56
302 4 8631.93
303 9 8122.27
304 2 8365.38
305 2 8731.01
306 8 8743.6
307 1 9150.41
308 14 8462.31
309 4 7626.88
310 7 7755.28
311 6 7330.02
312 1 7996.92
313 1 8907.58
314 1 9362.8
315 15 8345.83
316 3 7682.16
317 12 7449.49
318 13 5967.55
319 0 0
320 6 5851.98
321 2 6264.74
322 9 6118.48
323 5 5532.34
324 2 5800.6
325 10 6228.56
326 1 5449.26
327 11 5128.31
328 1 4904.26
329 3 6122.59
330 4 6418.5
331 4 6174.68
332 4 6363.05
333 1 7125.09
334 14 6772.27
335 5 5907.6
336 2 6014.68
337 7 6369.77
338 5 5822.88
339 1 6405.06
340 10 5723.5
341 1 5878.7
342 0 0
343 17 6495.03
344 2 5303.18
345 6 5556.53
346 2 6057.46
347 5 6346.14
348 2 6693.03
349 1 7451.27
350 11 6678.18
351 6 6207.81
352 6 6194.24
353 7 5665.64
354 3 5776.62
355 2 6105.61
356 3 6462.69
357 7 6623.58
358 2 6723.29
359 0 0
360 9 7602.42
361 14 6008.98
362 1 5683.64
363 3 6344.08
364 6 6155.43
365 6 6107.62
366 7 6181.65
367 1 6145.98
368 0 0
369 0 0
370 17 7725.83
371 7 5852.1
372 2 6147.43
373 5 6285.74
374 2 6535.4
375 6 6947.44
376 1 7255.39
377 4 7707.27
378 16 6672.64
379 5 5863.78
380 3 5717.27
381 5 6193.29
382 5 6014.28
383 2 6336.41
384 3 6680.5
385 6 7021.42
386 1 7594.86
387 3 8276.84
388 4 8083.75
389 3 8507.47
390 4 8857.88
391 8 8731.67
392 11 7639.16
393 3 7664.8
394 8 7280.3
395 5 6611.79
