#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 1 8419.99
9 0 0
10 1 10581.6
11 1 11770.7
12 1 12185.1
13 2 13283.7
14 0 0
15 1 14188.8
16 0 0
17 1 15853.4
18 1 17157.8
19 1 18336
20 2 19126.5
21 3 19051.3
22 0 0
23 1 20690
24 2 21830.4
25 4 21570.7
26 0 0
27 2 22837.2
28 0 0
29 5 24299.3
30 0 0
31 1 25678.4
32 1 26496.5
33 0 0
34 0 0
35 1 29402.5
36 0 0
37 0 0
38 63 25773.1
39 0 0
40 0 0
41 0 0
42 17 22365.6
43 12 20621.6
44 8 18958
45 2 19298.8
46 0 0
47 15 19413.4
48 0 0
49 14 18864.4
50 0 0
51 2 19190
52 0 0
53 1 20742.6
54 0 0
55 8 21702
56 0 0
57 1 22727.1
58 0 0
59 2 24419.4
60 1 25676.3
61 0 0
62 3 26737.2
63 2 27265.1
64 3 27716.5
65 0 0
66 0 0
67 1 30076.5
68 0 0
69 10 31449.5
70 0 0
71 0 0
72 4 33143.7
73 1 33430.9
74 1 34608.3
75 2 34832.2
76 2 35220.7
77 1 35943.3
78 1 37331.4
79 0 0
80 2 38798
81 6 39050
82 5 39095.9
83 1 38878.3
84 1 39788.7
85 1 40692.6
86 0 0
87 1 42967.2
88 0 0
89 1 44238.1
90 1 44852.1
91 3 45769.4
92 79 38590.7
93 0 0
94 0 0
95 6 33254.6
96 1 33220.3
97 1 33942.8
98 0 0
99 3 36047.5
100 0 0
101 0 0
102 0 0
103 0 0
104 21 38255.7
105 0 0
106 1 38313
107 1 38753.4
108 1 40111.7
109 1 40857.7
110 0 0
111 0 0
112 122 31436.9
113 1 20184.6
114 0 0
115 4 22007.4
116 0 0
117 0 0
118 23 22187.9
119 6 20375.3
120 2 20598.7
121 7 20504.5
122 1 20918.2
123 0 0
124 1 22092.8
125 1 23102.5
126 1 23520.2
127 5 24118.5
128 2 24850.7
129 0 0
130 1 26423.5
131 2 27106.1
132 1 27912.8
133 4 28482.7
134 1 28985.4
135 0 0
136 0 0
137 2 31217
138 1 32392.6
139 2 32676.5
140 2 33765.1
141 1 33917.2
142 5 34758.2
143 1 34675
144 1 36145.7
145 1 36103.6
146 6 36744.6
147 0 0
148 0 0
149 1 38758.9
150 0 0
151 1 41045.3
152 0 0
153 1 42544.9
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 115 37079
160 1 26197.3
161 6 26943.8
162 4 27035.7
163 14 26106.2
164 1 25459
165 1 25959.5
166 0 0
167 1 28157.1
168 0 0
169 0 0
170 18 29075.4
171 0 0
172 13 27956.7
173 1 27613.3
174 1 28632.3
175 1 29182.4
176 0 0
177 0 0
178 62 26136.4
179 4 20834.3
180 1 21219.9
181 0 0
182 0 0
183 0 0
184 1 24685.9
185 50 20178.6
186 0 0
187 0 0
188 1 18071
189 1 19578.6
190 0 0
191 1 21335.9
192 1 22437.4
193 0 0
194 2 23838.3
195 1 24778.7
196 0 0
197 1 25852.8
198 0 0
199 0 0
200 1 28854.3
201 0 0
202 1 30645.6
203 1 31684.1
204 2 32395.1
205 0 0
206 0 0
207 1 34497.7
208 1 35884.3
209 1 36404
210 1 37319
211 0 0
212 1 39426.8
213 0 0
214 1 41401.7
215 1 41622.2
216 1 42304.4
217 0 0
218 1 44720.6
219 0 0
220 1 46307.9
221 1 47129.8
222 0 0
223 1 48803.2
224 0 0
225 1 50715.8
226 0 0
227 0 0
228 1 53057.9
229 0 0
230 0 0
231 0 0
232 0 0
233 0 0
234 3 58613.1
235 0 0
236 1 60415.4
237 0 0
238 1 62557.3
239 0 0
240 0 0
241 1 64855.8
242 0 0
243 1 67291.6
244 0 0
245 1 68456
246 3 69431.3
247 1 70375
248 0 0
249 0 0
250 2 72683.7
251 1 73231.4
252 0 0
253 1 75638.5
254 0 0
255 0 0
256 0 0
257 1 78693.6
258 0 0
259 2 80671.6
260 0 0
261 0 0
262 1 82874.7
263 1 83651.4
264 0 0
265 1 85946.6
266 0 0
267 1 87541.2
268 0 0
269 0 0
270 0 0
271 0 0
272 2 92220.9
273 0 0
274 1 94264.2
275 1 94650
276 0 0
277 0 0
278 1 97319.5
279 0 0
280 1 99508.8
281 1 100511
282 1 100906
283 289 72687
284 9 44653
285 0 0
286 0 0
287 0 0
288 0 0
289 0 0
290 88 40243.8
291 0 0
292 0 0
293 0 0
294 0 0
295 63 30427.5
296 19 23774.4
297 4 21679
298 1 22235.4
299 3 23301
300 2 24140.4
301 0 0
302 0 0
303 3 25711.4
304 0 0
305 39 23848.6
306 0 0
307 3 21827.3
308 1 22006.6
309 2 23045.4
310 0 0
311 8 24174.7
312 4 24171.5
313 3 24163.1
314 4 24344.6
315 1 25312.6
316 0 0
317 0 0
318 1 27707.6
319 0 0
320 3 29587.5
321 2 30318.8
322 1 30234.7
323 0 0
324 1 32632.9
325 0 0
326 1 33978.9
327 9 33992.9
328 3 33896.4
329 0 0
330 1 35643
331 0 0
332 0 0
333 7 37638.4
334 5 37711
335 1 37781.7
336 1 38434
337 0 0
338 1 40118.6
339 1 41233.3
340 1 41971.6
341 3 42663.9
342 0 0
343 1 44002.4
344 1 45268.5
345 0 0
346 1 46805.8
347 0 0
348 0 0
349 0 0
350 1 50354.3
351 20 49315.6
352 1 48734.8
353 0 0
354 5 49813.6
355 1 50163.7
356 0 0
357 1 52122.4
358 1 53291.1
359 0 0
360 0 0
361 1 55486.8
362 0 0
363 2 56973.8
364 8 57760
365 0 0
366 1 58627.7
367 0 0
368 1 59984.4
369 6 60441.2
370 0 0
371 86 53583.7
372 1 45427.3
373 0 0
374 0 0
375 1 48209.5
376 1 48971.9
377 1 50648.8
378 0 0
379 1 52108.4
380 0 0
381 0 0
382 0 0
383 1 55627.8
384 0 0
385 0 0
386 0 0
387 1 59831.5
388 0 0
389 0 0
390 0 0
391 0 0
392 1 64369
393 0 0
394 0 0
395 0 0
396 0 0
397 1 69417.2
