#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 5.05795 1 9.5976e-05 1 1 0.999904 1 0 146.746
1 3.70647 1.25 1.10179 2 1 0.632738 9 0 95.97
2 3.79445 1.46154 6.84805 3 2 0.211439 7 0 97.6265
3 3.0729 2 7.92714 4 3 0.245224 10 0 98.9091
4 2.60309 2.92308 8.18549 5 5 0.157176 17 0 100.982
5 2.10539 3.83333 6.16869 6 8 0.140298 30 0 104.173
6 1.09759 3.38462 14.1166 8 12 0.189602 38 0 108.896
7 0.33423 6.83333 23.6596 9 18 0.174731 54 0 113.718
8 0.429779 5.69231 13.206 5 27 0.108242 120 0 118.11
9 0.800278 3.33333 7.07369 3 41 0.154347 230 0 129.022
10 0.805952 3 3.82198 3 56 0.0840588 426 0 142.534
11 1.5618 2.16667 3.02387 2 57 0.0352233 420 0 142.703
12 1.69149 2 2.72549 2 57 0.0367086 337 0 142.859
13 1.94947 2 2.10446 2 57 0.0628763 297 0 143.005
14 1.70039 2 1.42792 2 57 0.0553599 270 20 142.926
15 1.49758 2 0.903589 2 57 0.157845 114 83 142.414
16 1.50317 2 0.637547 2 57 0.439837 49 26 137.242
17 1.85203 2 0.704238 2 53 0.631018 30 16 131.727
18 3.70115 1.46154 0.50985 3 53 0.657834 63 33 132.926
19 1.51164 2.25 0.772769 5 40 0.457564 108 42 129.551
20 0.666188 3.69231 1.57651 8 44 0.115157 179 61 136.379
21 1.46862 2.5 1.15649 5 54 0.121819 167 112 142.488
22 1.05848 2.92308 1.04729 5 54 0.139421 128 83 142.632
23 0.509863 5 1.7462 5 54 0.098577 175 72 142.633
24 1.5116 2.69231 0.972611 2 57 0.175555 184 226 142.514
25 2.05409 2 0.649185 2 57 0.380073 46 24 138.033
26 1.62788 2 0.631202 2 53 0.536708 33 24 132.158
27 3.37378 1.66667 0.583061 3 48 0.672505 54 23 129.959
28 1.54894 2.53846 0.770234 5 41 0.430854 95 42 128.345
29 0.697789 3.66667 1.5842 8 45 0.160217 166 61 137.001
30 0.606292 4.23077 1.52561 5 54 0.109723 273 47 142.322
31 2.41858 2.5 0.843592 2 57 0.221641 136 134 140.713
32 1.56646 2 0.63624 2 56 0.463351 46 26 135.598
33 3.01241 2.16667 0.499259 3 52 0.694004 47 22 132.016
34 1.33707 2.61538 0.812019 5 39 0.433971 101 43 127.761
35 0.608008 4.5 1.77281 8 44 0.194866 204 36 135.463
36 0.68059 4.38462 1.58837 4 55 0.078788 251 96 142.493
37 1.37867 2.41667 0.8925 2 57 0.202259 119 181 141.898
38 1.62271 2 0.691115 2 57 0.373397 49 25 137.465
39 2.01468 2 0.638096 2 56 0.712129 30 15 133.211
40 3.17995 2.07692 0.575807 3 52 0.654653 57 37 132.149
41 1.50699 2.69231 0.69635 5 44 0.545914 94 43 133.005
42 0.632604 3.91667 1.79746 8 44 0.105626 198 37 136.131
43 0.790526 3.76923 1.50119 4 55 0.125373 239 64 142.72
44 1.47089 2.33333 0.940862 2 57 0.130475 128 145 142.651
45 1.57488 2 0.692457 2 57 0.363258 49 31 137.461
46 1.69191 2 0.673153 2 56 0.640977 35 29 134.477
47 2.96317 2.07692 0.558104 3 54 0.664262 56 32 134.68
48 1.43771 2.58333 0.78643 5 44 0.394931 95 41 131.28
49 0.649798 4 1.64837 8 49 0.184495 194 71 140.123
50 0.73504 3.91667 1.48904 4 55 0.119401 229 79 142.671
51 1.44031 2.46154 0.894128 2 57 0.149591 115 151 141.611
52 1.58896 2 0.667568 2 57 0.477937 41 27 136.695
53 1.63958 2 0.604877 2 55 0.692464 41 26 134.077
54 2.80425 2 0.606222 3 48 0.593344 51 25 129.48
55 1.36754 2.69231 0.802133 5 42 0.408199 116 48 129.645
56 0.737765 4.5 1.68766 7 47 0.204107 201 47 137.726
57 0.435437 4.84615 1.52312 5 54 0.100191 234 129 142.281
58 1.4753 2.58333 0.879458 2 57 0.175543 118 181 141.091
59 1.44499 2 0.588446 2 57 0.553314 45 30 137.015
60 1.50693 2 0.725002 2 49 0.538566 48 30 130.556
61 2.79686 2.23077 0.577484 3 51 0.620347 56 29 132.212
62 1.32105 2.58333 0.790915 5 43 0.418416 102 48 130.417
63 0.468779 5.07692 1.58637 8 48 0.18885 224 73 139.378
