#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 8.87789 1 0 1 1 1 0 0 161.077
1 4.34698 1.16667 0.594338 2 1 0.634254 9 0 95.9236
2 2.79748 1.07692 4.93574 3 1 0.0859732 5 0 96.7242
3 4.11933 2.41667 4.18742 4 2 0.231979 10 0 98.3076
4 3.37645 1.53846 11.0518 5 3 0.380543 7 0 99.3782
5 2.90567 3 10.0867 6 5 0.159662 15 0 102.009
6 1.76125 2.76923 12.4644 8 8 0.120896 24 0 105.734
7 1.36906 4.58333 12.6551 10 12 0.273037 41 0 110.537
8 0.837318 7.53846 16.754 13 18 0.1757 75 0 117.534
9 0.308767 8.38462 17.1493 12 27 0.252537 95 0 123.587
10 0.454603 5 9.10527 6 41 0.205696 214 0 131.988
11 1.49421 3.25 7.28515 3 56 0.140903 271 0 142.905
12 1.39733 3 7.18319 3 56 0.125421 252 0 143.215
13 1.75827 3 4.56348 3 56 0.0745153 379 0 142.845
14 1.79657 3 3.7242 3 56 0.0722491 388 0 142.781
15 0.754337 3 3.50797 3 56 0.0671154 340 0 142.858
16 3.03594 2.30769 3.01909 2 57 0.065398 310 0 143.082
17 2.02611 2 2.8809 2 57 0.0821619 279 0 142.994
18 3.5548 2 2.32298 2 57 0.0942618 247 0 143.229
19 2.92409 2 1.53043 2 57 0.0701308 247 45 143.167
20 3.81857 2 0.853603 2 57 0.165203 108 78 141.936
21 2.16877 2 0.735247 2 57 0.549984 23 16 136.363
22 1.81394 2 0.801014 2 56 0.641776 26 10 133.893
23 5.73401 1.5 0.447241 3 56 0.827788 30 6 134.196
24 4.63788 1 0.711689 3 42 0.649629 29 9 126.432
25 2.77787 2.16667 0.546079 5 43 0.638309 90 27 127.812
26 1.58081 3.38462 0.973658 8 35 0.323822 118 59 128.057
27 0.521609 4.76923 1.67453 12 45 0.223746 246 30 140.257
28 2.94373 3.16667 1.13356 5 54 0.193735 216 97 142.597
29 2.98968 2 0.852191 5 54 0.28622 67 51 140.89
30 2.52567 2.91667 0.8933 5 52 0.326456 83 37 138.761
31 6.7301 1.69231 0.705621 6 53 0.482554 67 29 138.259
32 2.03493 3.5 0.727436 6 50 0.615367 60 24 135.522
33 1.31132 3.69231 1.03008 9 50 0.285502 123 60 140.282
34 1.76076 3 1.49337 9 49 0.136756 150 39 142.069
35 2.20182 2.61538 1.59078 8 51 0.233157 179 1 142.761
36 1.08526 5 2.14551 7 52 0.107975 183 0 142.788
37 1.2092 5.30769 1.32421 5 54 0.0633603 231 21 142.861
38 1.30176 4 1.43175 4 55 0.157172 170 60 142.798
39 1.59626 2.92308 1.71106 3 56 0.137333 279 5 142.888
40 1.32152 3 2.93187 3 56 0.234762 188 0 143.07
41 1.15173 3 2.87762 3 56 0.0586402 283 0 143.211
42 2.62318 2.16667 1.86746 2 57 0.099736 337 0 143.179
43 2.68511 2 1.46562 2 57 0.0952276 256 1 143.288
44 2.18562 2 0.875895 2 57 0.154827 110 92 141.879
45 2.09884 2 0.773002 2 57 0.439241 67 35 137.836
46 1.63805 2 0.551595 2 56 0.622688 62 29 136.327
47 3.36451 1.46154 0.700058 3 46 0.500052 64 16 129.582
48 2.4781 2.25 0.63489 5 46 0.626971 86 22 130.662
49 1.4197 3.38462 1.20385 8 42 0.29817 134 36 134.417
50 0.954503 5 1.3682 8 51 0.130241 166 62 142.912
51 0.655099 4 2.3029 6 53 0.131946 225 36 142.908
52 4.28236 1.75 1.62527 3 56 0.11784 289 20 143.093
53 5.81286 1.76923 0.950063 3 56 0.0993184 160 101 142.582
54 1.55797 3 0.751196 3 56 0.494393 52 21 138.642
55 1.45044 3 0.787182 3 54 0.530002 53 14 136.108
56 1.83015 2.58333 0.593841 5 54 0.595137 99 25 137.134
57 3.036 2 0.755625 5 47 0.479084 88 37 134.215
58 1.28935 3.33333 1.10159 8 50 0.386627 143 62 139.697
59 1.18336 3.53846 1.38556 8 51 0.144098 254 38 142.793
60 1.32842 3.33333 1.6602 6 53 0.143966 232 6 142.895
61 1.26587 3.84615 1.65416 5 54 0.055061 257 4 143.048
62 0.965888 3.16667 1.92042 4 55 0.119816 250 18 143.167
63 1.18629 2.92308 1.85856 3 56 0.0649197 261 0 143.279
64 1.30412 3 1.35944 3 56 0.106037 250 45 143.169
65 2.50159 3 0.982941 3 56 0.194418 101 128 142.579
66 1.40214 3 0.809353 3 56 0.245702 66 68 140.006
67 1.2557 3 0.714181 3 55 0.520555 38 30 136.608
68 6.10066 1.58333 0.701552 4 53 0.661192 39 37 135.612
69 1.58038 2.15385 0.801807 6 53 0.413654 93 63 138.991
70 2.76442 2.83333 0.899294 6 51 0.311529 101 80 140.285
71 2.40915 4.23077 0.948868 7 52 0.257261 119 58 142.196
72 0.694102 5.5 1.71724 7 51 0.269421 166 37 142.646
73 1.16433 4.15385 1.27731 4 55 0.101249 276 95 143.056
74 1.16407 4 1.16253 4 55 0.280202 213 73 143.01
75 1.10715 3.84615 1.40957 4 55 0.101297 247 57 143.159
76 1.22144 3.25 1.30721 3 56 0.161122 212 74 143.34
77 1.07216 3 1.00728 3 56 0.101395 141 123 142.855
78 1.48708 3 0.843758 3 56 0.316569 82 99 141.267
79 1.05979 3 0.889736 3 55 0.39543 68 57 138.491
80 2.99123 1.91667 0.674361 4 55 0.42953 88 65 138.974
81 1.74811 4 0.678646 4 53 0.493715 83 68 136.464
82 1.94406 2.66667 0.821058 6 52 0.394552 158 106 139.506
