#second results avg_latency(ms)
0 0 0
1 4 1690.86
2 4 2246.32
3 6 3060.76
4 3 3444.34
5 9 2970.01
6 8 2469.48
7 0 0
8 2 3282
9 9 3340.63
10 0 0
11 4 4041.96
12 6 3754.5
13 11 3304.15
14 8 2548.25
15 0 0
16 4 3418.73
17 7 3010.8
18 5 3100.94
19 5 2608
20 1 3354.76
21 4 3906.87
22 7 3435.88
23 3 3792.87
24 7 3484.83
25 5 3615.21
26 5 3239.59
27 3 3647.46
28 5 3943.02
29 5 3668.34
30 9 3406.18
31 1 3512.94
32 11 3447.77
33 7 2283
34 1 3005.06
35 5 3088.68
36 4 2882.61
37 9 2584.07
38 3 2837.2
39 6 2486.09
40 5 2952.39
41 4 2577.55
42 2 3324.79
43 8 2975.77
44 7 2901.15
45 4 2249.02
46 2 3190.45
47 3 3326.57
48 6 3372.78
49 10 3037.96
50 1 3200.91
51 9 3119.14
52 1 3307.82
53 1 3822.06
54 3 4262.22
55 7 4238.86
56 2 4441.16
57 3 4834.97
58 10 4401.25
59 7 3646.14
60 10 3108.33
61 6 2658.54
62 2 2324.43
63 10 2782.44
64 0 0
65 5 3065.61
66 5 3233.38
67 3 3389.91
68 7 3195.99
69 8 2983.7
70 1 3138.68
71 7 3004.76
72 2 3372.52
73 2 3777.59
74 10 3118.32
75 5 3200.62
76 5 2786.56
77 10 2640.84
78 1 2670.94
79 6 2360.71
80 2 3002.07
81 3 3296.76
82 5 3687.33
83 1 4386.71
84 12 3695.94
85 6 2477.31
86 2 3308.55
87 7 3009.7
88 5 3267.25
89 7 2465.84
90 1 3350.88
91 4 3517.9
92 5 3823.16
93 2 4036.68
94 11 3456.19
95 5 2926.6
96 3 3031.59
97 8 2781.1
98 3 3326.09
99 8 2780.01
100 8 2607.28
101 1 2942.71
102 9 2425.52
103 1 2793.24
104 7 2565.65
105 0 0
106 3 3660.62
107 4 4066.39
108 8 3562.89
109 6 3113.66
110 4 3432.64
111 6 3499.67
112 2 3695.33
113 2 3972.88
114 11 4037.5
115 6 3211.05
116 1 3399.06
117 3 4057.15
118 7 3985.89
119 7 3629.82
120 3 3428.09
121 3 4135.17
122 8 4220.62
123 2 3985.32
124 1 4914.27
125 9 4382.09
126 9 4039.91
127 1 3687.31
128 2 4489.96
129 10 4479.45
130 3 4373.38
131 8 4060.24
132 3 3876.76
133 2 4393.1
134 5 4632.19
135 1 5186.3
136 7 5632.16
137 4 5065.04
138 2 5292.59
139 9 5191.17
140 9 4896.81
141 2 4503.03
142 2 5381.73
143 9 4813.04
144 2 4932.79
145 8 5251.8
146 5 4954.27
147 4 4493.43
148 3 5328.06
149 8 5023.71
150 4 4810.14
151 7 4644.52
152 9 4392.21
153 1 3674.89
154 4 4600.58
155 7 4249.43
