#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 0.901077 1.38889 0.276743 6 38 0.791494 82 32 210.745
1 0.584782 1.45455 0.259037 6 38 0.789111 50 31 121.087
2 0.857134 1 0.224877 6 38 0.840864 37 8 120.464
3 0.72253 1.6 0.462033 6 38 0.767949 76 52 121.508
4 0.665465 1.16667 0.339591 6 38 0.704236 61 36 121.579
5 0.638338 1 0.315552 6 38 0.798234 33 12 120.82
6 0.692687 1 0.279815 6 38 0.849785 41 14 120.795
7 0.920538 1 0.258461 6 38 0.850581 41 9 120.68
8 0.759781 1.52381 0.500509 6 38 0.746522 80 63 121.74
9 0.754444 1.90909 0.384916 6 38 0.696029 65 51 121.659
10 0.845547 1.81818 0.340522 6 38 0.72537 64 40 121.706
11 0.813702 1.18182 0.33772 6 38 0.720395 45 22 121.693
12 0.573753 1.45455 0.289316 6 38 0.767496 42 38 121.327
13 0.640648 1 0.271894 6 38 0.800038 63 21 120.839
14 0.499627 1 0.236155 6 38 0.836632 40 11 120.738
15 0.609431 1 0.170218 6 38 0.90691 33 12 120.543
16 0.578919 1 0.256122 6 38 0.833848 72 19 121.04
17 0.611736 1 0.245698 6 38 0.829684 48 11 121.045
18 0.787379 1.7 0.196356 6 38 0.84915 49 36 121.203
19 0.768353 1 0.34022 6 38 0.78452 42 13 121.144
20 0.877774 1.2 0.252399 6 38 0.844604 42 18 121.142
21 0.88457 1.90909 0.484367 6 38 0.713446 94 83 122.75
22 0.843889 1.81818 0.495818 6 38 0.530329 67 58 123.103
23 0.615589 1 0.443662 6 38 0.610139 44 14 121.935
24 0.59191 1 0.251768 6 38 0.860351 32 13 120.787
25 0.777621 1.1 0.246515 6 38 0.852061 70 30 121.191
26 0.841445 1 0.300911 6 38 0.774862 43 12 121.569
27 0.624005 1 0.338329 6 38 0.799893 33 12 121.167
28 0.785827 1.3 0.217284 6 38 0.849561 49 16 121.19
29 0.565744 1 0.370539 6 38 0.765224 73 27 121.354
30 0.571541 1 0.235001 6 38 0.841506 48 12 121.005
31 0.84299 1 0.214969 6 38 0.891225 26 9 120.659
32 0.802476 1.1 0.344444 6 38 0.801357 72 28 121.77
33 0.621872 1 0.407972 6 38 0.68067 46 9 121.51
34 0.590073 1 0.263816 6 38 0.879045 33 12 120.663
35 0.84106 1 0.192236 6 38 0.876548 46 14 120.791
36 0.709743 1.47619 0.336067 6 38 0.827778 82 49 121.482
37 0.662029 1 0.413993 6 38 0.656254 52 17 121.661
38 0.545818 1 0.229194 6 38 0.849549 33 12 120.694
39 0.492931 1 0.276921 6 38 0.840353 63 25 120.985
40 0.484242 1 0.203299 6 38 0.862182 46 11 120.786
41 0.849018 1 0.251699 6 38 0.891083 35 5 120.651
42 0.872261 1.36364 0.265754 6 38 0.816332 43 32 121.578
43 0.847046 1.3 0.417781 6 38 0.69543 78 46 121.816
44 0.839526 1.8 0.33672 6 38 0.731477 49 41 121.89
45 0.874826 1.45455 0.35475 6 38 0.679323 56 30 122.257
46 0.788664 1.7 0.29347 6 38 0.75811 42 43 121.679
47 0.825623 1.54545 0.396909 6 38 0.696181 49 36 121.86
48 0.757139 1.86364 0.483296 6 38 0.674891 96 86 122.608
49 0.809232 1.9 0.469542 6 38 0.593265 65 44 123.003
50 0.764296 1.83333 0.520904 6 38 0.560986 60 52 122.418
51 0.796843 2 0.467287 6 38 0.609267 65 52 122.68
52 0.785449 2.1 0.465613 6 38 0.636684 56 49 122.604
53 0.833591 2.5 0.559255 6 38 0.536169 58 67 123.136
54 0.849331 1.95455 0.956178 6 38 0.470253 77 69 123.838
55 0.814769 2 0.72519 6 38 0.443178 83 75 124.016
