#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3311
4 1 3986.8
5 1 4925.9
6 1 6002.24
7 0 0
8 2 7420.17
9 2 8481.09
10 1 8784.49
11 1 9662.32
12 2 10149
13 1 11521.8
14 3 11531
15 4 11983.6
16 2 12343.2
17 13 11490.5
18 7 11103.3
19 2 10714.7
20 3 11824.1
21 17 10474
22 16 8157.96
23 16 6094.51
24 8 4808.8
25 7 3900.85
26 2 4220.64
27 9 3783.25
28 4 3945.37
29 4 4283.7
30 2 4481.06
31 3 4810.48
32 3 5251
33 12 4629.31
34 14 3418.82
35 1 3004.9
36 5 2974.79
37 5 2836.32
38 8 2793.6
39 7 2330.08
40 0 0
41 2 3245.29
42 5 3819.45
43 5 3844.69
44 3 3896.54
45 6 4256.73
46 4 4368.11
47 8 3755
48 6 3406.39
49 2 3562.25
50 5 4100.33
51 5 3680.46
52 9 3562.31
53 1 3861.11
54 2 4338.92
55 5 4437.75
56 4 4616.02
57 1 5457.2
58 6 5492.24
59 4 5582.87
60 3 5699.96
61 19 4884.62
62 9 2739.78
63 2 2834.82
64 7 2842.71
65 3 2808.9
66 6 2631.98
67 1 3254.51
68 2 3569.85
69 2 4293.82
70 8 4202.22
71 7 4012
72 9 3045.55
73 2 3276.67
74 2 3621.82
75 1 4556.07
76 11 4014.38
77 7 3417.51
78 6 2952.06
79 4 3211.85
80 7 3180.33
81 2 3336.82
82 6 3179.09
83 1 3404.47
84 0 0
85 0 0
86 0 0
87 1 7173.15
88 2 8143.06
89 2 8996.68
90 3 9343.18
91 0 0
92 18 9367.27
93 1 7998.38
94 1 8763.38
95 20 7700.12
96 5 6502.48
97 2 6654.41
98 2 6962.07
99 32 4830.72
100 1 2982.15
101 8 2832.74
102 8 2529.41
103 0 0
104 5 2821.69
105 4 2714.61
106 2 3658.23
107 3 3814.27
108 3 4337.26
109 0 0
110 0 0
111 2 6685.01
112 2 7636.09
113 1 7781.33
114 1 8830.89
115 3 9567.08
116 4 9567.8
117 5 9954.38
118 4 9761.39
119 3 10135.9
120 2 10684.6
121 9 10868.9
122 1 11073.7
123 1 11959.4
124 21 10212.3
125 13 8013.44
126 12 6309.74
127 9 5673.31
128 7 4541.98
129 6 4473.62
130 0 0
131 9 4813.46
132 4 4550.31
133 6 4605.38
134 7 4098.06
135 1 4271.92
136 2 5099.9
137 3 5779.71
138 3 6168.06
139 6 5869.97
140 7 6275.5
141 3 6188.74
142 6 6000.43
143 6 5707.56
144 9 5366.94
145 3 5114.59
146 6 5060.43
147 0 0
148 11 5255.85
149 2 5223.44
150 2 5803.24
151 10 5651.27
152 8 4890.31
153 4 4710
154 0 0
155 9 5177.55
156 6 4786.91
157 3 4948.69
158 3 5333.89
159 1 5948.19
160 6 6165.17
161 2 6094.54
162 9 6544.5
163 2 6305.42
164 11 6024.22
165 16 4182.11
166 9 2884.08
167 0 0
168 2 3643.42
169 6 3667.67
170 1 3965.75
171 3 4778.65
172 3 4986.35
173 11 4708.16
174 1 4725.43
175 15 4046.82
176 1 3422.02
177 9 3087.78
178 2 3404.35
179 7 3253.93
180 2 3307.78
181 3 3927.1
182 1 4009.28
183 2 5244.2
184 1 6001.45
185 0 0
186 7 6734.13
187 2 7120.76
188 15 6282.37
189 20 4175.48
190 0 0
191 1 3690.9
192 3 4450.91
193 8 4645.2
194 1 4606.51
195 6 4615.94
196 1 5185.91
197 4 5587.04
198 5 5794.12
199 1 5888.03
200 8 6410.34
201 9 5768.83
202 6 5027.09
203 12 3700.66
204 3 3649.27
205 2 3925.82
206 7 4285.44
207 3 4148.15
208 6 4323.55
209 3 4468.64
210 1 5155.69
211 9 4800.91
212 1 5155.61
213 2 5588.41
214 10 5809.54
215 7 5023.38
216 11 3741.18
217 9 3253.56
218 0 0
219 1 3758.28
220 10 3943.7
221 3 3768.12
222 5 3657.25
223 6 3445.63
224 6 3634
225 10 3136.91
226 2 3022.92
227 7 3129.98
228 2 3279.44
229 2 3673.83
230 5 4274.28
231 3 4224.53
232 3 4586.24
233 0 0
234 2 6003.24
235 0 0
236 4 6906.35
237 6 7678.71
238 0 0
239 21 6671.2
240 14 4125.54
241 11 2965.56
242 0 0
243 2 3340.98
244 5 3729.51
245 6 3568.58
246 5 3325.77
247 5 3399.93
248 9 3013.19
249 1 3553.92
250 10 3342.49
251 0 0
252 2 3733.5
253 5 4198.09
254 2 4177.55
255 10 3975.43
256 3 3700.95
257 9 3942.12
258 4 3466.74
259 7 3351.57
260 7 3010.74
261 0 0
262 6 3820.52
263 4 3344.29
264 2 4116.86
265 7 4075.93
266 4 4073.25
267 7 3623.77
268 3 3892.31
269 3 4480.97
270 5 4203.28
271 7 4553.21
272 4 4196.18
273 12 3734.35
274 2 3174
275 5 3236.17
276 3 3766.98
277 1 4333.41
278 4 4693.29
279 2 5078.43
280 5 5447.75
281 1 6062.22
282 1 6561.87
283 9 7090.81
284 5 6383.46
285 13 5908.63
286 10 4571.03
287 2 4032.44
288 3 4226.69
289 9 4148.85
290 2 4347.04
291 8 4237.98
292 2 4249.62
293 6 4673.43
294 2 4636.44
295 9 4689.89
296 9 3872.33
297 6 3200.94
298 4 3157.28
299 1 4083.88
300 1 4337.79
301 3 5104.77
302 2 5940.96
303 5 5567.76
304 0 0
305 6 6772.93
306 2 6670.14
307 8 7073.79
308 18 5222.52
309 8 3646.63
310 3 3718.61
311 3 4266.26
312 5 3901.64
313 3 4133.64
314 9 4221.52
315 3 4164.88
316 2 4583.66
317 1 4928.49
318 4 6192.43
319 0 0
320 0 0
321 0 0
322 21 7362.29
323 2 5825.75
324 4 6687.98
325 0 0
326 15 6076.98
327 2 5560.26
328 2 6355.43
329 11 6253.7
330 6 5218.3
331 2 5608.31
332 1 5859.51
333 0 0
334 26 5183.8
335 2 3928.41
336 2 4324.14
337 2 4939.99
338 8 4851.31
339 1 4717.34
340 12 4552.9
341 6 3826.1
342 3 4262.41
343 3 4448.97
344 8 4564.54
345 7 3812.42
346 0 0
347 2 4821.64
348 2 5302.44
349 8 5573.3
350 0 0
351 0 0
352 18 5879.72
353 1 4953.46
354 0 0
355 14 5470.83
356 4 4758.79
357 5 4705.76
358 5 5067.01
359 3 5259.01
360 6 5178.2
361 5 5160.81
362 4 5295.86
363 10 5077.12
364 1 5141.56
365 6 5043.05
366 8 4316.17
367 6 4162.37
368 4 4178.23
369 2 4629.54
370 6 4842.7
371 3 4815.39
372 0 0
373 3 6217.53
374 8 6380.73
375 6 5652.26
376 5 5634.02
377 2 6182.45
378 7 5849.77
379 10 5414.15
380 1 5205.83
381 0 0
382 14 5492
383 5 5132.64
384 5 5131.57
385 0 0
386 12 5078.27
387 3 4768.6
388 1 5306.16
389 9 5080.56
390 4 4945.08
391 9 4682.28
392 1 4517.35
393 5 4813.25
394 5 4886.13
