#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 2.66041 1 1.54072 1 1 0.691856 4 0 246.023
1 1.94018 1.25 0.939567 2 2 0.163345 38 0 134.191
2 0.915349 1.13333 6.39962 3 3 0.127886 20 0 135.482
3 0.71047 2.1 9.06739 3 5 0.222359 24 0 136.518
4 0.829213 2.2 7.36628 2 8 0.0959751 45 0 137.291
5 0.74877 1.72727 3.21559 2 12 0.105626 112 0 137.782
6 0.96764 1.36842 2.57205 2 18 0.0844179 150 0 140.12
7 0.951379 1.63636 1.7175 2 27 0.264655 170 0 142.621
8 0.810219 2 0.726656 2 41 0.325466 196 73 146.404
9 0.777565 1.90909 0.547947 2 32 0.504457 65 43 142.96
10 3.88871 2 0.718561 2 18 0.367393 71 29 125.752
11 2.099 2.04545 0.881624 3 18 0.49152 72 39 120.607
12 0.696098 2.1 1.40795 5 22 0.190986 105 36 133.974
13 0.699821 1.11111 0.670011 4 33 0.346399 75 51 139.28
14 0.611982 1.05263 0.615505 3 24 0.659686 66 25 134.084
15 0.612007 1 0.481026 2 15 0.598992 45 11 131.963
16 0.827684 1 0.708415 2 8 0.533727 45 0 130.584
17 0.665448 1.16667 2.62622 2 6 0.0715883 34 0 129.347
18 1.00541 1.3 1.71478 2 9 0.0824846 79 0 128.293
19 1.16218 2 1.41099 2 14 0.28326 96 1 130.154
20 1.68533 1.9 0.857472 2 21 0.163503 133 25 133.788
21 1.25564 2.18182 0.505118 3 25 0.579653 72 41 135.843
22 0.481091 3.40909 2.83637 4 18 0.231979 115 5 138.956
23 0.615803 2 1.63267 2 27 0.295012 180 8 146.035
24 0.730582 1.55556 0.693909 2 41 0.336419 184 61 150.785
25 0.715936 1.05556 0.544526 2 30 0.581853 55 14 144.854
26 1.28489 1.54545 0.614587 2 18 0.618109 57 24 140.506
27 0.81034 1.5 0.884908 3 16 0.21941 74 25 142.102
28 1.1018 1 0.547376 3 16 0.335271 43 9 141.986
29 0.809362 1.31579 1.24946 4 12 0.285849 71 14 141.88
30 0.690062 1 0.805978 4 17 0.325544 86 8 142.608
31 0.770422 1.11111 0.547036 3 14 0.457432 43 8 141.008
32 0.957493 1.3 0.827867 3 8 0.272521 62 1 139.903
33 0.680617 2.09524 5.0408 3 7 0.130751 41 0 138.911
34 0.99668 1.5 2.75084 2 11 0.313771 75 0 139.021
35 0.715005 1.55556 1.50289 2 17 0.224462 143 0 138.491
36 1.02332 2 0.73223 2 26 0.253032 165 33 140.515
37 0.745575 1.80952 0.842387 2 23 0.396037 111 50 139.512
38 0.699323 1.5 0.683006 2 21 0.31809 67 36 137.707
39 0.90937 1 0.479911 2 16 0.587421 38 8 136.255
40 0.610312 1.35294 1.31298 2 8 0.238575 73 3 133.906
41 1.00244 1 0.661314 2 12 0.312603 76 3 135.582
42 1.37609 1.54545 0.783365 2 10 0.454667 66 3 134.881
43 0.730689 1.94737 2.20577 3 11 0.153485 79 5 136.462
44 1.48387 2 1.38755 2 17 0.0870114 151 6 138.287
45 0.946494 1.83333 0.792666 3 26 0.322563 117 57 141.469
46 0.694106 2.54545 0.785457 3 23 0.286657 86 59 138.548
47 0.690466 1.9 0.699328 3 19 0.326202 74 22 133.105
48 1.21293 2.72727 0.924475 2 14 0.125666 106 42 130.575
49 0.694967 2.5 2.01443 3 17 0.195386 105 17 132.517
50 1.10868 2.09091 1.07315 2 26 0.247573 127 78 136.694
51 0.573744 2.9 0.770066 3 32 0.282248 98 104 138.172
52 1.44976 2.36364 0.776497 2 27 0.330201 72 59 135.238
53 1.4301 2.45455 0.712699 3 30 0.529034 63 56 135.811
54 0.537303 3.8 1.55428 5 30 0.29823 106 94 139.115
55 0.685288 3.09091 0.87769 3 45 0.339218 137 197 144.637
56 0.693526 3 0.753847 3 43 0.287485 76 104 142.903
57 0.796671 3 0.69654 3 34 0.460038 80 84 138.575
58 0.761635 3 1.07942 3 25 0.226783 82 48 136.852
59 0.576371 3 0.819802 3 31 0.217065 103 86 143.203
60 1.00538 2.47619 0.914696 2 28 0.212829 107 56 143.526
61 1.21848 2 0.743526 2 30 0.325936 63 40 142.479
62 1.09791 2.75 1.08782 3 29 0.273632 136 69 142.815
63 0.504963 3.72727 0.864587 4 36 0.299481 118 129 144.833
64 1.06437 3.2 0.814902 2 34 0.253103 89 83 143.646
65 0.509438 2 0.95276 2 33 0.307232 106 74 142.401
66 3.68723 1.09091 0.325166 1 35 0.684529 18 13 141.037
67 4.28863 1.18182 0 2 26 1 0 0 137.749
68 3.18982 1.81818 0 3 20 1 0 0 135.369
69 0.661796 2.9 0.944948 5 15 0.243264 148 21 136.365
70 0.51085 2.27273 2.23142 4 16 0.0619825 134 3 138.405
71 0.997904 2.15 2.01472 2 24 0.0597471 196 0 152.634
72 0.586248 2 0.841912 2 36 0.318225 213 90 155.485
73 0.739294 2 0.539177 2 33 0.469346 65 45 152.937
74 0.58648 1.7 0.546447 2 19 0.549393 53 32 148.827
75 0.899657 1.5 0.99128 2 11 0.625133 66 5 145.878
76 0.69885 2 2.18419 2 12 0.157892 76 0 147.37
77 0.856459 2 1.4815 2 18 0.279466 126 4 148.26
78 0.897181 2 0.9478 2 27 0.269893 146 29 150.57
79 0.655728 2 0.708102 2 29 0.304006 79 56 150.824
80 0.82623 2 0.759665 2 22 0.285 83 30 148.458
81 0.738912 2 1.18141 2 18 0.490371 75 39 146.695
82 0.641351 2 0.960423 2 24 0.323662 129 39 144.789
83 0.819382 2 0.641165 2 26 0.378424 75 50 135.801
84 0.870513 2 0.724497 2 18 0.401288 65 41 133.95
85 0.411624 2 1.49162 2 14 0.144207 95 3 132.2
86 2.54631 1.28571 0.477208 1 21 0.533299 71 28 165.782
87 1.21991 1.2 0.119316 2 16 0.914594 34 8 165.15
88 0.633928 2 2.21284 3 11 0.13899 72 0 165.05
89 0.656914 2.8 0.936496 2 17 0.0653747 214 20 166.35
90 0.601269 2 0.603895 2 18 0.417134 99 33 165.99
91 1.41717 1.7 0.759111 2 11 0.240792 72 13 164.576
92 1.08519 2.4 1.70081 3 12 0.111507 98 21 165.473
93 0.897109 1.81818 1.3287 3 18 0.234678 117 0 166.507
94 0.823769 1.72727 0.705817 3 27 0.291827 120 44 168.464
95 0.95214 1.65 0.631282 3 20 0.518694 79 51 166.886
96 0.788159 2 0.824364 3 15 0.416467 77 28 166.656
97 0.839625 1.7 1.01299 3 13 0.228044 82 12 165.729
98 0.775264 1.72727 0.643947 3 15 0.354413 80 36 152.716
99 0.814132 1.8 0.757206 3 10 0.276375 89 1 151.391
100 0.794833 1.90476 2.27558 3 8 0.105728 85 0 151.229
101 0.869485 1.6 1.68947 3 12 0.264009 101 0 152.772
102 0.955677 1 0.897992 3 18 0.260691 131 3 154.34
103 0.830426 1 0.930803 3 19 0.254312 73 10 154.536
104 0.888838 1.6 0.553875 3 20 0.513999 56 33 154.369
105 0.831549 1.5 1.24554 3 11 0.423418 51 0 152.446
106 0.788338 1.77778 0.822784 3 16 0.224299 89 21 154.174
107 0.663457 2.47619 1.61571 3 14 0.126796 101 25 153.573
108 0.92914 1.6 1.03082 2 21 0.158152 148 39 155.14
109 1.24201 1.6 0.601285 2 25 0.426283 64 42 154.922
110 0.638595 2.6 0.671053 3 21 0.386635 71 62 146.191
111 0.622623 3 0.920149 3 15 0.198333 104 41 145.178
112 1.33179 2 1.70561 3 16 0.0684034 113 7 144.919
113 0.969489 2 1.09487 4 24 0.211727 124 46 148.663
114 0.847148 2 0.716048 5 30 0.381193 83 64 149.492
115 0.731188 2.2 0.723566 5 23 0.306623 69 47 146.391
116 0.808359 2 0.752689 4 18 0.338282 73 37 144.806
117 0.78842 1.65 1.28987 3 15 0.0963432 93 16 143.696
118 0.854574 2.27273 0.721142 3 22 0.475606 86 62 145.468
119 0.815515 2.6 1.30873 3 17 0.239073 78 22 145.196
120 0.688591 2.9 1.01808 3 26 0.333092 98 66 147.538
121 0.688515 2.09091 0.816807 3 31 0.27449 84 76 149.427
122 1.5305 1.45 0.748029 2 27 0.358753 65 31 149.049
123 1.29572 1 0.729695 3 29 0.472901 78 16 148.354
124 0.963522 1.72727 0.545491 4 30 0.548986 71 33 148.851
125 1.05661 2.2 0.754365 4 19 0.483614 61 40 146.801
126 0.800071 1.90909 1.27543 5 17 0.266406 71 5 146.808
127 0.838096 2.45455 1.026 4 25 0.164424 111 49 149.039
128 0.73469 2.66667 1.43308 4 29 0.217273 131 58 150.433
129 0.819866 2.72727 0.984728 3 44 0.428545 99 108 153.408
130 0.752642 2.81818 0.670969 3 49 0.42655 79 110 154.231
131 0.761344 2.27273 0.778188 3 35 0.390027 77 55 150.798
132 0.820291 2 0.760662 3 29 0.310803 79 39 148.204
133 0.89281 2.45455 0.730418 3 24 0.34693 68 65 146.558
134 0.91389 2.4 0.828446 3 19 0.218933 84 38 144.747
135 0.894653 1.90909 1.55222 3 17 0.187673 111 12 143.762
136 0.950185 1.8 0.744815 3 26 0.384176 89 82 146.272
137 1.00729 1.54545 0.724669 3 22 0.320154 64 25 145.249
138 0.750751 1.81818 0.744097 3 19 0.320049 63 37 144.285
139 0.84512 2 0.835691 3 15 0.209689 71 31 143.537
140 0.735285 2.45455 1.07183 3 14 0.0976195 91 29 143.151
141 0.798696 2.54545 2.58823 3 17 0.0484119 111 1 145.138
142 0.778522 2.27273 1.70085 3 26 0.350623 141 0 147.728
143 0.654944 2.45455 0.945685 3 39 0.261037 198 72 151.913
144 0.708563 2.81818 0.720114 3 42 0.292467 88 89 152.473
145 0.685686 2.3 0.640681 3 32 0.442106 68 57 148.787
146 0.799502 2.63636 0.806843 3 22 0.278698 81 62 149.094
147 0.772691 2.81818 1.87354 3 19 0.133537 126 37 152.398
148 0.84426 2.9 1.47304 3 29 0.350086 145 17 153.892
149 0.695552 2.90909 0.879628 3 44 0.324933 139 128 158.083
150 0.66569 3 0.756273 3 42 0.288043 93 90 157.47
151 0.745086 3 0.805043 3 34 0.285342 81 83 156.111
152 0.681841 2.90909 0.812972 3 29 0.305272 92 70 154.33
153 0.7314 2.85714 1.397 3 25 0.196234 139 52 153.129
154 1.03408 2.09091 0.894849 2 38 0.331333 89 107 155.722
155 1.12421 2 0.576215 2 41 0.503125 66 65 155.628
156 0.883239 2.77778 0.630475 3 32 0.440001 76 57 154.242
157 0.706718 3 1.02472 3 21 0.263678 102 43 150.401
158 0.720046 3 0.885046 3 25 0.287469 110 70 148.592
159 0.735194 3 1.89595 3 24 0.12341 133 39 148.176
160 0.771959 3 1.25181 3 36 0.350547 160 52 150.005
161 0.830968 3 0.751151 3 51 0.352947 103 156 154.284
162 0.813303 3 0.731458 3 42 0.408794 83 86 152.354
163 0.821443 3 0.796562 3 33 0.37806 95 72 149.005
164 0.789529 3 0.850704 3 28 0.282877 84 65 147.564
165 0.78799 3 1.19675 3 26 0.240145 103 70 147.806
166 0 -nan 0.865939 0 35 0.199552 78 82 147.718
167 0 -nan 0.674684 0 34 0.613799 4 0 146.045
