#pardegree results/pane splitting plq_rho
1 2195.49 1 20.4634
2 2785.17 1.99213 6.64741
3 3163.93 2.98269 3.53905
4 3443.9 3.96459 2.18488
5 3666.56 4.94965 1.51429
6 3852.73 5.92683 1.12463
7 3828.74 5.7915 0.975032
8 3714.4 5.18804 0.958148
9 3616.36 4.74587 0.93864
10 3522.09 4.32101 0.932201
11 3456.54 4.0771 0.915515
12 3390.2 3.82455 0.908584
13 3339.19 3.6428 0.904174
14 3282.28 3.46341 0.930599
15 3258.89 3.38159 0.921271
16 3218.06 3.25334 0.957185
17 3219.56 3.2502 0.941333
18 3206.29 3.22109 0.945459
19 3211.95 3.22345 0.935908
20 3196.55 3.1904 0.952053
