#second results avg_latency(ms)
0 0 0
1 0 0
2 1 2462.03
3 0 0
4 0 0
5 0 0
6 3 6424.32
7 3 7097.52
8 0 0
9 1 9247.61
10 2 9653.65
11 1 10564
12 1 11286.9
13 3 12034.5
14 3 12690.3
15 1 13390.2
16 1 14937
17 1 15650.3
18 1 16114.1
19 2 17129.7
20 1 18377.6
21 2 19041.3
22 3 19915.3
23 2 20502.1
24 3 21218.7
25 1 22351.7
26 1 23130.3
27 1 24203.2
28 1 25142.7
29 1 25848.1
30 3 26615.1
31 3 27164.6
32 2 27955.4
33 1 28718.9
34 2 29650.2
35 1 30640.7
36 1 31319
37 2 32162
38 1 32951.1
39 2 33705.2
40 1 34530
41 1 35393.5
42 1 36351.2
43 1 37094.8
44 2 38283.4
45 1 39195
46 2 39942.1
47 2 40670.5
48 2 41748.5
49 1 42739.4
50 1 43307.8
51 2 44197.4
52 2 45097
53 1 45795.9
54 2 46593.3
55 2 47515.2
56 1 48482.3
57 2 49312.9
58 1 50202.4
59 1 50971.4
60 2 51777.7
61 1 52822.7
62 1 53601.3
63 1 54367.2
64 1 55497.4
65 1 56475.6
66 1 57295
67 2 58067.6
68 2 58818
69 1 59500.4
70 2 60338.1
71 3 61321.7
72 3 62035.4
73 2 62632.5
74 1 63596.3
75 1 64361.1
76 2 65335.5
77 2 66164
78 2 66908.9
79 2 67571.2
80 1 68238.3
81 2 69349.2
82 2 70262.6
83 3 70936.8
84 2 71809.9
85 2 72697.3
86 3 73390.1
87 1 73987.6
88 2 74932
89 1 75642.6
90 2 76503.5
91 2 77542.6
92 2 78112.1
93 2 78982.9
94 1 79795.6
95 3 80621.3
96 2 81441.1
97 1 82401
98 1 83126.9
99 2 83946
100 2 84671.2
101 2 85677.1
102 1 86725.1
103 1 87297
104 2 88056.7
105 1 88852.6
106 2 89753.3
107 1 90651.9
108 3 91536.5
109 2 92542.1
110 2 93341.3
111 2 94065.6
112 1 94770.8
113 3 95519.8
114 2 96389.7
115 3 97032
116 2 97881.4
117 1 98570.7
118 2 99398.4
119 2 100279
120 3 100997
121 1 101819
122 2 102592
123 2 103529
124 1 104571
125 1 105196
126 1 105989
127 1 106649
128 2 107787
129 1 108642
130 2 109630
131 1 110311
132 2 111210
133 0 0
134 1 112716
135 1 113930
136 1 115077
137 1 116021
138 1 116683
139 1 117372
140 2 118380
141 1 119425
142 1 120360
143 1 121153
144 1 121939
145 1 122926
146 1 123855
147 1 124786
148 1 125588
149 2 126433
150 1 127461
151 1 128557
152 0 0
153 1 130024
154 1 131127
155 1 132010
156 2 132718
157 1 133616
158 1 134455
159 2 135590
160 2 136372
161 1 137064
162 1 137696
163 2 138702
164 2 139818
165 1 140620
166 2 141479
167 1 142123
168 2 142924
169 1 144190
170 1 145035
171 2 145874
172 2 146407
173 1 146932
174 2 148102
175 1 149261
176 1 150291
177 1 151078
178 0 0
179 2 152592
180 1 153509
181 2 154083
182 2 154988
183 1 156004
184 2 156694
185 1 157452
186 1 158298
187 2 159402
188 2 160370
189 1 161068
190 3 161816
191 1 162695
192 1 163452
193 2 164325
194 2 165287
195 1 166250
196 1 167103
197 1 167823
198 1 168720
199 1 169872
200 1 170858
201 1 171611
202 2 172063
203 2 172827
204 3 173915
205 2 174763
206 1 175509
207 1 176241
208 2 177197
209 0 0
210 1 179122
211 1 180271
212 1 181312
213 1 182046
214 2 182721
215 1 183504
216 2 184099
217 1 184933
218 1 185922
219 3 186887
220 2 187637
221 2 188540
222 2 189319
223 2 190003
224 1 190734
225 2 191763
226 1 193008
227 1 193841
228 1 194270
229 1 194999
230 2 196004
231 1 197087
232 1 197816
233 1 198615
234 2 199563
235 2 200468
236 2 201173
237 2 201807
238 2 202771
239 2 203797
240 2 204481
241 1 205044
242 2 205844
243 2 206869
244 1 207823
245 1 208585
246 1 209323
247 1 210095
248 1 211175
249 1 212578
250 0 0
251 2 214045
252 1 214917
253 1 215429
254 1 216487
255 1 217657
256 2 218450
257 1 219230
258 2 220287
259 2 221260
260 1 221935
261 2 222795
262 1 223512
263 1 224063
264 2 225344
265 1 226495
266 1 227191
267 1 227889
268 2 228895
269 1 229478
270 2 230316
271 1 231208
272 2 232251
273 1 233063
274 2 233811
275 1 234731
276 2 235687
277 1 236765
278 1 237327
279 2 238007
280 3 238839
281 1 239610
282 3 240530
283 2 241163
284 2 242105
285 1 242870
286 2 243774
287 1 244710
288 2 245429
289 2 246421
290 1 247040
291 2 247823
292 2 248937
293 1 249633
294 2 250451
295 1 251690
296 0 0
297 1 252851
298 2 254166
299 1 255005
300 1 255621
301 1 256308
302 1 257164
303 2 258316
304 1 259277
305 1 260148
306 1 261007
307 1 261872
308 1 262961
309 1 263691
310 2 264768
311 1 265788
312 1 266274
313 1 266890
314 2 268106
315 1 269010
316 1 269819
317 1 270475
318 1 271425
319 1 272428
320 2 273555
321 0 0
322 1 274925
323 1 275915
324 2 277142
325 1 278059
326 3 278674
327 2 279541
328 2 280349
329 2 280952
330 1 281765
331 1 282450
332 2 283532
333 2 284494
334 1 285389
335 3 286130
336 1 287018
337 2 287685
338 2 288624
339 1 289664
340 1 290404
341 3 291137
342 2 291818
343 1 292513
344 2 293393
345 3 294405
346 1 295206
347 1 295823
348 3 296864
349 3 297489
350 2 298323
351 1 299287
352 1 299856
353 2 300787
354 2 301851
355 1 302670
356 1 303422
357 2 304114
358 2 304914
359 2 305821
360 1 306661
361 2 307409
362 2 308190
363 1 309080
364 2 310056
365 1 310995
366 2 311598
367 2 312491
368 2 313472
369 1 314354
370 2 314991
371 2 315912
372 1 316803
373 1 317452
374 2 318461
375 1 319540
376 1 320239
377 2 321149
378 1 321908
379 2 322657
380 2 323688
381 1 324340
382 2 325189
383 2 326106
384 1 326793
385 2 327644
386 2 328526
387 3 329379
388 2 330222
389 2 331033
390 1 331884
391 2 332702
392 1 333480
393 1 334060
394 2 335224
395 1 336120
396 1 336800
397 2 337607
398 2 338358
399 1 339228
400 1 340291
401 1 341327
402 1 342138
403 2 343063
404 1 343932
405 1 344685
406 2 345554
407 2 346503
408 1 347266
409 2 348069
410 2 348755
411 1 349566
412 1 350285
413 1 351204
414 1 352340
415 1 353282
416 1 354008
417 2 355211
418 1 356036
419 2 356748
420 1 357572
421 2 358510
422 1 359436
423 2 360243
424 1 360982
425 2 361757
426 1 362536
427 2 363628
428 0 0
429 2 365304
430 1 366351
431 2 367254
432 1 367999
433 2 368923
434 1 369737
435 1 370507
436 2 371339
437 3 372056
438 1 372852
439 3 373701
440 1 374337
441 2 375366
442 1 376488
443 1 377126
444 1 377807
445 1 378652
446 1 379877
447 0 0
448 1 381230
449 2 382652
450 1 383706
451 1 384348
452 2 384992
453 3 385982
454 1 386817
455 1 387555
456 1 388297
457 2 389489
458 1 390534
459 1 391503
460 0 0
461 1 392641
462 1 393956
