#second results avg_latency(ms)
0 2 779.746
1 3 1263.86
2 5 1884
3 4 2432.75
4 5 2907.18
5 5 3405.05
6 5 3899.17
7 4 4421.02
8 4 5048.83
9 3 5656.62
10 4 6372.19
11 3 7016.09
12 4 7621.38
13 1 8469.62
14 4 9208.84
15 3 9800.87
16 4 10395.6
17 3 11069.8
18 2 11788.7
19 3 12535.8
20 3 13408.7
21 4 13984.8
22 5 14532.2
23 4 15048.3
24 5 15570.1
25 5 16112.2
26 5 16649.2
27 3 17205.4
28 4 17785.4
29 6 18350
30 4 18876.1
31 4 19470.7
32 4 20053.9
33 3 20793.9
34 4 21257
35 4 22020.9
36 5 22500.9
37 4 23076.3
38 5 23546.6
39 5 24125.2
40 4 24737.1
41 4 25262.1
42 4 25817
43 4 26459.5
44 3 27212.9
45 4 27841
46 3 28361.3
47 3 28959.1
48 5 29729.6
49 3 30242.2
50 5 30862.4
51 4 31428.9
52 6 31969.4
53 4 32541.3
54 5 33078.6
55 4 33652.4
56 3 34172.5
57 5 34760.6
58 4 35387.7
59 3 36023
60 5 36541.1
61 5 37050.3
62 4 37581.7
63 4 38280.4
64 5 38752.9
65 5 39353.8
66 4 39979.2
67 4 40520.3
68 4 40958
69 5 41559.8
70 5 42102.1
71 4 42637
72 5 43190.9
73 4 43728
74 4 44361.6
75 3 44928.3
76 5 45627.3
77 4 46180.8
78 3 46751.1
79 3 47504.7
80 4 48063.4
81 3 48635.9
82 4 49518.3
83 4 50204.6
84 4 50735.9
85 4 51325.9
86 3 51961.6
87 4 52585.1
88 4 53066.5
89 4 53688.6
90 5 54260.8
91 5 54820
92 4 55322.1
93 5 55870.4
94 5 56414.6
95 4 56895.9
96 4 57481.5
97 5 58103.2
98 5 58644.1
99 5 59182.5
100 4 59709.6
101 4 60321.8
102 4 60899.2
103 4 61456.5
104 5 62025.3
105 4 62558.5
106 4 63172.8
107 5 63854.1
108 4 64314.2
109 4 64822.8
110 5 65432.5
111 4 66066
112 4 66630.2
113 4 67154.4
114 4 67756.1
115 5 68355.6
116 4 68879.4
117 5 69395.5
118 5 69900.7
119 4 70519.4
120 4 71171.7
121 4 71737.7
122 3 72267.9
123 4 72849.2
124 4 73447.3
125 4 74069.5
126 3 74744.4
127 3 75432.1
128 5 76088.3
129 4 76672
130 5 77170.2
131 5 77776.5
132 5 78259.6
133 3 78834.2
134 4 79471.7
135 4 80156.9
136 3 80773.9
137 4 81396.3
138 4 81949.8
139 4 82492.2
140 4 83066.4
141 4 83802.4
142 4 84434.5
143 4 84994.2
144 5 85473.4
145 4 86046.4
146 3 86799.3
147 2 87487.9
148 3 88303.1
149 4 88891
150 5 89417.2
151 2 89958.6
152 3 90762.9
153 4 91498.1
154 5 92015.5
155 3 92754.5
156 4 93337.3
157 3 93928.7
158 4 94558.6
159 5 95050
160 3 95587
161 5 96260.9
162 4 96728.8
163 4 97399.2
164 4 98068.3
165 4 98628.9
166 5 99166.3
167 3 99694.1
168 3 100480
169 4 101036
170 5 101702
171 5 102261
172 4 102870
173 4 103395
174 4 103901
175 4 104424
176 3 105254
177 4 105914
178 2 106714
179 3 107266
180 4 107955
181 5 108481
182 5 108991
183 4 109667
184 5 110201
185 5 110664
186 4 111243
