#second results avg_latency(ms)
0 2 847.927
1 6 1216.23
2 7 1601.86
3 4 1899.27
4 4 2501.17
5 5 3156.52
6 8 3410.03
7 3 3984.03
8 8 4436.22
9 5 4766.18
10 5 5323.68
11 4 5792.61
12 3 6435.46
13 6 6953.89
14 5 7451.52
15 6 7831.04
16 5 8322.1
17 4 8870
18 3 9414.02
19 6 10126
20 6 10486.1
21 7 10675.4
22 6 11265.2
23 5 11633.1
24 7 11992.3
25 7 12306.6
26 5 12760.4
27 6 13153.3
28 5 13588.2
29 6 14074.1
30 4 14607.8
31 5 15115.2
32 6 15592.7
33 7 15888.5
34 8 16216.5
35 6 16573.9
36 6 16881.8
37 4 17409.8
38 4 17978.9
39 5 18488.9
40 2 19125.9
41 4 19823
42 5 20374.5
43 3 21143.3
44 4 21779.5
45 2 22274.7
46 4 23120.2
47 4 23653
48 5 24112.9
49 5 24658
50 5 25145.8
51 4 25841.3
52 5 26169.5
53 4 26928
54 5 27519.8
55 4 27993.8
56 4 28504.9
57 7 29000.8
58 5 29489.2
59 4 30045.7
60 3 30739.5
61 7 31113.3
62 5 31478.6
63 2 32111.8
64 4 32965.5
65 5 33439.3
66 6 33989.3
67 6 34331.2
68 4 34741
69 4 35341.6
70 4 35910
71 7 36445.5
72 6 36792.4
73 5 37165.1
74 4 37709.5
75 3 38388.2
76 4 39154.5
77 3 39842.6
78 5 40323.6
79 5 40750.7
80 4 41345.5
81 4 42010.2
82 5 42452.2
83 5 43007.3
84 4 43582.5
85 6 43976
86 7 44314.6
87 5 44790.3
88 6 45279.1
89 4 45756.1
90 3 46315.2
91 4 47017.8
92 4 47592.7
93 4 48195.9
94 3 48892.2
95 5 49490.9
96 4 50067.8
97 3 50685.1
98 3 51399.3
99 6 52086.2
100 6 52384.3
101 5 52868
102 5 53361.6
103 6 53747.2
104 6 54222.1
105 6 54545.8
106 7 55007.5
107 5 55260.6
108 5 55811.4
109 5 56335.2
110 6 56736.8
111 4 57200.3
112 6 57737
113 5 58211.2
114 5 58723.7
115 4 59363.1
116 5 59823.4
117 6 60300.2
118 6 60734.4
119 6 60986.5
120 5 61508.2
121 4 62123.8
122 5 62528.4
123 4 63317.4
124 4 63815.1
125 6 64242.9
126 4 64645.5
127 3 65367.3
128 5 65975
129 5 66459.5
130 6 66953.3
131 3 67567.7
132 5 68089.5
133 5 68633.6
134 8 68971
135 4 69437
136 3 69952.7
137 3 70748.9
138 7 71251.4
139 3 71656.8
140 4 72281.7
141 2 73045.5
142 5 73738.5
143 4 74230.2
144 5 74766.3
145 4 75303.7
146 5 75907
147 5 76424.5
148 5 76848.9
149 4 77382.5
150 3 78022.1
151 4 78661.7
152 4 79342.8
153 4 79950
154 7 80409.5
155 5 80793.4
156 3 81508
157 6 81951
158 4 82436.6
159 3 83127.4
160 7 83707
161 4 84091.3
162 2 84866.8
163 5 85396.2
164 3 86038.6
165 4 86743.1
166 5 87179.7
167 5 87790.6
168 5 88279.9
169 5 88733
170 2 89362.9
171 5 89912
172 5 90545.9
173 5 91008.6
174 5 91616.4
175 3 92120.8
176 5 92802.3
177 5 93234.4
178 5 93730.8
179 6 94212.5
180 4 94671
181 5 95298.5
182 6 95574.8
183 5 96063.5
184 4 96712.1
185 6 97264.9
186 5 97620.7
187 6 98062.5
188 5 98424.8
189 4 98967.1
190 5 99588.2
191 4 100231
192 5 100601
193 6 101166
194 5 101571
195 4 102205
196 5 102714
197 4 103271
198 4 103883
199 6 104305
200 5 104743
201 5 105439
202 4 105864
203 4 106430
204 6 107090
205 5 107518
206 6 107805
207 5 108262
208 4 108903
209 4 109348
210 6 109954
211 4 110482
212 4 111033
213 3 111768
214 4 112408
215 5 112985
216 5 113367
217 8 113729
218 5 113977
219 6 114616
220 5 115022
221 5 115386
222 3 115952
223 4 116769
224 4 117479
225 5 117794
226 5 118423
227 4 119002
228 4 119620
229 4 120172
230 5 120825
231 7 121109
232 5 121563
233 3 122073
234 4 122715
235 4 123381
236 4 123903
237 3 124516
238 3 125179
239 5 125891
240 5 126447
241 5 126901
242 5 127431
243 5 128020
244 6 128382
245 6 128849
246 7 129151
247 6 129322
248 4 129887
249 4 130556
250 4 131183
251 5 131716
252 5 132205
253 4 132838
254 7 133253
255 4 133745
256 6 134082
257 5 134551
258 4 135185
259 6 135733
260 5 136229
261 3 136634
262 3 137447
263 6 138072
264 6 138331
265 5 138590
