#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3751.3
4 1 4357.5
5 1 5351.56
6 1 6030.94
7 1 6799.29
8 1 7711.4
9 1 8760.91
10 1 9550.05
11 1 9418.28
12 3 10675.9
13 0 0
14 1 12115.6
15 1 12573
16 1 13934.3
17 5 14249.8
18 0 0
19 6 14623.8
20 1 15013.7
21 1 16501.3
22 2 16730.5
23 21 15147.3
24 28 11277.9
25 15 8415.85
26 23 5270.29
27 6 3347.82
28 3 3697.02
29 8 3676.04
30 6 3477.28
31 5 3102.31
32 8 2649.44
33 0 0
34 3 3534
35 7 3951.42
36 1 4166.85
37 2 4718.03
38 1 5199.95
39 4 5811
40 8 6029.36
41 12 4979.14
42 2 4188.41
43 4 4732.18
44 3 4855.23
45 7 5034.15
46 3 5027.33
47 7 4781.84
48 3 4543.05
49 3 5371.13
50 5 5495.51
51 4 5449.73
52 6 5850.97
53 3 5867
54 9 5783.11
55 3 5303.78
56 10 4891.11
57 7 4102.77
58 9 3725.57
59 0 0
60 5 4407.73
61 6 4051.24
62 1 4486.2
63 8 4749.04
64 3 4400.37
65 3 5090.62
66 3 5327.78
67 2 5982.98
68 6 5673.12
69 8 5372.9
70 11 4374.92
71 2 4304.96
72 11 4135.82
73 5 3796.86
74 1 4278.93
75 3 4655.56
76 8 4606.58
77 1 4777.69
78 4 4937
79 8 5100.69
80 7 4390.37
81 2 4536.55
82 7 4530.35
83 4 4257.95
84 8 4183.2
85 3 4062.18
86 3 4509.52
87 7 4294.96
88 2 4724.14
89 1 5485.74
90 8 4984.59
91 3 5382.74
92 7 5092.03
93 3 5075.29
94 8 5185.38
95 3 5040.32
96 8 4835.08
97 6 4703.7
98 11 3902.55
99 4 3571.03
100 6 3278.92
101 3 3484.6
102 8 3005.17
103 6 2882.81
104 3 2676.93
105 0 0
106 1 5055.93
107 3 5434.82
108 7 5433.87
109 4 5262.57
110 10 4591.86
111 7 4172.94
112 4 3949.43
113 6 3776.13
114 2 4281.19
115 2 4758.44
116 7 4797.87
117 7 4459.2
118 7 3959.86
119 6 3730.77
120 0 0
121 0 0
122 2 6105.95
123 3 6433.29
124 10 6165.38
125 5 5504.27
126 4 5787.51
127 2 5862.34
128 10 6228.16
129 5 5523.24
130 7 5101.16
131 8 4736.66
132 8 3916.79
133 2 4290.38
134 2 4548.58
135 8 4848.26
136 9 4284.7
137 2 4220.46
138 7 4197.52
139 2 4201.98
140 3 4656.14
141 3 5207.71
142 11 4476.61
143 3 4184.59
144 0 0
145 0 0
146 0 0
147 0 0
148 1 8606.31
149 2 9553.82
150 6 9988.87
151 1 9879.5
152 6 10605.8
153 5 10342.4
154 13 9060.77
155 1 8731.93
156 2 9793.4
157 0 0
158 1 11331.1
159 3 11829.2
160 7 12225.9
161 0 0
162 43 8869.54
163 8 5166.83
164 9 4281.32
165 2 4176.56
166 1 4928.1
167 2 5280.33
168 11 4971.76
169 2 5062.25
170 6 5206.67
171 3 5304.81
172 17 4579.09
173 6 3012.47
174 3 3042.26
175 0 0
176 2 4712.12
177 6 4753.3
178 12 3984.66
179 3 3252.89
180 2 3859
181 7 4378.55
182 2 4074.35
183 2 4718.42
184 7 4955.4
185 1 4953.78
186 5 5316.64
187 10 5301.33
188 5 4310.21
189 7 4405.75
190 3 4078.08
191 1 4717.48
192 3 5387.85
193 9 5454.65
194 9 4920.21
195 1 4003.04
196 3 5070.54
197 1 5730.2
198 3 6579.81
199 8 6168.3
200 8 5520.74
201 2 5497.55
202 9 5324.91
203 10 4777.72
204 1 4531.86
205 5 4807.1
206 5 4671.26
207 3 4946.91
208 8 4868.79
209 3 5234.52
210 6 5066.72
211 4 5024.49
212 7 4889.51
213 2 4909.12
214 2 5184.69
215 11 5289.56
216 6 4540.95
217 2 4885.79
218 4 5174.64
219 8 4770.84
220 2 5170.54
221 7 5048.76
222 9 4540.45
223 4 4314.79
224 4 4302.71
225 3 4600.83
226 1 5189.82
227 3 6058.05
228 11 5644.82
229 8 4651.62
230 3 4538.12
231 3 4942.6
232 5 4967.2
233 10 4447.9
234 1 4525.15
235 7 4750.79
236 3 4390.21
237 2 5170.1
238 3 5813.57
239 12 5085.55
240 5 4329.59
241 4 4413.33
242 6 4434.61
243 1 4998.07
244 1 5573.99
245 4 6004.88
246 9 5808.31
247 10 5015.57
248 8 4050.83
249 3 4274.38
250 3 4845.05
251 6 4533.15
252 3 4847.6
253 4 5051.23
254 6 5064.96
255 2 5041.51
256 10 4858.66
257 3 4852
258 4 4955.58
259 4 5278.37
260 9 5044.38
261 9 4279.9
262 1 4257.92
263 1 4909.31
264 7 5183.64
265 2 4885.73
266 1 5431.9
267 10 5916.65
268 4 5030.88
269 8 4798.46
270 2 5085.31
271 1 5948.15
272 8 5958.52
273 2 6002.5
274 5 6428.03
275 6 6189.32
276 6 6064.27
277 1 6131.14
278 10 6393.93
279 1 5893.42
280 4 6488.99
281 8 6444.1
282 10 5762.96
283 3 5413.23
284 8 5529.29
285 3 4795.25
286 11 4667.55
287 5 3824.53
288 2 4339.75
289 4 4922.79
290 6 4339.58
291 3 4804.63
292 8 5117.84
293 3 4711.02
294 7 4780.31
295 1 4667
296 13 4530.68
297 6 3538.61
298 0 0
299 0 0
300 0 0
301 0 0
302 2 7818.86
303 1 8214.28
304 23 7470.22
305 3 5781.89
306 4 5880.16
307 3 6044.72
308 15 5083.59
309 7 3903.02
310 8 3810.43
311 5 3445.44
312 5 3030.14
313 2 3753.37
314 9 3351.83
315 7 2855.4
316 1 3307.3
317 3 3509.95
318 6 3896.33
319 1 4339.83
320 2 4783.18
321 9 4762.27
322 1 4814.43
323 3 5279.36
324 5 5613.34
325 6 5514.29
326 1 6150.87
327 2 6463.62
328 7 6379.28
329 4 6279.62
330 9 6320.59
331 8 5509.02
332 8 4932.86
333 2 4746.46
334 10 4438.23
335 2 4500.16
336 8 4519.58
337 1 4698.61
338 9 4646.25
339 3 4288.85
340 7 4266.19
341 4 4246.3
342 4 4464.15
343 7 4118.34
344 3 4228.7
345 7 4233.65
346 2 4397.33
347 6 4367.17
348 3 4609.25
349 7 4608.73
350 2 4974.52
351 6 5104.57
352 4 4616.74
353 3 5297
354 8 5103.59
355 6 4957.34
356 4 4835.12
357 3 5127.16
358 8 5361.26
359 2 5175.91
360 6 5211.05
361 6 4904.35
362 6 4716.89
363 5 4798.46
364 3 5014.15
365 5 5071.84
366 2 5448.75
367 9 5227.06
368 2 5066.46
369 9 5279.29
370 3 4771.63
371 7 4772.08
372 5 4707.31
373 6 4589.63
374 4 4811.99
375 5 4438.3
376 4 4872.44
377 7 4672.99
378 2 5011.23
379 2 5349.21
380 9 5297.43
381 3 5268.98
382 8 4816.77
383 2 4927.59
384 7 5185.22
385 3 5279.83
386 8 4982.39
387 3 5102.65
388 6 5030.81
