#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 1 4388.32
5 1 4997.65
6 1 6082.1
7 0 0
8 1 7496.48
9 1 8886.31
10 0 0
11 1 10806.1
12 0 0
13 0 0
14 1 13002.6
15 0 0
16 1 15210.2
17 0 0
18 0 0
19 1 17673.1
20 0 0
21 0 0
22 1 20577.7
23 0 0
24 1 22400.4
25 1 22812.9
26 0 0
27 1 24907.4
28 1 25395.2
29 0 0
30 1 27469.8
31 1 28823.6
32 0 0
33 0 0
34 1 30878.9
35 1 31916.9
36 0 0
37 1 34182.7
38 1 35177.9
39 0 0
40 1 36943.3
41 1 37369
42 0 0
43 2 38984.1
44 1 39459.5
45 0 0
46 2 41562.8
47 1 42526.6
48 0 0
49 1 44221.5
50 1 44442.4
51 1 45609.2
52 0 0
53 2 47183.3
54 0 0
55 1 48445.2
56 2 49803.5
57 1 49952.7
58 3 51001.4
59 1 51818
60 2 52087.7
61 1 52684.6
62 3 53392.1
63 2 53898.3
64 2 54651.4
65 3 55019
66 3 55560.1
67 2 56088
68 3 56522.3
69 2 57423.1
70 2 57531.4
71 3 58070.5
72 5 58344.7
73 3 58344.3
74 3 58815.8
75 3 59196.7
76 2 59770.4
77 4 59948.8
78 4 60361.6
79 1 60983.2
80 2 61787.2
81 2 62376.5
82 8 62338.4
83 3 62039.1
84 6 62249.3
85 3 62244.1
86 5 62448
87 4 62353.3
88 2 62702.7
89 8 62811.4
90 6 62596.1
91 2 63072.4
92 10 62437.9
93 3 62296.8
94 4 62862.7
95 2 62830.5
96 2 63701.9
97 1 64403.4
98 4 64826.2
99 3 65259.5
100 2 65821.1
101 4 65792.5
102 2 66311.5
103 9 66157.5
104 1 66228.6
105 1 67187.2
106 9 66994.5
107 1 66879.2
108 1 67611.5
109 6 67884.6
110 2 68402.3
111 3 69058.8
112 5 69260.2
113 1 68999.6
114 1 70150.7
115 1 71351.8
116 1 71951.2
117 1 72806.9
118 7 72798.3
119 0 0
120 1 73645.8
121 1 74437.3
122 8 75258.2
123 1 75270
124 1 75867.2
125 1 76358.1
126 9 76707.3
127 7 75774.2
128 2 76410.3
129 1 76891.3
130 15 76130
131 6 75302.2
132 9 74783.9
133 3 74262.7
134 2 74983.7
135 8 74941.9
136 1 75535.9
137 7 75608.1
138 2 75527
139 4 76201.9
140 13 74782.9
141 1 74705.8
142 1 75692.3
143 1 76519.5
144 24 75162.1
145 9 72187
146 0 0
147 3 73248.5
148 19 72117.7
149 5 70637.1
150 5 70439.6
151 11 70357.7
152 3 69969.8
153 2 70196.8
154 6 69893.7
155 10 69646.1
156 9 69009.7
157 2 69061.4
158 1 69710
159 12 68966.2
160 8 68369.8
161 22 66563.2
162 4 64561.7
163 23 62634.9
164 22 59743.3
165 15 56722.4
166 9 55357.4
167 8 54563
168 21 52697.5
169 12 50762
170 3 49882.9
171 12 49245.1
172 7 48400
173 23 46673.4
174 2 45150.3
175 6 45379.4
176 1 45821
177 26 43361.6
178 20 40318.5
179 4 39024.9
180 28 36599.8
181 0 0
182 1 35625.3
183 3 36305.4
184 7 36041.6
185 1 36684.4
186 45 32589.3
187 2 29241.2
188 17 27978
189 53 22766.3
190 4 17725.2
191 17 16083.1
192 11 14777.7
193 13 13162.7
194 28 9791.72
195 4 8064.67
196 19 6515.51
197 2 5719.44
198 5 5809.94
199 10 5491.22
200 4 5229.33
201 8 4838.28
202 3 4910.43
203 9 4267.42
204 3 4490.11
205 6 4307.77
206 3 4643.01
207 8 4748.88
208 1 4463.95
209 3 5063.55
210 7 4803.36
211 3 5078.7
212 8 4774.16
213 3 4973.52
214 8 4854.33
215 9 4211.95
216 2 4083.98
217 3 4442.97
218 8 4342.75
219 2 4650.75
220 2 4968.49
221 9 4775.42
222 7 4393.01
223 4 4352.88
224 5 4319.05
225 2 4500.68
226 1 5227.62
227 3 5998.75
228 11 5372.89
229 7 4445.68
230 4 4715.05
231 4 4692.71
232 4 4589.55
233 11 4158.67
234 3 4357.08
235 6 4054.96
236 1 4525.1
237 3 5054.26
238 9 5023.61
239 5 4504.76
240 5 4177.02
241 4 4299.72
242 5 4477.87
243 1 5370
244 1 5749.55
245 2 6474.33
246 11 6059.84
247 1 6360.98
248 12 5709.26
249 6 5000.38
250 3 5118.73
251 7 5055.45
252 3 5109.58
253 8 4865.69
254 2 5180.39
255 6 5338.18
256 5 4943.03
257 6 5030.95
258 3 4995.32
259 1 5744.65
260 9 5835.14
261 3 5407.52
262 2 6091.29
263 9 5711.51
264 1 5908.71
265 8 5812.38
266 2 6079.57
267 1 6982.68
268 11 6520.31
269 9 5212.22
270 1 5417.81
271 2 6127.93
272 8 6152.9
273 2 6369.52
274 7 6324.05
275 1 6253.74
276 1 6930.51
277 2 7871.48
278 7 7781.42
279 2 8333.99
280 0 0
281 10 8754.45
282 1 8722
283 3 9834.34
284 2 9888.04
285 7 9704.8
286 8 9765.2
287 12 8836.99
288 1 8025.16
289 19 7664.9
290 3 5955.24
291 11 5539.87
292 4 5448.38
293 7 4962.61
294 7 4497.01
295 5 4673.65
296 13 3534.19
297 1 2875.5
298 3 3904.39
299 8 4098.73
300 10 3307.63
301 0 0
302 3 3723.87
303 9 3586.01
304 1 3842.71
305 1 4280.45
306 9 4126.76
307 5 4021.81
308 6 3766.26
309 4 3907.99
310 7 3902.71
311 4 3743.67
312 7 3440.81
313 10 3031.12
314 1 3192.6
315 8 2971.44
316 1 3239.55
317 4 3489.68
318 5 3196.53
319 3 3709.72
320 8 3546.36
321 1 3394.9
322 4 4318.15
323 7 4233.77
324 1 4505.85
325 3 4924.44
326 7 4990.88
327 3 4897.67
328 1 5569.23
329 2 6485.86
330 7 6208.27
331 1 6553.04
332 2 7144.96
333 0 0
334 9 7992.54
335 0 0
336 2 8833.15
337 1 9298.53
338 7 9724.27
339 2 9672.41
340 1 10883.3
341 7 10740.4
342 2 11174.6
343 2 11675.1
344 4 12439
345 12 11654.9
346 2 11111.3
347 3 11833.2
348 8 10954.9
349 7 11051.9
350 4 10621.7
351 2 11321.7
352 8 11063.3
353 1 11264.6
354 10 10967.7
355 1 11371.2
356 6 11302.8
357 7 11296.4
358 4 10885.5
359 3 11357.3
360 4 11754.3
361 9 11394.2
362 2 10910.5
363 4 11674.6
364 3 11802.7
365 8 12122.2
366 13 10891.6
367 1 10609.4
368 4 10823.7
369 1 11521.9
370 7 11815
371 14 10649.9
372 5 9589.17
373 2 9859.49
374 4 10165.9
375 10 9512.9
376 10 8479.08
377 1 8337.24
378 8 8738.19
379 10 8224.49
380 4 7775.77
381 5 7365.12
382 2 8025.87
383 16 7298.63
384 5 5848.15
385 10 5364.06
386 8 5029.09
387 3 4900.45
388 7 4617.87
389 3 4841.65
390 8 4848.6
391 2 4681.02
392 9 4262.53
393 3 4489.9
394 7 4281.57
