#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 1.54865 1 4.44825 1 1 0.110349 33 0 84.3194
1 0.955838 1.45455 11.2844 2 2 0.0419154 50 0 76.9866
2 0.65452 1.91489 9.11393 2 3 0.00708383 108 0 77.5566
3 0.510437 1.2766 9.34128 2 5 0.0540244 121 0 78.7527
4 1.33334 1.1 3.41475 1 8 0.00644636 372 0 79.7588
5 0.953364 1.66667 3.25288 2 12 0.0333133 422 0 82.6837
6 0.674071 1.12245 1.71303 2 18 0.0456208 709 0 85.9771
7 0.635266 1 0.90897 2 27 0.0750608 786 9 90.9688
8 0.788281 1.02 0.282586 2 27 0.72677 196 59 89.1173
9 0.725666 1 0.548538 2 14 0.459144 216 29 83.1524
10 0.720899 1 0.927215 2 8 0.314071 214 2 80.1267
11 1.05681 1.32558 1.56184 2 8 0.0067069 220 2 80.5395
12 0.894855 1.89091 1.77983 2 12 0.0438199 352 0 82.9269
13 1.0853 2 1.3889 2 18 0.0779799 490 0 86.1614
14 1.08998 2 1.16719 2 27 0.0544144 541 0 91.2839
15 1.03531 2 0.759272 2 35 0.232483 437 177 95.7447
16 0.676139 2 0.594912 2 31 0.41771 370 260 92.3703
17 0.575013 2 0.558116 2 20 0.477523 317 193 86.4095
18 0.518073 2 0.963997 2 12 0.111706 442 31 82.7828
19 2.40587 1.08889 0.448051 1 13 0.5736 141 21 82.0246
20 1.83971 1.33962 0.567526 2 10 0.43761 139 5 81.5042
21 1.05371 2.08 4.51982 3 8 0.0399557 184 0 81.1416
22 0.20821 2.96226 2.74578 3 12 0.0344724 515 0 83.177
23 0.495597 2.06818 1.22507 2 18 0.0120428 1129 0 86.0666
24 1.41627 1.17308 0.440691 1 25 0.561321 443 70 88.2713
25 0.750767 1.54902 0.526213 2 19 0.479435 349 101 85.7935
26 0.884248 1.11111 0.751718 2 10 0.288602 242 6 81.55
27 0.869447 1.49057 1.49097 2 8 0.00885867 264 0 80.7144
28 0.880091 1.81481 1.53296 2 12 0.0313033 398 0 82.9786
29 0.833211 1.7451 1.02982 2 18 0.0848333 565 39 86.0011
30 0.688149 1.94118 0.834001 2 21 0.193464 392 157 87.5862
31 0.983847 1.88095 0.726609 2 19 0.327507 282 105 86.5049
32 0.882983 2 1.60187 2 16 0.0199572 330 13 85.2809
33 0.69161 2 0.974433 2 24 0.0508058 667 70 89.9299
34 0.691453 2 0.555668 2 27 0.518142 287 194 89.8127
35 0.896161 2 1.11405 2 16 0.0659695 349 54 85.1952
36 0.939649 2 0.961496 2 20 0.0419701 489 42 87.7666
37 1.06689 2 0.986815 2 22 0.0899729 388 117 88.9698
38 0.983639 2 0.751152 2 26 0.309352 334 194 90.0949
39 1.05507 2 0.758584 2 23 0.273115 277 170 88.8762
40 1.11387 2 0.915691 2 21 0.140383 326 96 88.0912
41 0.597006 2.4375 0.882951 3 24 0.102987 414 139 89.2132
