#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 2.20685 1 1.2949 1 1 0.482041 7 0 128.855
1 2.43051 1.63636 1.22199 2 2 0.519101 15 0 96.2559
2 1.7791 2.1 7.33432 3 3 0.0783112 19 0 97.6741
3 0.488023 2.81818 12.1439 4 5 0.119509 29 0 99.1928
4 0.640465 3.3 12.4931 2 8 0.0714385 41 0 100.049
5 0.465127 2 7.66386 2 12 0.106792 75 0 103.179
6 1.54879 1.41176 3.25113 1 18 0.0565127 183 0 106.898
7 1.06058 1.5 1.63794 2 27 0.0443488 326 0 114.447
8 0.704382 2 0.746115 2 41 0.277476 275 40 124.31
9 0.794153 1.90909 0.494883 2 32 0.561127 57 48 116.058
10 0.634931 1.90476 0.939423 2 16 0.422885 106 44 105.749
11 0.624547 2 0.790784 2 17 0.270043 89 55 106.359
12 0.894283 1.1 0.502433 2 15 0.500944 51 10 104.787
13 1.08025 1.90909 1.17768 2 8 0.467352 55 1 100.484
14 0.564247 2 1.70518 2 10 0.100726 87 0 102.129
15 0.704242 2 2.07117 2 15 0.0409764 136 0 105.74
16 1.04517 2 1.13752 2 23 0.335747 160 30 110.977
17 1.00015 2 0.843363 2 30 0.321815 91 67 115.766
18 1.14983 2 0.84445 2 29 0.228168 64 52 115.002
19 0.476986 2.72727 0.708554 3 30 0.39932 98 58 116.3
20 0.894467 2.7 0.903376 2 23 0.140176 94 46 112.75
21 0.66627 2 1.25753 2 23 0.313855 89 44 110.909
22 0.495545 2 0.733815 2 33 0.453111 96 88 116.149
23 1.87656 1 0.278198 1 26 0.696106 21 3 110.678
24 1.65457 1.63636 0.387254 2 20 0.687247 40 10 107.378
25 0.862989 2.63636 1.44302 3 15 0.241331 120 22 106.43
26 0.378059 3 0.95052 3 23 0.175584 175 51 112.292
27 0.73137 2.81818 0.816113 2 24 0.177751 131 39 111.866
28 0.839465 2 1.04984 2 21 0.281439 104 63 109.733
29 0.750516 2 0.74445 2 25 0.405262 79 63 112.14
30 0.772033 2 0.800631 2 20 0.297619 75 39 109.252
31 0.788097 2 0.927082 2 17 0.218366 81 28 107.266
32 0.847945 2 0.848759 2 18 0.163935 86 31 107.591
33 1.02497 2 0.86955 2 17 0.157149 86 26 107.218
34 0.94455 2 1.81885 2 17 0.121665 87 22 107.326
35 0.952438 2 1.14722 2 26 0.191734 121 47 113.285
36 0.944898 2 0.640475 2 34 0.439522 80 74 118.178
37 0.852708 2 0.747434 2 25 0.363481 66 38 112.945
38 0.446223 2 0.732646 2 20 0.31612 85 29 108.881
39 1.23452 1.53846 0.605423 1 16 0.399699 67 20 105.2
40 0.390872 1.625 0.571192 2 14 0.520718 99 39 104.072
41 2.19161 1.3 0.350441 1 8 0.646474 18 4 99.558
42 1.3037 1.4 2.08032 2 6 0.426135 31 0 98.7552
43 0.409192 2 2.48974 3 9 0.0742693 74 0 101.672
44 0.727219 2.5 1.96368 2 14 0.0250042 199 0 104.838
