#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 1 5341.76
6 0 0
7 1 7424.7
8 0 0
9 0 0
10 1 10249.5
11 0 0
12 0 0
13 1 12757.5
14 0 0
15 1 14578.1
16 1 15505.3
17 0 0
18 1 16877.1
19 1 18555.2
20 1 19141.9
21 43 15404.3
22 1 12591.3
23 6 12062.9
24 1 12580.5
25 7 12552
26 0 0
27 27 11384.5
28 4 9522.03
29 33 6500.67
30 11 3251.41
31 1 3427.55
32 7 3530.48
33 4 3235.17
34 6 2976.65
35 10 2690.82
36 1 2384.72
37 8 2469.63
38 0 0
39 2 3561.03
40 0 0
41 8 4478.41
42 0 0
43 1 5816.64
44 5 6028.46
45 19 4968.59
46 9 2888.19
47 5 2479.93
48 5 2725.78
49 2 2793.31
50 8 2449.08
51 1 2406.11
52 2 3316.75
53 4 3844.61
54 8 4122.29
55 1 3535.9
56 16 2987.8
57 4 2262.69
58 1 3105.87
59 6 3117.36
60 1 3072.13
61 7 3791.91
62 1 3876.13
63 9 3899.67
64 4 3703.97
65 7 3141.98
66 0 0
67 14 3394.03
68 1 2526.7
69 6 2947.97
70 4 2734.72
71 2 3482.35
72 8 3401.35
73 1 3636.94
74 12 3456.95
75 1 3316.01
76 4 2984.78
77 11 3120.57
78 3 2489.86
79 3 2747.77
80 3 3193.14
81 6 3293.6
82 11 2961.75
83 2 2706.34
84 4 3009.85
85 0 0
86 7 3577.51
87 11 2717.64
88 0 0
89 9 3253.7
90 1 3144.76
91 10 2951.56
92 6 2425.23
93 5 1890.04
94 4 2012.53
95 3 2548.46
96 3 2783
97 1 3248.08
98 0 0
99 9 4151.95
100 11 3522.75
101 4 2847.57
102 4 3118.77
103 3 3717.71
104 11 3424.18
105 0 0
106 10 2722.8
107 2 2575.63
108 3 3369.5
109 6 3390.04
110 5 3400.34
111 2 3798.72
112 9 3671.81
113 0 0
114 2 4403.42
115 15 3631.92
116 2 3364.52
117 9 2743.02
118 5 2683.29
119 2 2715
120 2 3565.75
121 2 4270.5
122 0 0
123 1 5930.21
124 23 3970.4
125 5 2300.63
126 2 2702.68
127 4 2993.88
128 5 3068.32
129 5 2931.32
130 8 3090.38
131 8 2377.07
132 0 0
133 2 3662.58
134 8 3511.93
135 1 3405.99
136 1 4408.12
137 0 0
138 1 6303.85
139 21 5160.15
140 7 3011.61
141 6 2596.41
142 4 2660.4
143 3 3425.29
144 9 2643.59
145 1 2618.52
146 6 3047.08
147 2 3427.47
148 10 3102.06
149 1 3594.7
150 8 2984.42
151 1 3503.33
152 10 2956.16
153 8 2094.85
154 2 2376.27
155 0 0
156 9 3538.94
157 3 3136.49
158 8 3064.56
159 7 2491.41
160 4 2617.23
161 7 2186.43
162 1 2705.32
163 5 3180.35
164 2 3009.17
165 11 3096.25
166 5 2491.57
167 5 2537.67
168 2 2727.1
169 2 3117.9
170 7 3610.93
171 3 3030.09
172 2 3910.72
173 0 0
174 11 4285.59
