#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 1 5229.14
6 0 0
7 1 7141.49
8 0 0
9 0 0
10 1 10227.9
11 0 0
12 0 0
13 1 12827.8
14 0 0
15 1 14519.9
16 1 15601.7
17 1 16771.1
18 0 0
19 1 18515.3
20 0 0
21 44 15997.7
22 1 12378.5
23 6 12268.2
24 1 12765.2
25 7 13359.9
26 4 12872.6
27 23 11261.3
28 2 10068.3
29 2 10313.6
30 26 8313.03
31 18 5136.17
32 0 0
33 1 4944.04
34 0 0
35 17 5389.42
36 10 3759.44
37 1 3154.52
38 8 3898.52
39 1 4100.04
40 0 0
41 1 5196.79
42 0 0
43 8 6379.28
44 4 6352.25
45 10 6146.93
46 13 4570.1
47 6 3728.16
48 6 3506.32
49 1 3780.34
50 4 4678.32
51 1 4658.29
52 10 5136.64
53 1 5030.52
54 1 5517.84
55 13 5626.28
56 11 3495.35
57 1 3463.4
58 9 3396.94
59 7 3058.98
60 1 3259.14
61 0 0
62 7 4391.11
63 9 3792.02
64 0 0
65 10 4144.26
66 1 4122.58
67 0 0
68 1 5431.67
69 14 4940.16
70 1 4554.14
71 10 4283.68
72 0 0
73 1 5082.78
74 8 5801.13
75 1 5224.81
76 17 4938.33
77 0 0
78 2 5307.73
79 13 4202.19
80 1 4083.26
81 4 4594.11
82 6 4891.74
83 1 4994.28
84 11 4271.87
85 4 4440.75
86 1 4441.18
87 1 5681.21
88 17 4752.11
89 0 0
90 1 4693.61
91 0 0
92 19 4763.18
93 11 2828.9
94 4 2336.6
95 1 2695.05
96 4 3321.41
97 0 0
98 2 4357.53
99 13 4210.3
100 9 3045.31
101 1 3188.33
102 4 3646.3
103 1 3575.07
104 1 4535.4
105 1 5338.59
106 1 5959.83
107 22 5342.65
108 1 3510.62
109 1 4592.53
110 2 5323.79
111 11 4836.95
112 2 5042.21
113 0 0
114 9 5168.52
115 1 5335.13
116 1 6850.85
117 0 0
118 28 5114.39
119 5 3079.46
120 0 0
121 2 4899.77
122 0 0
123 2 6177.65
124 0 0
125 0 0
126 0 0
127 34 6141.34
128 5 3884.61
129 0 0
130 6 4633.69
131 0 0
132 16 4082.79
133 3 3320.89
134 1 3645.82
135 7 4039.5
136 0 0
137 1 5442.09
138 0 0
139 0 0
140 1 8004.8
141 29 5922.44
142 5 3791.69
143 4 3949.12
144 0 0
145 1 5343.53
146 12 5111.22
147 0 0
148 7 4926.37
149 1 4944.6
150 10 5754.78
151 9 4306.3
152 1 4909.47
153 18 3542.21
154 1 2707.38
155 1 3361.83
156 0 0
157 0 0
158 19 4855.62
159 1 3318.44
160 8 3507.76
161 5 3053.19
162 5 2806.21
163 2 3275.4
164 4 4163.08
165 2 4552.53
166 0 0
167 18 4082.95
168 5 2868.64
169 2 3159.27
170 0 0
171 1 4969
172 10 4667.18
173 1 4577.61
174 0 0
175 11 5180.63
